username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.058234178,0.1612977,0.065856814,0.023527456,0.079614244,0.012396768,0.021469614,0.3188111,0.04282716,0.018177677,0.031427283,0.20933162,0.01594437,0.10379814,0.015178497,0.024053575,0.028792178,0.059663597,0.020961633,0.01247093
adogsjourneymovie,0.077369496,0.16049804,0.07871314,0.23061736,0.3373927,0.064525284,0.071939655,0.7981821,0.085742205,0.06605566,0.13229345,0.036847766,0.11872286,0.059215475,0.18257554,0.031681977,0.08086934,0.03753663,0.072205044,0.03515298
aftermathmovie,0.024736634,0.01863439,0.014778032,0.06150746,0.11150791,0.046512887,0.033217214,0.6915017,0.040186718,0.032525517,0.06670872,0.1282266,0.03954647,0.18278623,0.07940035,0.022131102,0.04191195,0.16543551,0.035977807,0.01760622
aftermovie,0.45763984,0.026230771,0.001260038,0.0045277076,0.01938864,0.067004666,0.007160723,0.14784849,0.0044166087,0.00488637,0.011105223,0.03492452,0.0025016277,0.02332068,0.0042753923,0.034547135,0.003231879,0.4474348,0.0072705247,0.0052990317
alitamovie,0.9973111,0.9914642,0.0004918023,8.545962e-05,1.5756876e-05,6.76388e-05,7.42675e-05,0.00751451,0.00020767289,4.988312e-05,8.728374e-05,6.0293525e-05,4.9482164e-06,6.1795583e-07,1.6647042e-06,0.79312986,1.6804663e-05,0.000900227,0.00024765046,7.248954e-05
angelhasfallen,0.2638672,0.32401726,0.06073392,0.055528365,0.18737927,0.041659962,0.042201687,0.32167324,0.052705757,0.044083316,0.05768359,0.053222038,0.032211043,0.03053386,0.04866788,0.046969477,0.02500961,0.040219717,0.032711428,0.022224966
angrybirdsmovie,0.08439902,0.9695162,0.549179,0.0035411841,0.95734936,0.00032102922,0.0008943761,0.10475458,0.005290543,0.0026579823,0.00064758555,0.0023803716,0.001994667,0.0005936572,0.0030784837,0.0007626812,0.012852037,1.6584987e-05,0.0022514982,0.0014539859
annabellemovie,0.013108287,0.0040653683,0.0007183764,0.004787484,0.00082680304,0.0016444878,0.0035990397,0.64761263,0.0029137142,0.0006914265,0.010929712,0.02696467,0.0011139086,0.0146840755,0.0017006866,0.11582623,0.0036176112,0.30811995,0.004784132,0.0011308613
annamovie,0.54889774,0.033926863,0.0020417927,0.0043735616,0.037981685,0.087936565,0.011138503,0.082698055,0.004981977,0.006859635,0.014715134,0.05486303,0.0030949102,0.027482802,0.005210011,0.038081195,0.0035527777,0.49257502,0.0077465293,0.0070832768
apollo11movie,0.2513122,0.123063244,0.026665758,0.08017192,0.031858027,0.037319098,0.15445259,0.27363902,0.06562658,0.048510604,0.22943811,0.0551596,0.036328405,0.018746717,0.07283646,0.3216493,0.018242095,0.2492544,0.04478321,0.024413865
arcticmovie,0.0684203,0.4602277,0.05134021,0.046375643,0.06596146,0.0031243763,0.0034129135,0.86641467,0.011541154,0.002151796,0.0066478667,0.010606336,0.008132698,0.008201769,0.0027299707,0.00855093,0.036195744,0.0039097453,0.011772494,0.0041858503
artofracingmovie,0.043382674,0.070129424,0.035734694,0.07740736,0.5227489,0.049111813,0.033755187,0.61479133,0.04329318,0.056208573,0.055872753,0.034078687,0.055283017,0.056666356,0.18826205,0.014304345,0.04265936,0.025465095,0.03713761,0.019027349
avengers,0.9853123,0.9254998,0.0016829065,0.00029188304,0.0001492297,0.00059748313,0.000949592,0.006920777,0.001096961,0.0003843753,0.0009848169,0.0013328582,4.610615e-05,2.6482763e-05,3.3263423e-05,0.7037766,9.5742755e-05,0.012522996,0.0009500567,0.00045741076
beachbummovie,0.1711258,0.072947085,0.013518489,0.0069714068,0.72298634,0.085715316,0.008981328,0.11468881,0.012064488,0.027811402,0.009182434,0.0784003,0.009906535,0.082681514,0.032765936,0.0027085233,0.015943186,0.041937467,0.010641691,0.010352873
bernadettefilm,0.00026803015,0.0014266057,0.0017727629,0.0018216636,0.6050304,0.003531695,0.00015350193,0.9440609,0.0010852747,0.00040813943,0.00035549776,0.018492294,0.0013648408,0.25892597,0.008864163,6.884982e-05,0.032912258,0.0019504237,0.0025345013,0.0007043087
blindedbythelightmovie,0.035596758,0.042526834,0.018044708,0.09619021,0.4199195,0.055718616,0.024047585,0.8172581,0.029483309,0.031481326,0.04795918,0.017240677,0.049375735,0.048870765,0.17082538,0.012822307,0.045724373,0.02398939,0.037271906,0.015692664
booksmart,0.02963651,0.037087727,0.025844079,0.11129818,0.21940975,0.05487329,0.03794854,0.7879643,0.051057618,0.041501775,0.07668733,0.068609245,0.06383366,0.12655495,0.1258176,0.019001614,0.05910771,0.07655094,0.047219552,0.022075474
breakthroughmovie,0.13621993,0.16934344,0.0145235965,0.018380115,0.11602842,0.02231613,0.0071127657,0.40786093,0.021634985,0.018051175,0.011264629,0.026968036,0.009692165,0.026714804,0.021322355,0.013518439,0.012250417,0.017022332,0.015590723,0.0076434943
brianbanksmovie,0.00034783606,0.0031219786,0.0021223533,0.6545593,0.013744162,0.0057895794,0.00161945,0.9999436,0.009546915,0.0007070932,0.014794259,0.0014730069,0.06669769,0.04113341,0.015532066,0.0016882432,0.3066278,0.010717938,0.04404167,0.0034402348
brightburnmovie,0.16147725,0.19484757,0.09092715,0.07002292,0.10919976,0.0510289,0.102017656,0.25701368,0.11165479,0.07646934,0.13454217,0.2877164,0.053726736,0.1319391,0.058531348,0.07198739,0.04363374,0.17905809,0.049009513,0.037135508
brittanyrunsmov,0.04829734,0.06777129,0.031240838,0.09235886,0.27599317,0.04197565,0.03350627,0.7364032,0.03783543,0.030048685,0.06274369,0.040208723,0.04811643,0.06421691,0.10007596,0.0217587,0.049488865,0.04472857,0.03757447,0.018591631
captainmarvelofficial,0.173339,0.13052401,0.029353887,0.103311,0.050497446,0.042240053,0.08404523,0.49717152,0.066046044,0.045091532,0.14297651,0.050939023,0.04602113,0.03040909,0.06790839,0.14422268,0.028764172,0.14615905,0.046362676,0.02399574
captivestatemovie,0.11807585,0.081250764,0.043122485,0.22187008,0.08592826,0.10856395,0.12408972,0.7525162,0.10094884,0.0625994,0.22595519,0.09738392,0.10921758,0.12306404,0.14410138,0.09732038,0.0676228,0.20631355,0.08585452,0.047290977
childsplaymovie,0.027164444,0.7639021,0.37286174,0.018939711,0.7846303,0.001036099,0.0050312206,0.31458554,0.022469932,0.010149882,0.0056391004,0.013254516,0.0101232845,0.0053425464,0.015186168,0.0026658752,0.03090739,0.0003283012,0.008382372,0.004133613
clarathefilm,0.12672023,0.07913413,0.05432878,0.16758326,0.11343209,0.13503347,0.14995636,0.61037695,0.11382083,0.076194614,0.23882283,0.18029375,0.104836635,0.20072643,0.1519617,0.08850047,0.06802313,0.26401985,0.0846638,0.055835474
coldpursuitmovie,0.034280464,0.016226558,0.002779612,0.02248161,0.3802333,0.039712194,0.00651593,0.5080355,0.014322557,0.051092505,0.012516552,0.013892415,0.01762933,0.02674783,0.08112677,0.004323401,0.0135247735,0.036392957,0.014095995,0.0059862686
detectivepikachumovie,0.16526186,0.36034864,0.04728263,0.020688199,0.2884117,0.014690348,0.008666636,0.32852212,0.019120254,0.015013901,0.011526504,0.027327416,0.011548571,0.016736314,0.014361464,0.010632418,0.01930937,0.009714241,0.013591768,0.008090171
disneyaladdin,0.07347532,0.3816262,0.021038378,0.016967405,0.16007736,0.0044306936,0.015117723,0.014878334,0.25878796,0.69636154,0.016938258,0.047320366,0.021988427,0.004883241,0.06110568,0.006816484,0.004152819,0.0143206045,0.014434225,0.0065890253
doramovie,0.10546007,0.7194775,0.1280806,0.02529754,0.05903561,0.0024907521,0.016285205,0.10324313,0.13538063,0.08081956,0.019754197,0.055967163,0.013699474,0.008690679,0.014627327,0.024256386,0.011207432,0.0065192464,0.017285284,0.008064734
dumbo,0.07455424,0.67368007,0.038287487,0.010309394,0.072075635,0.0011382445,0.008744193,0.010475109,0.26027253,0.5375337,0.009166093,0.043193698,0.010674262,0.0024728442,0.019923659,0.008617964,0.0029902859,0.0051944735,0.00976595,0.0040287203
escaperoom,0.36493522,0.56171393,0.028118515,0.0033626822,0.05333563,0.004874969,0.0058312467,0.014656022,0.033666473,0.045251165,0.005367576,0.13641413,0.0030924396,0.011142564,0.0027775709,0.014766006,0.003597988,0.026615327,0.006235962,0.0046143904
everybodyknowsmovie,0.10110215,0.095551565,0.047891352,0.14960313,0.11827272,0.074495986,0.09822718,0.6129541,0.09521454,0.07136473,0.16754198,0.11060622,0.085467234,0.10502949,0.11980934,0.06455756,0.05602227,0.16105308,0.0665783,0.037963193
fastandfuriousmovie,0.9312122,0.94722086,0.06270194,0.010698738,0.05337382,0.016294727,0.009588527,0.042412937,0.02514031,0.017751532,0.008541912,0.015554137,0.004395879,0.0018657285,0.0021370365,0.06277597,0.004548456,0.009151042,0.010241755,0.00883652
fightingwmyfam,0.09421881,0.11254008,0.05073429,0.17457585,0.22484599,0.0827782,0.08320031,0.6763344,0.09661522,0.090940915,0.14352489,0.06785578,0.10338155,0.08480033,0.17216004,0.044346854,0.062754065,0.08102371,0.06897326,0.037783615
fivefeetapartfilm,0.034439355,0.053606804,0.027512243,0.11313855,0.3909682,0.05095857,0.035692245,0.74201715,0.052133832,0.06131487,0.06818148,0.031811804,0.068693854,0.062179223,0.18260692,0.014782513,0.050258886,0.038060065,0.04375431,0.019636016
glassmovie,0.011372517,0.0023052974,0.00043088908,0.009651621,0.020675205,0.004689508,0.006927643,0.5713989,0.003873168,0.007042356,0.019929197,0.0029172392,0.0036388952,0.0035099285,0.039228242,0.07061688,0.0030659838,0.13005224,0.0067139263,0.0015296894
gloriabellmovie,0.18293487,0.1373513,0.06688733,0.1759409,0.26495326,0.14821956,0.1312681,0.5497566,0.10734905,0.108905755,0.19788119,0.10397833,0.11991064,0.112862945,0.19738623,0.06360082,0.062765434,0.13360928,0.080763586,0.05554014
godzillamovie,0.918144,0.9704526,0.0071720793,0.0006937783,0.06355202,0.0015812019,0.00096221676,0.00037294294,0.043785285,0.37677157,0.0005903457,0.005054068,0.00082184584,7.918575e-05,0.0012916641,0.007580257,0.00019036014,0.001416576,0.0018178629,0.0011950538
goodboysmovie,0.14859216,0.43191013,0.10448898,0.038920473,0.6106284,0.021203695,0.023061078,0.25971416,0.040848892,0.044350695,0.027182885,0.032116488,0.02780846,0.019095417,0.053486638,0.011299362,0.029408753,0.00830679,0.02166834,0.014535662
gretafilm,0.21383789,0.20082694,0.07662339,0.18427922,0.10880595,0.10174897,0.13564575,0.5652291,0.13037522,0.088147044,0.21327154,0.101348884,0.10151979,0.0911533,0.13938195,0.11023114,0.053251002,0.13992949,0.08288104,0.05302665
happydeathdaymovie,0.6870572,0.017949106,0.00039607048,0.007581646,0.17939125,0.5145891,0.0027919156,0.5402242,0.0020801916,0.0047768177,0.004709754,0.003903405,0.0039346805,0.028329657,0.01640175,0.0056414567,0.0049392227,0.12865779,0.010146232,0.007107901
hellboymovie,0.83094275,0.7790447,0.0017848976,0.00027033946,0.010001292,0.001727962,0.0006267513,0.00046254008,0.020346379,0.13585626,0.0004736204,0.01059231,0.00030384032,0.0002823378,0.0005166378,0.007851624,9.7265365e-05,0.013558775,0.0011705057,0.00078312156
hersmellmovie,0.5156202,0.56567085,0.052309137,0.08854633,0.07065168,0.041410103,0.03559759,0.45319772,0.055042557,0.037091993,0.054939423,0.022058882,0.032202676,0.011996652,0.02771193,0.09049052,0.021858288,0.028975256,0.0382015,0.021389777
highlifemovie,0.19612087,0.098169774,0.018842878,0.054273203,0.069400206,0.08454475,0.030079363,0.55610627,0.03936115,0.025090355,0.051820755,0.06712978,0.026978655,0.084291674,0.037420675,0.03633577,0.02573166,0.12251185,0.03529623,0.021066729
hotelmumbaifilm,0.020182207,0.0062400294,0.004716809,0.12061684,0.004976706,0.027293341,0.050010536,0.9256454,0.02633254,0.0069772517,0.15650038,0.043816414,0.02941168,0.07875725,0.04236905,0.16129954,0.03232416,0.49562466,0.043138936,0.012767052
httydragon,0.35747644,0.9115082,0.10757755,0.003917048,0.08378658,0.0010119794,0.0016839803,0.07873169,0.012197878,0.0043972377,0.0017079462,0.015119271,0.0015601389,0.0019899246,0.00090321177,0.011214155,0.0045423736,0.00093875173,0.0040971483,0.002283278
hustlemovie,0.016264653,0.01947995,0.012876814,0.033297494,0.75865823,0.042271405,0.029979434,0.22710706,0.056319032,0.27268928,0.04445238,0.042211045,0.051082067,0.055266112,0.41745517,0.0059158257,0.019663109,0.035344616,0.02545964,0.013332924
isntitromantic,0.009723364,0.020450624,0.011581319,0.012352745,0.9930943,0.033509366,0.017366312,0.037199873,0.046378374,0.67399716,0.017280512,0.013847439,0.046011575,0.015684117,0.7917321,0.000748535,0.0097642895,0.0040117623,0.013537229,0.008009671
johnwickmovie,0.5683426,0.027229318,0.00024664475,0.00068869797,0.16221239,0.056246016,0.001036604,0.02713711,0.0013992505,0.010498033,0.0012463595,0.002547205,0.00065018353,0.0024853533,0.0054359096,0.00455935,0.0005288672,0.06840171,0.0019891236,0.0014230765
lalloronamovie,0.4344163,0.021702658,0.0011084081,0.004101018,0.01662462,0.07110772,0.00825585,0.099624455,0.006203505,0.008574777,0.012371298,0.06382788,0.002758286,0.033637077,0.004460149,0.032472193,0.0031863495,0.55395,0.0076549356,0.00574899
lastblackmansf,0.09534341,0.060747877,0.041940093,0.22219439,0.07837316,0.12693433,0.13140132,0.75262916,0.11523897,0.07227908,0.2405643,0.15257137,0.12047324,0.19563957,0.14758627,0.08197588,0.07473421,0.28248033,0.0925456,0.052665565
latenightmovie,0.09023385,0.09853315,0.012422024,0.030348953,0.36685926,0.038173765,0.0065890066,0.6763695,0.013392962,0.014944502,0.01165851,0.008826172,0.0154689625,0.021971518,0.044193197,0.007015704,0.020430239,0.0106749525,0.017049264,0.008049231
lionking,0.12351344,0.13468556,0.033496354,0.1361266,0.040906858,0.043490883,0.046681546,0.7743347,0.05773636,0.02334592,0.09327928,0.052665964,0.047220744,0.054918244,0.043587152,0.07244804,0.045031987,0.09720439,0.05049926,0.023106279
littlethemovie,0.13833386,0.16212717,0.08879356,0.21235453,0.21050014,0.099666975,0.13731581,0.63993514,0.11803787,0.08596448,0.21453577,0.09118651,0.12258851,0.09660194,0.18300816,0.07392906,0.07257864,0.10729377,0.083924934,0.052843586
littlewoodsfilm,0.10533733,0.08170392,0.03202476,0.1863823,0.09814652,0.09565972,0.07869467,0.7634034,0.0854602,0.06104515,0.15150902,0.06071278,0.089663215,0.09038806,0.1301515,0.060873054,0.055006053,0.13678944,0.07133859,0.036178067
longshotmovie,0.04993067,0.044289354,0.027684728,0.060921244,0.17349696,0.045576993,0.047809772,0.5386802,0.0451316,0.03755621,0.082044065,0.10168468,0.041028038,0.10827998,0.09403955,0.03439041,0.03723157,0.119078636,0.03696181,0.02056432
mamovie2019,0.014731182,0.016505746,0.0121735195,0.037768975,0.3030211,0.03248979,0.016215783,0.63908,0.026274055,0.03319216,0.031228743,0.0746941,0.029631572,0.12252385,0.08654708,0.0077777095,0.034911077,0.06447751,0.024034498,0.011043731
meninblack,0.94547874,0.9695216,0.011440623,0.00017389712,0.90967983,0.0032588358,0.00015243482,0.0024763471,0.00072639267,0.004191393,6.982115e-05,0.00030511612,0.0001590453,4.3991786e-05,0.0005300524,0.00062583084,0.0004330843,6.101549e-05,0.0004919207,0.0005150953
midsommarmovie,0.26795182,0.1579132,0.009142361,0.1042882,0.083902866,0.07528148,0.014545288,0.8118473,0.028001174,0.026640171,0.031527687,0.007399157,0.033004,0.014997199,0.043492492,0.029931689,0.023308424,0.031764634,0.034877777,0.014264612
missbalamovie,0.16304733,0.14434105,0.0652972,0.19979337,0.14615381,0.11231447,0.13556309,0.59991646,0.12764294,0.10102375,0.2162214,0.099464126,0.11621823,0.099900775,0.16924702,0.07967132,0.05972897,0.1500884,0.08424207,0.052150354
missinglinkfilm,0.113261685,0.49925035,0.14385465,0.02357694,0.50330174,0.011098338,0.018560492,0.15874207,0.049166556,0.046125676,0.020046173,0.06206236,0.019651715,0.024620574,0.03762265,0.011536875,0.023265185,0.0067724125,0.017936334,0.01223055
onceinhollywood,0.12370374,0.09798592,0.01990271,0.036631007,0.20911428,0.04832746,0.018925287,0.51990783,0.023621777,0.020475352,0.030774858,0.034061003,0.020809852,0.045217887,0.046728358,0.021882217,0.02408311,0.04084305,0.023847096,0.013637393
onthebasisofsex,0.031646263,0.02240797,0.006216727,0.39374012,0.01265079,0.04988213,0.028897054,0.98982596,0.0364434,0.009475351,0.11047135,0.008353776,0.073354445,0.039843637,0.06490594,0.06464015,0.06957429,0.10791207,0.07295065,0.016760752
overcomermovie,0.010976439,0.03604058,0.01579275,0.22905761,0.10976524,0.02155491,0.010580244,0.98704684,0.0219853,0.0055911606,0.03301046,0.012984837,0.051055975,0.056101963,0.037916593,0.008161338,0.1270931,0.020128783,0.03969715,0.010676036
petsematarymovie,0.0016761723,0.00037982862,0.0009121248,0.0012681258,0.007761766,0.0062152045,0.0024350223,0.31501582,0.0042311572,0.0018926519,0.0052365134,0.7832779,0.0014711474,0.69708884,0.0018520312,0.0037149307,0.010117099,0.7706213,0.0042460263,0.002106896
pomsmovie,0.00014987384,0.007828427,0.012808233,0.1520188,0.9392882,0.0034071575,0.0005536706,0.9995691,0.0017207289,0.00037407383,0.0021477614,0.00072064437,0.027503515,0.028503701,0.045707818,7.379816e-05,0.4339553,0.00014908037,0.011779664,0.0016972665
rocketmanmovie,0.029757973,0.048911054,0.010417871,0.5941122,0.01504853,0.043206915,0.024138728,0.99631435,0.051019654,0.011484393,0.10559296,0.0042244387,0.117163256,0.028306786,0.07332018,0.048741248,0.10636233,0.043097045,0.09478409,0.018597953
scarystoriesmovie,0.00080911344,0.0002007479,0.0013157574,0.0009227928,0.04555951,0.0077184173,0.0036308046,0.16626403,0.0045633903,0.0038691813,0.006544375,0.8554548,0.001983338,0.80291265,0.006147623,0.002178418,0.011101055,0.7578813,0.0041758106,0.0024315754
secretlifeofpets,0.039771024,0.97857213,0.57066387,0.0013669352,0.9872614,7.961597e-05,0.00020910507,0.094565146,0.0018411084,0.0010656285,0.00013686802,0.0010153508,0.0008361755,0.00021365112,0.001197931,0.00019248502,0.010517165,2.378803e-06,0.00089254195,0.00050660793
serenityfilm,0.037297267,0.02512535,0.009769021,0.044117346,0.05404844,0.028278984,0.017169496,0.7219623,0.02181443,0.013319807,0.03786496,0.06695808,0.020376695,0.0815214,0.027867254,0.024802946,0.027601877,0.14105098,0.024162106,0.010699702
shaftmovie,0.9627823,0.0152521655,1.7472672e-05,0.00029912687,0.9126968,0.8103675,0.00011686884,0.07425937,0.0001114666,0.0035906467,0.000115664494,0.000115642106,0.00034268963,0.0022066727,0.009321741,0.00014531922,0.00035179476,0.015034358,0.0012552865,0.001425258
shazammovie,0.86033255,0.8557594,0.0042636325,0.0007020376,0.74634975,0.0075462693,0.00015026907,0.04383945,0.00070125656,0.0024396982,0.000120832,0.00025951333,0.00036227287,0.00014166387,0.00083971757,0.0007453926,0.0010264018,0.00015573105,0.0010203652,0.0007003784
spidermanmovie,0.9588347,0.9424407,0.0016595031,0.0007036049,0.00043841364,0.00022487024,0.00041526216,0.049672894,0.00061738776,0.00019333148,0.00056799286,0.00010728663,5.876815e-05,4.5599345e-06,4.2213585e-05,0.52182287,0.00016333288,0.0011610095,0.0008628076,0.0002484624
stubermovie,0.07002146,0.075199746,0.042349678,0.023438333,0.25428864,0.0350108,0.035845757,0.2124529,0.04046881,0.03956328,0.0477459,0.20700407,0.023466669,0.13024545,0.0502878,0.020591829,0.026160697,0.11180479,0.023851393,0.017204318
taosdfilm,0.311971,0.028987918,0.0015788099,0.006173773,0.02807154,0.05031294,0.005867132,0.23565799,0.005207997,0.0055860938,0.009898204,0.02497338,0.003192958,0.022263361,0.006114033,0.02520027,0.0040262244,0.26108575,0.007979988,0.004911631
teenspiritmov,0.09908769,0.077306174,0.026468145,0.123116545,0.07859056,0.069248416,0.051162817,0.74554735,0.057814274,0.034528665,0.10073067,0.069199,0.056595746,0.09015441,0.073905215,0.051584262,0.04732935,0.12776718,0.05335272,0.026581056
thebestofenemies,0.14066763,0.12160637,0.049906865,0.2869352,0.07193294,0.09647819,0.13849588,0.79234296,0.116841935,0.06972653,0.25836745,0.063124694,0.1269392,0.07557591,0.16202833,0.13574429,0.06714184,0.15800513,0.09800724,0.04889278
thedeaddontdie,0.046678085,0.044939335,0.034755126,0.02795577,0.21137212,0.04612151,0.043698017,0.19653466,0.06567352,0.076590404,0.059315193,0.42858437,0.03385361,0.27180788,0.059274975,0.016155178,0.033229735,0.20931754,0.02954709,0.02263634
thefarewell,0.20910703,0.30258363,0.024363758,0.04670691,0.13297582,0.021775173,0.013198926,0.51046276,0.028204495,0.025204247,0.021734836,0.013594613,0.01878378,0.010633802,0.026334027,0.026446162,0.018106261,0.015102438,0.02126689,0.010088635
thehummingbirdprojectfilm,0.31209195,0.24977644,0.0101469215,0.014461724,0.08192581,0.023789456,0.0043780883,0.42856562,0.010564751,0.0077114957,0.0069090216,0.008680937,0.005530912,0.009279816,0.008851781,0.015124854,0.007997746,0.01466351,0.01108358,0.0055874526
theintrudermovie,0.04942706,0.02796414,0.02642566,0.062129382,0.15076314,0.08322601,0.062209,0.52533334,0.055837102,0.044074055,0.10343033,0.24277037,0.049690608,0.270271,0.096702926,0.02961277,0.04798556,0.26027563,0.04485834,0.0288907
thekitchenmovie,0.9436829,0.057743832,0.00043879825,0.046477117,0.10392001,0.8473781,0.006547885,0.84761846,0.0040569245,0.0074209967,0.013491243,0.0008519958,0.012520903,0.013857406,0.034154408,0.017185485,0.007265085,0.13464583,0.028227877,0.01886469
thelegomovie,0.98216933,0.99998856,0.8835077,0.00050340133,0.029974572,1.5061173e-05,0.00016930545,0.003063296,0.008255002,0.00047420853,6.899348e-05,0.0019682073,7.882676e-05,1.0084563e-05,4.1590897e-06,0.013941577,0.0008432126,2.5160268e-06,0.00064006407,0.00051635964
themustangfilm,0.23937905,0.28646418,0.06324161,0.11228314,0.075518735,0.04186727,0.07209898,0.52133507,0.07053862,0.03799447,0.11494595,0.050645504,0.047437314,0.031390216,0.052926976,0.10563685,0.035546206,0.07457081,0.048472684,0.02714065
theprodigymovie,0.028201874,0.016872054,0.009814561,0.025543455,0.014226677,0.018397171,0.021890108,0.5349355,0.028174125,0.011059747,0.045289077,0.26451787,0.013467066,0.19042124,0.013914569,0.03881532,0.022960093,0.38027424,0.021711437,0.010422994
thesunisalsoastar,0.007634186,0.019712815,0.0058065965,0.023476865,0.94837487,0.019520745,0.007414108,0.2670529,0.028532714,0.32351947,0.011476243,0.004532533,0.035486452,0.009251792,0.54357505,0.0009793522,0.011400022,0.0031082933,0.0139576,0.0051187123
theupsidefilm,0.056511562,0.07688618,0.030905962,0.07800661,0.45924234,0.05071979,0.034287505,0.6736527,0.03592364,0.03640351,0.058472108,0.018554965,0.04499062,0.039897576,0.19873653,0.02182505,0.037186768,0.020025084,0.037031546,0.017987983
tolkienmovie,0.00464696,0.0054285442,0.00084135577,0.34108508,0.01534074,0.020637842,0.0018838665,0.9993106,0.0075273723,0.0024050358,0.013255202,0.000769883,0.036703777,0.017282108,0.032612007,0.006388639,0.06078851,0.015227677,0.036443524,0.0037459226
toystory,0.040234324,0.9039222,0.5904406,0.012637468,0.94816935,0.0009266395,0.0048287297,0.13870248,0.022993369,0.015341524,0.003988348,0.011669415,0.009642655,0.0032654512,0.018747747,0.00154824,0.029811785,0.00010677296,0.00680726,0.004159162
triplefrontier,0.14169061,0.06974798,0.014978396,0.03189063,0.082987875,0.04988173,0.019352993,0.50746495,0.02096889,0.014425342,0.03266111,0.09472827,0.01775289,0.08496528,0.02017622,0.029758606,0.026241265,0.12567675,0.023040693,0.014108969
uglydolls,0.009388341,0.9891411,0.8408938,0.0018334079,0.9938041,2.0420766e-05,0.0002631711,0.07985678,0.0048097367,0.0020827786,0.00016238996,0.0014813148,0.0012499999,0.00022102364,0.0020833702,0.000104030245,0.01664998,6.634852e-07,0.0009917497,0.0004717487
