tconst,convert_text,genres
tt9413906,narrative suzan christian nun reminiscing two deaths one filled heart light another darkened soul forever,"Crime,Drama,Mystery"
tt9319530,following young girl struggling get drug dealing rangoon noir film mixed romantic comedy coming country barely unknown foreign screens myanmar,"Crime,Drama,Romance"
tt9304196,one criminals kidnap rich american ransom ca nt get wife respond messages help calm nerves starts conversation american without others knowing two soon begin bond,"Crime,Drama,Thriller"
tt9283478,somewhere southern county china summer begun already greeted series indecent assault victims identical girl onepiece dress process hunting criminal summer ends autumn comes lot seems happened yet feels peaceful another normal day nothing occurred,"Comedy,Crime,Mystery"
tt9233940,nine nine zaw htike psychopathic disorder getting medical treatment illness psychiatric hospital khar ra aung myat shwe tha mee thariphy falling love one day come make donation hospital guys mental disorder moment zaw htike sees thriphy come hospital looks like zaw htike wife killed thinks dead yet even killed consequently runs away get girl hospital gon na happened next happened past time called poisonous man poisonous man horror action movie directed steel dway myitter,"Action,Crime,Drama"
tt9204566,murder claims things nt seem,"Crime,Drama"
tt9183176,two friends italian mob accidentally double cross one another must protect lives allies mad search traitors within ranks,"Action,Comedy,Crime"
tt9146260,treachery murder turn danny world upside nothing stop pursuing revenge blending modern classical retelling hamlet casts danish prince heir apparent crime family sees world crumble powerhungry uncle launches chain events bring whole world tumbling,"Action,Crime,Drama"
tt9144712,story longtime friends hit point tired broke took measures hands knowing becoming jackboiz going put situation real hard get,"Action,Crime,Drama"
tt9071394,film inspired blessings misfortunes tao te ching describes china today masquerade flashy performances hide anxiety greed hatred distortion young song fei greed led revenge plan three men youth middleaged elderly young girl entangled exposing dark side human nature finally three persons push death absurd true human nature pushes contradictions one one madness film whole gray expression human nature restrained rational dealing dark characteristics greed selfishness cruelty distortion resentment cold powerless reality character story usually present anxious changed abandoned like weak struggle mud like cry without voice film expecting audience think awaken,"Comedy,Crime,Thriller"
tt9054078,teenage burnout young hustler cross paths course one night eventually finding connected death,"Crime,Drama,Mystery"
tt9042348,miguel confesses crimes dead mother,"Crime,Drama"
tt9027454,characters although three main character working class society obtain different characteristics personalities building characters focus living environment language behavior enriches personalities making story realistic keynote crime genre film storyline sets upbeat pace abundant intensity suitable multiline parallelism omniscient perspective explore explain story narrating motives actions characters discovered purchased committed murder point view intertwined together create accentuate mood mystery hand held camera technique sharp cuts shots makes story succinct clear main theme using crime story series emotions every day ordinary people unfolds working people struggle survive among society life interrupted goes turmoil emotional values become last standards right wrong exist holds personal miseries made last effort survive,"Crime,Drama,Thriller"
tt9018580,following tragedy young woman returns home town embarks dangerous affair whilst sinking deeper alcohol drug addiction,"Crime,Drama,Thriller"
tt9013006,obtaining new job offer catherine finally arrives new york ends longdistance relationship boyfriend ethan moves luxury apartment midtown manhattan however starts feel strange presence harasses sexually second day arrival evil entity locks apartment completely isolated survive limited resources losing freedom starts realize ignorant ungrateful life catherine leave apartment alive,"Crime,Drama,Horror"
tt8982650,stories madman collection short stories story taking place different hotel room hotel night christmas eve story shares theme crime story supernatural twist,"Comedy,Crime,Drama"
tt8974570,time running desperate cash two mongolian immigrants turn crime solution,"Crime,Drama,Thriller"
tt8907844,small maharashtrian town woman rise political hierarchy creates ripples across socialpolitical spectrum directed makarand mane kaagar stars rinku rajguru lead roleguruji known close aide aabaasaheb switches party bhaiyaasaheb upcoming elections bhaiyaasaheb youth leader believes developing changesyuvraj hot tempered guy ready anything guruji bhaiyasaheb secretly romances rani daughter gurujirani yuvraj plan elope get marriedon wedding day yuvraj rush help guruji depressed aabaashaeb might eliminate also tells responsible death yuvraj fatherguruji yuvraj plan kill aabaasaheb meeting,"Crime,Drama"
tt8905306,anna travels tibet find highaltitude church serve mission meet father edwardshe lost new environment however passed acclimatization anna happily beginning overcome difficulties transition,Crime
tt8824508,weilai liu also known runlai liu born runlai entered beijing academy applied art worked designer filmmaker began creating independent films currently lives beijing,"Crime,Fantasy,Mystery"
tt8820540,retired detective gets pulled larger conspiracy decides investigate abduction high school student,"Action,Crime,Mystery"
tt8742576,unfinished youth special features comes place rents cheap rental house lives alone later attacked mistreated group unknown people nearby finally spirit close collapse sealed room later landlord came open room chamber still intact one cruel evil things happened unscrupulous movie,"Crime,Drama,Fantasy"
tt8709364,stand comedian brutal alterego interrogated police contents hard drive,"Crime,Horror"
tt8685842,derrick baker aka lucky might unluckiest man america nothing tries ever works jobs relationships especially making money staying true form one night stand ever goes terribly wrong pay big,"Comedy,Crime"
tt8651728,old man tries recover memory woman wants find daughter sinister world awaits,"Crime,Drama,Thriller"
tt8585488,stranger comes small town sets motion series events would affect lives live including nefarious neonazi gang runs criminal underworld,"Comedy,Crime,Thriller"
tt8530898,story set backdrop middle reaches yellow river jinshaan grand canyon years ago pursuing ruthless criminal qin jin gun battle broke outlaw police qin fled unscathed whereas policemen tianjiao killed jiang han seriously wounded years later jiang trail qin pure coincidence wei wei daughter tianjiao becomes key figure event shots years ago altered lives paths cross jiang goes qin secrets long buried begin surface past returns haunt present towering boulders steep cliffs along raging yellow river bear witness crime punishment well bravery honor time old scores settled event wei wei never forget,"Crime,Drama"
tt8526312,storytelling tussle sustainability development context rural india film spring thunder narrates story uranium mining tender highest plateau india enriched thick forests populated various native communities starting conflict policymakers crime money politics rage local level concerning land acquisition universal environmental concerns selfish political inadequacy leads local tribes unite retaliate survival existence existence forests time frame scientific communities across globe continuously raising alarm environment health planet earth spring thunder reinforces global concern drama plot story film showcases exotic natural beauty chotanagpur plateau india culture emotions values concerns local communities film aspires bring crude reality situation world way awareness sensitisation rebel,"Crime,Drama"
tt8467036,young lawyer takes extreme measures vies promotion fiance life begins unravel meets someone new,"Crime,Drama,Thriller"
tt8426906,photographer comes face face forces threaten road redemption,"Crime,Drama,History"
tt8386758,efe heads south africa invitation admiring business mogul vacation paradise gets caught high octane drug crime battles supremacy raging among cape town underground gangs fight surf soaked beaches picturesque wine estates famous table mountains stakes gets higher body counts starts rising betrayal becomes currency seeing next day innocent lamb amidst brutal wolves negotiate steps survival love life,Crime
tt8368304,sanitary psychoneurological dispensary mentally ill prisoners becomes hostage institution consciousness refuses accept fact four persons settled investigative authorities imputed commission terrible acts doubts treating psychiatrist separates life imprisonment within walls dispensary,"Crime,Drama,Mystery"
tt8326634,five female prisoners nazi camp facing tough choice eve escape nt find give away murderer die gallows pole,"Action,Crime,Drama"
tt8289020,one day female journalist received information suspicious taxi discovered together coverage team chased killer taxi consequently went missing incident left unsolved without clues movie based true creepy event,"Crime,Horror,Mystery"
tt8288798,gangster nicknamed monster hiding away troubles ran recluse locked horns finally decided murder recluse order test whether latter could become mentor story epitomizes contemporary overall confusion frustration belief,"Crime,Drama"
tt8231548,excop turned private investigator struggles put together pieces new case clue finds trouble seems follow,"Action,Crime,Drama"
tt8226508,kottayam woman police officer found raped murdered political machinations force investigating team act manner denies justice family search culprits takes investigation team border lands india chinaan investigation follows rape murder police woman wealthy dysfunctional christian family belonging landed gentry area gets accused primary motivators behind crimethrough investigation audience becomes witness stories love lie honor greed family members investigation though nonconclusive slowly progresses journey sleepy hills kottayam brooding border areas india china characters end pawns pressing issues nation facing,"Crime,Drama,Romance"
tt8209878,north korea female elite agent jiwon undercover police officer south korea one day receives important mission delivering important thing kim ilsung badge north korea however loses important thing way north korea get worst situation go north also south deep forest near dmz time two female serial killers came hide body forest appear front encounter female spy two female killers fate,"Action,Crime,Thriller"
tt8156898,since unemployed julian real househusband taking care daughter love took debts without telling wife get improvise outlaw,"Comedy,Crime,Drama"
tt8061078,law nt exist everything permitted,"Action,Crime,Drama"
tt8047066,set grungy milieu four friends share bachelors hostel room land trouble local politician son henchmen behind sachindi ra gorre crimecomedy genre soul unique characters situations telengana dialect used blends setting dialogues range hilarious laughoutloud moments humour situational though lot mayhem happening absolutely space slapstick probably first film indie sensibilities tollywood,"Comedy,Crime"
tt8006034,set post apocalyptic world beset statewide shutdowns veteran detectives dispatched investigate routine homicide unknowingly find widespread epidemic citizens taken mysterious person persons reasons unknown,"Crime,Horror,Thriller"
tt7953652,judas levi famous film director recently busted closet traumatized financial ruin takes scalpel hollywood sleaze filming group homeless people streets hollywood traumatized financial ruin collapse career judas returns former documentary days begins follow group transients edge obscurity realizing life cheap world worthless throwaways begins replace objectiveness calculated mayhem reshaping reality nearperfect vision chaotic evil inexpensive production values,"Comedy,Crime,Drama"
tt7947108,spiritual freedom real freedom agree single father li yu autistic daughter xiaoyu live poetic life old town colorful clouds often pass father li yu lover wine dances also loyal dog buddy named mumu well beautiful mountain views velvety grassland li yu daughter facing bloody conspiracy save find bounden duties,"Crime,Drama,Family"
tt7946562,velma waitress loves sing learns must raise save bar loves loan sharks door save legacy,"Adventure,Crime,Music"
tt7882096,starcrossed romantic love story illfated girl paru falls love eventually get married tv anchor shivu coincidentally lover past life gets killed paru kills join dead husband,"Crime,Drama,Fantasy"
tt7838260,paddayi story madhava sugandhi newly married couple fishing community india driven ambition bring upon selves epic tragedy,"Crime,Drama,Family"
tt7791060,malti mhaske accused murdering high class owner kavya tara defending malti state courtroom case hard win tara brings forth subdued mental state physically abused hands former caretaker malti case unfolds complexities lives malti owner,"Crime,Thriller"
tt7782766,story greatest manhunt germany notorious child serial killer peter kuerten responsible sixtyeight crimes including nine homicides thirtyone attempted attacks,"Crime,History,Thriller"
tt7654144,daniel young promising vice president multinational financial corporation also playboy plays women emotions participated room escape game nightmare enwinds every night moreover number countingback mysteriously appears arm search girl identity nightmares daniel experiences tour underworld unravels mystery behind girl facial reconstruction years ago finally daniel realizes deepest fears arise survive left end,"Crime,Thriller"
tt7554880,secret within every group missed take feature film footage found crime scene group film makers go abandoned barn film short film case still open,"Crime,Horror,Mystery"
tt7395804,group career thieves plan take racetrack los angeles,Crime
tt7281994,cool cat coolest cat world butch bully hates always tries bully cool cat shows kids win cool,"Action,Comedy,Crime"
tt7235666,one brutal home invasion five murders two detectives witnesses,Crime
tt7207942,series events leads demise underground romanian gang midst chaos unintentional partnerships seem form,Crime
tt7160054,violent film portrays taiwanese mob code ethics hidden rules clash personal morality explores dark miserable prison tells story four different women xiaoyi qin scar dali miserably stuck violent corruption xiaoyi raised desperate father mother left years old father committed suicide jumping tall building due mental break gambling debts countless frustrations life made xiaoyi nearly crushed xiaoji grew without parents never real friends refuge grandmother raised single handedly accidentally died one day loan shark took illegal action collect money street lived lonely desperate life xiaoyi walked life however xiaoyi choice kill boss father died left stack gambling debts unpaid xiaoji helpless anything seeing woman loves arrested charged murder xiaoyi sent prison murder gradually established friendship qin order fight vicious power scar dali brutal big sisters jail qin took care xiaoyi xiaoyi reminded qin little sister xiaoyi became qin protege learned prisoner trade however xiaoyi soon discovered violent world things nt always seemed dali participation drug trade discovered expectedly qin fragile balance prison turf threatened sisterhood tested loyalty questioned could xiao yi able put past behind begin new quiet life xiaoji brutalized experience prison xiaoyi love prevail even comes worst four different women xiaoyi qin scar dalai miserably stuck violent corruption families xiaoyi met adversities father committed suicide left gambling debts xiaoji orphan later finds happiness love xiaoyi two desperate youngsters fell love years obstacles waiting,"Crime,Drama"
tt6896826,dark comedy disgraced runner forced race life race lives others result representing roll dice new way die came wreck everything pits cheating gangsters crooked cops exsoldiers exwives lovers fallen families families fall race light darkness,Crime
