,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
22893,2,1,0,4,2,1,0,9,0,0,2,0,0,0,1,1,0,1,0,0
2925001,4,8,4,0,9,1,0,2,1,4,0,0,1,0,2,1,0,0,0,0
3002253,2,2,2,0,4,2,0,5,0,1,0,2,0,1,1,0,1,1,0,0
3328685,2,5,2,1,7,1,0,6,0,0,0,0,0,0,1,2,0,1,0,0
3920740,3,2,0,0,3,1,0,1,0,2,0,7,0,3,0,2,0,3,0,0
6636654,1,1,0,2,5,1,0,6,0,2,0,0,0,0,2,1,0,0,0,1
8952912,7,6,0,0,6,0,0,2,0,2,0,4,0,2,0,3,0,0,0,0
9099063,2,3,1,3,4,0,0,6,2,2,0,1,2,0,1,0,0,0,0,0
9305486,5,7,4,1,5,0,0,2,1,1,1,2,0,0,0,3,0,0,0,0
10063561,3,4,1,3,1,0,0,5,1,2,1,2,0,2,1,1,0,2,1,0
10315987,4,2,0,2,4,2,0,7,0,1,1,4,1,4,0,0,0,3,0,0
12478419,3,2,0,4,2,4,0,12,0,0,2,0,0,1,0,1,0,1,1,0
13446014,10,10,3,0,6,2,0,3,0,1,0,1,0,1,0,2,0,0,0,0
13666697,3,2,0,0,3,1,0,4,0,2,0,10,0,6,2,0,0,8,0,0
13929372,1,2,0,2,0,2,0,9,0,0,1,1,0,1,1,1,0,0,2,1
15880020,12,10,0,0,3,3,0,1,0,2,0,0,0,0,0,4,0,1,0,0
16577852,0,1,0,2,6,1,0,6,0,1,0,0,1,1,1,0,0,1,0,0
20831536,5,10,6,0,6,0,0,0,0,1,0,1,0,1,0,2,0,1,0,0
22390259,0,0,0,3,6,1,0,7,0,0,2,1,0,1,1,0,1,1,0,0
22665807,4,2,1,2,3,1,0,7,0,2,0,2,1,1,2,2,0,4,0,0
22972222,3,3,0,0,0,0,0,4,0,2,0,7,0,3,0,4,0,4,0,0
23717132,2,2,0,1,5,3,0,11,0,1,0,1,2,1,0,0,1,0,0,0
23741001,3,5,1,0,4,1,0,4,0,1,0,3,0,3,0,2,0,1,0,0
24065858,2,5,2,0,8,0,0,7,2,2,1,12,0,8,0,1,0,7,0,0
26031390,0,1,0,3,1,0,0,9,0,0,2,2,1,2,0,0,0,2,1,0
26854659,6,3,0,1,3,1,0,5,0,1,0,4,0,1,1,3,0,2,0,0
27641435,4,4,1,2,10,1,0,6,0,3,1,6,0,4,2,0,0,4,1,0
28590046,2,2,0,2,4,0,0,5,0,1,0,3,0,2,1,0,1,3,0,0
29436977,1,2,0,3,3,0,0,6,1,1,1,1,1,1,1,0,0,1,1,0
30493895,7,9,2,0,1,0,0,2,2,4,0,4,0,2,0,3,0,3,0,0
31002864,3,1,0,1,10,4,1,20,0,0,1,1,1,3,3,2,1,2,0,0
31114801,3,3,0,1,4,2,0,9,0,0,0,2,0,3,1,4,0,1,1,0
31491449,2,1,0,0,4,4,0,8,0,1,0,1,0,1,3,0,0,0,0,1
32658266,1,1,0,0,4,0,0,4,0,1,0,3,0,3,1,1,0,4,0,0
32863772,9,6,0,0,10,3,1,7,0,4,1,10,0,7,0,6,0,7,1,0
34041315,5,7,6,1,9,3,0,3,2,3,0,7,0,3,0,1,0,3,0,0
34072645,2,3,0,0,4,3,0,6,0,1,0,2,0,1,0,2,1,3,0,0
