Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_maxabsnorm,A_std_maxabsnorm,B_avg_maxabsnorm,B_std_maxabsnorm,C_avg_maxabsnorm,C_std_maxabsnorm,D_avg_maxabsnorm,D_std_maxabsnorm
47metersdown,34.80487804878049,23.842183882819985,11937779.160579428,30622012.29551432,0.2456085760468996,0.24974261700357556,3832.149222456684,3285.912168339273,0.25557654107916244,0.13135493744801835,0.03227163717945305,0.0407625626955758,0.5686888567787522,0.655207792600309,0.48554579759520144,0.8846158637945205
adogsjourneymovie,34.63247863247863,29.10975349530181,2688809.223522822,4606428.453921334,0.3359944296817529,0.349168693945698,3225.348524584389,2086.338315789782,0.2543105907591889,0.16037582246221418,0.007268711754430185,0.006131857921145118,0.7779707499434321,0.9160553050584004,0.4086621712731425,0.561672947065645
aftermathmovie,35.692307692307686,26.611910622543594,737843.0010296162,1447867.703815384,0.20429768996170852,0.2599513991686895,3212.997036429973,2613.398541739849,0.26209304713977605,0.14661433165588933,0.0019946257427223874,0.0019273324522934556,0.4730364941518931,0.6819908611362087,0.40709719746359474,0.7035653085057859
aftermovie,58.276595744680854,54.90405640467415,5730162.1264876025,14299287.334890012,0.212973970075358,0.2316550068940771,3180.640515062546,2106.905406681398,0.42793227849899157,0.30248566700616514,0.015490461888932737,0.019034529503336717,0.49312579192128925,0.6077543654061436,0.4029975207384066,0.5672099103022559
alitamovie,35.784313725490186,29.192272497163273,2531454.7904955284,6295080.15899654,0.2673263193152564,0.2696369020701653,2845.366840575144,2350.3135919548176,0.26276865886541523,0.1608304485309107,0.006843332368287404,0.008379710555219144,0.6189747172722307,0.7074010896844624,0.3605172533371025,0.6327389722610631
angelhasfallen,36.421568627450974,27.8171326366979,1209756.4450619791,4667335.491197369,0.2507026365795701,0.28292585750320864,3686.115581034615,2869.075018383901,0.2674481007356213,0.1532543216441508,0.003270358794998029,0.0062129344650902665,0.5804837847381611,0.7422650919108968,0.4670428592220046,0.7723971748647485
angrybirdsmovie,34.65,30.910529489695467,369915511.078566,751228830.3413737,0.3415629566501276,0.34148056657907155,7726.730432469832,2614.321826955031,0.2544392523364486,0.1702969278133023,1.0,1.0,0.7908642705466457,0.8958852555027604,0.979001931514447,0.703813870459458
annabellemovie,52.36363636363637,45.78825983035402,4579331.774892684,34055753.87676357,0.092468661458162,0.13234750118080255,1387.4944020693085,1821.0507450331907,0.38451268357810414,0.2522635525097034,0.012379399181020241,0.04533339576609159,0.21410448372316696,0.3472179283826394,0.17580006335967635,0.4902536328733852
annamovie,37.91011235955056,33.61267833617541,9961093.345247297,30478166.89014458,0.3236956404202224,0.29021756294467305,4568.54899177322,2762.1518072336157,0.2783786621862858,0.18518401175028879,0.026928022877990832,0.04057108255056542,0.7494937947919678,0.7613951157887404,0.578850048704844,0.7436118744836985
apollo11movie,65.6829268292683,58.86505403510321,6274530.625040619,15502910.006607102,0.18749989547658708,0.23665064533322386,4119.307187002707,2746.299971683731,0.4823178872643199,0.3243081895793456,0.016962064139310926,0.02063673461462104,0.4341424184811639,0.6208605836143709,0.5219296477110197,0.7393443273067521
