Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
21bridgesmovie,3.5186466946389867,3.413387035686985,13.907436409720257,15.439361475494016,0.18675777789485096,0.24562201559469524,7.270932370296768,7.083155636622394,0.06431727039191959,0.21206534425882484,0.42547611798082385,0.5123046818395187,0.3039631411963861,0.4552504530054624,0.029610949472209214,0.013163414615034341
47metersdown,3.5497575507725285,3.1714564438245776,16.29521864867712,17.237229664372613,0.2456085760468996,0.24974261700357556,8.251181079474705,8.097399569189246,0.07336566469068784,0.15393188779476463,0.6611324878934822,0.6798767831514165,0.4710690627109456,0.47181115660021233,0.5882564218572028,0.8538334167468733
abeautifuldaymovie,3.743390457684582,3.729937200855897,14.801672939208,15.86905966688368,0.23793018889242104,0.3072599992258611,8.239522029695705,7.781294479179758,0.12968256202827055,0.28812912397298274,0.5137306208179154,0.552355131203107,0.44926640239902216,0.7029736069348691,0.5816119087756073,0.5918253749342632
abominablemovie,3.4873480146699616,3.2740700558911686,17.482964049756426,18.210800791377547,0.2518363644696767,0.2845149696465054,8.498777525088927,7.970774907830036,0.05521424872722902,0.1785888933589297,0.7783541360958247,0.7706194530189825,0.48875277059706634,0.6115612969973536,0.7293620739493134,0.748878828489798
adastramovie,4.081181383388109,4.021839048840073,13.771052784838073,14.892246206458838,0.25311789569335913,0.3009523702819392,8.075115103342185,7.784538647920938,0.22792690069872557,0.35827016418181146,0.41201606729826834,0.4613102564087901,0.492391658476375,0.6776232362096548,0.4879161107845542,0.5945143487156113
adogsjourneymovie,3.5447919305708178,3.37107328967983,14.80460898573631,15.342963375861899,0.3359944296817529,0.349168693945698,8.07879629302934,7.643165806393914,0.07192144569105186,0.2018977821807837,0.5140203868005365,0.5033198006242261,0.7277182813759008,0.8714047174524651,0.4900140272953992,0.47733552893492437
aftermathmovie,3.5749351947647185,3.28135888333438,13.511486345218929,14.1856024829854,0.20429768996170852,0.2599513991686895,8.074959436746921,7.868406776561414,0.0806884220387164,0.18034032433581482,0.38639878783541304,0.39544682195135805,0.3537674473613407,0.5128402683059625,0.4878273961167032,0.66402959807436
aftermovie,4.0652005675530205,4.005587232938498,15.56125438261658,16.475720257267266,0.212973970075358,0.2316550068940771,8.064837875322961,7.652975518008253,0.22327898222707743,0.354365018392256,0.5886956669122704,0.6088995378189794,0.3784036091337597,0.39911702289553996,0.48205910036683797,0.4854664430266338
ahiddenlifefilm,3.979523238060045,4.002524439005739,14.887473335670451,15.650586831238478,0.25630518498921984,0.23970192238709184,8.52082440417704,8.001715257910906,0.19836027679543478,0.3536290602135991,0.5221984826009235,0.5319921522177171,0.5014419166146286,0.4314575890188792,0.741926629319269,0.7745241622534591
alitamovie,3.5775096332922662,3.3739040337426505,14.744304711451486,15.655278959135911,0.2673263193152564,0.2696369020701653,7.953447280453775,7.762304041620457,0.08143718108267206,0.2025779811397912,0.5080688028845813,0.5324294866876527,0.532736255273041,0.5517663198215872,0.41857740341859273,0.576084890154573
