Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
21bridgesmovie,3.5186466946389867,3.4133870356869846,13.907436409720257,15.439361475494016,0.18675777789485096,0.24562201559469524,7.270932370296768,7.083155636622394,0.06431727039191959,0.21206534425882484,0.4254761179808239,0.5123046818395187,0.3039631411963861,0.4552504530054624,0.029610949472209214,0.013163414615034341
alitamovie,3.5775096332922662,3.3739040337426505,14.744304711451486,15.655278959135911,0.2673263193152564,0.2696369020701653,7.953447280453775,7.762304041620457,0.08143718108267206,0.2025779811397912,0.5080688028845813,0.5324294866876527,0.532736255273041,0.5517663198215872,0.4185774034185927,0.576084890154573
angelhasfallen,3.5951611438675886,3.325652112768498,14.005929612239619,15.356098908184451,0.2507026365795701,0.28292585750320864,8.212328494502836,7.961744963560009,0.08657101047549942,0.19098353611461028,0.4351966654361584,0.5045441110418398,0.4855335679732795,0.6051746527741972,0.5661142649925539,0.7413942352622875
annamovie,3.6352178933737735,3.514903327231348,16.114197397155305,17.232521145574697,0.3236956404202224,0.29021756294467305,8.426950926201515,7.923765295251603,0.0982212608672971,0.23645867488087124,0.6432670350415867,0.6794379209512207,0.6927960614979045,0.6344800285031083,0.6884279682579972,0.7099142659840982
avengers,4.154327266823811,4.276482558134478,14.351750892921267,15.82770841523942,0.2627411998693503,0.26814156391658595,8.040896503249371,8.08369328164729,0.24920091488261764,0.4194584051870698,0.4693266569883136,0.5485009464676687,0.5197168802718237,0.5457565534117668,0.4684148700951018,0.8424727722242542
blackandbluemovie,3.475483021045624,3.1793531604027385,14.462366600418408,15.333444764563591,0.2296098066613827,0.2439348850393909,7.936220752064563,7.630241233498678,0.051763390923620256,0.1558293883376749,0.48024360563581,0.5024326089453837,0.4256408071015924,0.4484698726290573,0.40875997443404977,0.4666228193248276
captainmarvelofficial,3.8755020928072814,3.7370511130982913,15.021622607862358,16.048248935465892,0.3794836910346744,0.3437300103811567,8.299381867440312,8.220001349600963,0.16810638941874856,0.2898385246091272,0.5354380192703062,0.5690566460608744,0.8512053592502131,0.8495466395845355,0.6157261361350796,0.9554535849240108
charliesangels,3.5864132964824744,3.6738592076614087,16.018638701402928,17.177455441334587,0.34061804272520313,0.3091966800923713,8.37387422246165,7.905693202448696,0.08402675479618937,0.2746541535243605,0.6338361016058681,0.6743054669555302,0.7408469583456896,0.7107571304076268,0.6581794609600262,0.69493496385833
coldpursuitmovie,3.456925273117572,3.2392616765283555,15.282712368802946,16.52621118994562,0.2395739192226644,0.2838040882286133,8.475601987885396,8.188526954340933,0.046365988170401606,0.17022479442172944,0.5612056392319577,0.6136055956592859,0.4539337489802373,0.6087042634518727,0.7161542943239771,0.92936560048482
detectivepikachumovie,3.7500921382819246,3.2400984829783703,16.617545246210618,17.613671572121135,0.2438619772025071,0.23261337017094216,8.0479177286577,7.644916567157747,0.1316317031335127,0.17042587048638216,0.6929437287435799,0.7149634273745535,0.4661096225916392,0.4029686864245704,0.4724162788684394,0.4787866710199831
