Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
abeautifuldaymovie,3.743390457684582,3.729937200855897,14.801672939208,15.86905966688368,0.23793018889242104,0.3072599992258611,8.239522029695705,7.781294479179758,0.12968256202827055,0.28812912397298274,0.5137306208179154,0.5523551312031071,0.44926640239902216,0.7029736069348691,0.5816119087756073,0.5918253749342632
ahiddenlifefilm,3.9795232380600445,4.002524439005739,14.887473335670451,15.650586831238478,0.25630518498921984,0.23970192238709184,8.52082440417704,8.001715257910906,0.1983602767954348,0.3536290602135991,0.5221984826009235,0.5319921522177171,0.5014419166146286,0.4314575890188792,0.7419266293192691,0.7745241622534591
bombshellmovie,3.722750517519977,3.4262326556606837,17.127229325640187,18.433523384740912,0.29994018121624777,0.3205948130750793,8.682218687956565,7.789560683320284,0.12367956692872463,0.21515201586883606,0.743245761316332,0.7913785349196494,0.6253428063861296,0.7565662449347859,0.8339055169812202,0.5986769316745155
breakthroughmovie,3.756041742551088,3.5649446260025246,15.629206080622573,16.494202990138415,0.2617181029821375,0.3021658648296213,8.398773940764611,7.93049722553345,0.13336210763019196,0.24848308916070605,0.5954019947424368,0.6106222394076519,0.5168118126515909,0.6825002727205629,0.6723698544421834,0.7154941187815105
brianbanksmovie,3.442489853725786,3.4037391288560217,16.147391876192422,16.881621116949542,0.34325343849115697,0.3194153474397913,8.23384050782032,7.721167106554287,0.04216753840854704,0.2097470505390868,0.6465430835452587,0.6467319330980184,0.7483301234318703,0.7518259706767361,0.5783739994142145,0.541987976996559
currentwarmovie,3.5255431972310625,3.2307117834741192,13.477514744694858,15.313423445819854,0.1658455303915873,0.20431250426770628,7.770796923350825,7.698139711638971,0.06632307423311634,0.1681703422261035,0.3830460432136408,0.5005665019228127,0.24458314126937114,0.28922746149361794,0.3144846419900817,0.5229014047125551
darkwatersmovie,3.7154672886063667,3.6507555146988553,14.693487208552149,15.383143264976274,0.19145848764218826,0.2280784767584797,8.339940457351862,7.799256042823851,0.12156128620074792,0.2691025714831713,0.5030534928341491,0.507064807344421,0.31731073305184043,0.3847429426106396,0.6388405482309736,0.6067130634499405
dolemiteismyname,3.433310232779274,3.3821722867153485,16.41998427248496,18.32502756364318,0.239498393523935,0.22950721023447285,8.307562684011117,7.895090952242758,0.0394977041397393,0.20456475809313968,0.6734459281715574,0.7812660734848391,0.4537192949391621,0.3904850247156517,0.6203883979620041,0.6861471432788449
fightingwmyfam,3.5503770487673934,3.79971381719464,14.73744619661946,15.618858370802162,0.12164468176321926,0.19049772055569505,7.943027860040872,7.660525450427063,0.07354584173566459,0.3048957340032047,0.5073919184175065,0.5290348693537152,0.11907552244853985,0.2337058238542317,0.4126393573043313,0.4917243081208342
fordvferrari,3.3828482429939597,2.7640253637706507,16.392191588524348,17.200684732783166,0.3853820098261577,0.3367853651441149,8.812611902024258,8.158020753504951,0.024821155904678812,0.05603035011783231,0.6707029967159867,0.6764705762800647,0.8679535432678867,0.8216360993673992,0.9082168402062534,0.9040801172806816
harrietfilm,3.700927792630112,3.7532590568237545,14.330892800940585,15.144984854323006,0.2509487155614937,0.28130822308746645,7.8957972902026,7.876882233772634,0.11733256642737333,0.2937331283617275,0.4672681182491948,0.4848670146668818,0.4862323053962362,0.5986733774928659,0.38572257205251415,0.6710545970938693
judythefilm,3.5166882299736537,3.3446312332226684,15.549070530496259,16.589349699375592,0.2877688663546572,0.3326790707319848,8.056711172204777,7.766856459708056,0.06374766342141147,0.19554402540269566,0.587493211212842,0.6194904835305601,0.5907825480743373,0.8051328956152697,0.4774276778922317,0.5798582243600059
lordsofchaosmovie,3.381463717505205,3.032615196738246,15.40154992377369,16.484607912787848,0.2921951540851284,0.2855016366645328,8.203286045041496,7.96077876175795,0.02441847548710474,0.1205697506182496,0.572934023151061,0.6097279206339894,0.6033509229021174,0.6155267133069859,0.5609609570579943,0.7405933856393165
onthebasisofsex,3.5980591795824632,3.65126480734241,13.77848226806835,15.037476231527314,0.20261789394651766,0.20749811696618448,7.982909913187427,7.4466431055409235,0.08741388569974717,0.26922494931680385,0.4127493021049479,0.4748465660364072,0.3489976928314241,0.30203044397900825,0.4353682099017764,0.3144449914219978
rocketmanmovie,3.5318429944889047,3.1563189000600564,15.750929613716865,16.63397149807899,0.2622161050649772,0.25741152408496965,8.240282045169472,7.774332647045242,0.06815533012946895,0.1502944902476695,0.607415203264532,0.6236495028731897,0.51822588178204,0.5026325063179851,0.5820450429377724,0.5860549648312876
theaeronautsmov,3.6275948923628163,3.383205647858253,14.202242673482163,14.873677145724175,0.3215979336100337,0.3275423780959564,8.461124080208643,8.220301920818361,0.09600415958949947,0.2048130642480176,0.4545713063159188,0.4595795085453236,0.6868396557975385,0.7844885197677847,0.7079033091428704,0.9557027175023364
thebestofenemies,3.6448551429270166,3.471591016820134,15.715622806329945,17.285695754834318,0.2087564740650163,0.2376481532966031,8.321715416707661,7.684187905718925,0.1010241935008146,0.22605116794979166,0.6039306836436632,0.6843941135493175,0.3664280951318719,0.4232034877883296,0.6284540653469985,0.5113372589129703
thehighwaymen,3.6974286638411713,3.697889708948608,13.320562896660668,13.750797282415144,0.2925485286723508,0.3150189103020815,8.162356906830299,8.035371972712452,0.1163148671121056,0.2804284381637475,0.3675560616921355,0.3549203686932103,0.6043543245192895,0.7341566828505335,0.5376353688310234,0.802420992192939
theirishmanfilm,3.760199365047119,3.818741161452688,14.532335964942362,15.669178498898955,0.1869739108520012,0.24357736922890946,7.973640873261738,7.825164448248031,0.13457132564489516,0.3094678109800633,0.4871490621635436,0.533725007182297,0.3045768473500553,0.4470330160199565,0.4300857676609855,0.6281876008307616
tolkienmovie,3.89094527982525,4.1159443763683985,14.331008810099636,15.225448399695951,0.2357537732680988,0.28239517613606285,8.014520224010793,7.8425276701823865,0.17259794197417774,0.3808827156528358,0.4672795674914468,0.4923666998276497,0.4430865042511429,0.60304184351834,0.4533829819252615,0.6425793456091881
