Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
abominablemovie,3.4873480146699616,3.2740700558911686,17.482964049756426,18.210800791377547,0.2518363644696767,0.2845149696465054,8.498777525088927,7.970774907830036,0.05521424872722902,0.1785888933589297,0.7783541360958247,0.7706194530189825,0.4887527705970664,0.6115612969973536,0.7293620739493134,0.748878828489798
adogsjourneymovie,3.5447919305708178,3.37107328967983,14.80460898573631,15.342963375861899,0.3359944296817529,0.349168693945698,8.07879629302934,7.643165806393914,0.07192144569105187,0.2018977821807837,0.5140203868005365,0.5033198006242261,0.7277182813759008,0.8714047174524651,0.4900140272953992,0.4773355289349244
angrybirdsmovie,3.5452977256359124,3.4310968860424538,19.72878518909076,20.43722086417056,0.3415629566501276,0.34148056657907155,8.952441080883965,7.8687600032681475,0.0720685529633075,0.216320840873367,1.0,0.978135160960632,0.7435300266665046,0.8405061213778735,0.9879057364485108,0.6643223748776199
arcticdogsmovie,3.6109179126442235,3.4813444988999875,19.22821709416716,20.671807040843632,0.31903532445453675,0.33199816308151125,8.884452108464432,8.156888757612219,0.0911537662876033,0.2283948303262497,0.9505976473820642,1.0,0.679563167154095,0.8023963266885619,0.9491587008659464,0.9031418469504376
artofracingmovie,3.4723428168754675,3.2416351062096123,16.12643077599179,16.949355916011978,0.32656317688952,0.3452114155001141,8.26916451393827,7.641521976667918,0.05085008254701229,0.1707951053939124,0.6444743786600029,0.6530452227379621,0.7009383864828699,0.8555004091061221,0.5985052129516868,0.4759730181080064
beachbummovie,3.515860289982295,3.023614330246787,16.172344460015754,16.39357632983868,0.19065556415466034,0.1999194087997236,8.434694037461089,7.779802131681527,0.06350686234974134,0.11840693410012347,0.649005718214288,0.6012432309693623,0.3150308443587019,0.2715716038433461,0.6928407810542128,0.5905884222306437
bernadettefilm,3.5569341046450487,3.2107785121425256,15.926411117361605,16.336029676089908,0.19538465196635715,0.2678772859709604,8.462538823106229,7.590282798960708,0.0754529196625916,0.16338058020295046,0.6247339241516595,0.5958795375952863,0.32845901528435584,0.5446944199293333,0.7087095736213902,0.4335027225023538
blindedbythelightmovie,3.5292683487063616,2.769076451791541,16.058567298628322,17.652316338883704,0.2198081136250925,0.2517577031617694,8.528863003036397,7.930413015755187,0.06740651080671822,0.05724407510936036,0.6377767575519279,0.7185653514817659,0.39780905292554297,0.479909791064544,0.746507841021006,0.7154243203511736
booksmart,4.177459468932607,4.525642131758265,14.919621223614106,15.317712126982162,0.25652478108508275,0.26504735826352016,8.293521054739381,7.836077977145621,0.25592876849039803,0.4793289123203719,0.5253712403380236,0.5009662327366011,0.5020654562965435,0.5333209359867981,0.6123860486152326,0.6372334290255468
brittanyrunsmov,3.532875205637355,3.320341207788496,17.74260261924371,18.498083439916254,0.2584162101962064,0.27952030258155425,8.752667600043116,7.658365439524096,0.06845554216576477,0.1897073797547925,0.803978534240866,0.7973959193827962,0.5074361396945355,0.5914877221451837,0.8740544765290528,0.4899339534417537
catsmovie,3.65243383419348,3.457617853569792,16.24361123155454,17.305785671509607,0.1699839256774364,0.2160033480197401,7.937156640279543,7.726104514078507,0.10322840757172412,0.22269355917768185,0.6560392191769057,0.6862666143106546,0.2563340500004067,0.3362129810667368,0.4092933387823648,0.5460804149798033
charliesangels,3.5864132964824744,3.6738592076614087,16.018638701402928,17.177455441334587,0.34061804272520313,0.3091966800923713,8.37387422246165,7.905693202448696,0.08402675479618937,0.2746541535243605,0.6338361016058681,0.6743054669555302,0.7408469583456896,0.7107571304076268,0.6581794609600262,0.69493496385833
detectivepikachumovie,3.7500921382819246,3.2400984829783703,16.617545246210618,17.613671572121135,0.2438619772025071,0.23261337017094216,8.0479177286577,7.644916567157747,0.1316317031335127,0.17042587048638216,0.6929437287435799,0.7149634273745535,0.4661096225916392,0.4029686864245704,0.4724162788684394,0.4787866710199831
disneyfrozen,3.809621071810065,3.4363932456730164,15.305014961622126,16.40931648284786,0.2460136376244378,0.2758738868261741,8.19234051789063,8.023521217136317,0.14894531419055645,0.2175935021339009,0.5634067394737053,0.6027103076610991,0.4722192287292515,0.5768327714435855,0.5547230817836404,0.792598330803937
dolemiteismyname,3.433310232779274,3.3821722867153485,16.41998427248496,18.32502756364318,0.239498393523935,0.22950721023447285,8.307562684011117,7.895090952242758,0.0394977041397393,0.20456475809313968,0.6734459281715574,0.7812660734848391,0.4537192949391621,0.3904850247156517,0.6203883979620041,0.6861471432788449
fightingwmyfam,3.5503770487673934,3.79971381719464,14.73744619661946,15.618858370802162,0.12164468176321926,0.19049772055569505,7.943027860040872,7.660525450427063,0.07354584173566459,0.3048957340032047,0.5073919184175065,0.5290348693537152,0.11907552244853985,0.2337058238542317,0.4126393573043313,0.4917243081208342
gloriabellmovie,3.987843795585543,4.056244867003464,14.115693214482071,14.751264520424527,0.12025107339826585,0.16479990813088302,8.29085166407612,7.7844992211793675,0.2007802579413448,0.3665375317640368,0.4460295176246784,0.4481699174665903,0.11511839327835832,0.13042627497972992,0.6108647581569073,0.5944816693198014
goodboysmovie,3.430269196484132,2.989202031628741,17.867939409056284,18.313083933337534,0.2137826675972697,0.2634044431534112,8.814212740204999,7.964318331297092,0.03861323810777917,0.11013800933066664,0.8163483443608378,0.7801528554858839,0.3806998931072827,0.5267180575547288,0.9091291607156506,0.7435272064258855
happydeathdaymovie,3.370374908696247,3.148352611783732,14.980919997472027,15.58471038278848,0.2818052451106737,0.2774824084913634,8.117291521951449,7.697010194081034,0.02119336609196565,0.1483802723344787,0.5314209739744399,0.5258520720038187,0.5738489387634671,0.5832974225659984,0.5119525263155049,0.5219651885841179
hustlemovie,3.5425391031968325,3.38591140031304,16.648189050022385,16.997062844572028,0.20452090901811806,0.2498641908845735,8.689653877419515,7.7925712955398225,0.07126622520212089,0.2054632289970144,0.6959680445495938,0.6574917946921222,0.35440127438310104,0.4722997622206764,0.8381428446011512,0.6011723189277705
hustlersmovie,3.4876422551769166,3.3870135264806827,14.760087849513965,15.957291888471472,0.2308710824098172,0.2685836849962718,8.205456877218875,7.9175322177767375,0.055299826704066635,0.2057280586867669,0.5096264813700612,0.5605789035943995,0.4292221798755277,0.5475334387319262,0.5621981181537921,0.704747894181585
isntitromantic,3.5711565128056977,3.493237256125512,16.287802911215802,16.798228359628762,0.28765428840217744,0.2943566485449408,8.397793687011188,7.774829309885185,0.07958941646496764,0.2312525387255284,0.6604006096920919,0.6389592278102338,0.5904572057691249,0.6511150200923477,0.6718112060950734,0.5864666306419544
