Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
coldpursuitmovie,3.456925273117572,3.2392616765283555,15.282712368802946,16.52621118994562,0.2395739192226644,0.2838040882286133,8.475601987885396,8.188526954340933,0.09862077252690103,0.2648547569038525,0.3852847124626837,0.4588569303789145,0.4334056569868517,0.6087042634518727,0.7161542943239771,0.972695707200402
everybodyknowsmovie,3.862960076789141,3.917111442079069,15.187259869463196,15.881401932602277,0.3620539886592287,0.30978198408623264,8.075845698809124,7.70942794796145,0.3498046129105221,0.5188334055821876,0.3720874228658861,0.3696385213479989,0.7942598899941429,0.7131094680868482,0.48833247843281397,0.557073438937338
hustlemovie,3.5425391031968325,3.38591140031304,16.648189050022385,16.997062844572028,0.20452090901811806,0.2498641908845735,8.689653877419515,7.7925712955398225,0.1515837462296532,0.3198018861480815,0.5740759051959985,0.5240058640161591,0.33013149025795724,0.4722997622206764,0.8381428446011512,0.6292009663405924
johnwickmovie,3.5939818105640517,3.2260875112050162,16.264051684235667,17.441848002013852,0.2242909747148901,0.2119923206404689,7.803614982025808,7.442352817504744,0.18340756201929895,0.259918623742298,0.5209649641907357,0.5855481319901357,0.38837861508676347,0.3200926556706956,0.3331877116494324,0.325383600221314
littlewoodsfilm,3.8781214537524646,3.612841809790994,14.062965566968069,16.061128414397594,0.14791874222978965,0.19247396780561826,7.614776394048238,7.32583689532489,0.3591838406435017,0.40482880755802897,0.21664217413284392,0.3945062021138843,0.1633685909804406,0.2416483646846517,0.22556826650503226,0.22430509406637444
missbalamovie,3.431680398387232,3.247790746722828,16.278164942556735,17.71492017042984,0.30026569668346065,0.2881226565928269,8.287128672658389,8.119802970496877,0.08300362708165654,0.2680504528125395,0.5229162672839587,0.6233314983721165,0.6122174825043729,0.6260605965539474,0.6087430187659031,0.9130770946192772
shaftmovie,3.5240703224046137,3.013448764213556,14.84234234189965,15.582059575713313,0.25286338587937723,0.2658602348019674,8.298004315851946,7.6424321135844515,0.1401584712417847,0.1802465424608818,0.32439902780285634,0.3282203057547053,0.472559458250557,0.5365878880834847,0.6149410670494362,0.49895401001518896
stubermovie,3.5406222264443703,3.38397580523978,16.09210042598486,17.490072165365035,0.2172615610317276,0.23285683345854985,8.399263931823581,7.762163770382306,0.15039791570509786,0.31907665196481705,0.497190934517689,0.592220621694713,0.3676683583503211,0.40394716576343226,0.6726491012129667,0.6028221919955188
thekitchenmovie,3.751417428980949,3.6599129443962175,13.986186280601055,14.76629467122762,0.20186032240604695,0.25512691234247065,7.64710680921374,7.4335966273277,0.2808013885817964,0.4224655521087598,0.206026648251072,0.21534778400876475,0.3222927949856163,0.4934506481030474,0.2439934272662043,0.3177875343262331
triplefrontier,3.684808679743455,3.7417237426510215,13.891559494994473,14.703498708120794,0.2179591414061441,0.28413512227211146,7.8010530929939135,7.821384768693563,0.2395954592246752,0.4531186511345741,0.1929435220689153,0.2066590813294049,0.3697235893126237,0.6100346897974858,0.3317276865608809,0.6541968876621418
underthesilverlake,3.429676852984024,2.9242660937207923,15.986213113949466,17.14263067233422,0.2006809928306094,0.2623622131528631,8.253466511228053,7.9398716883892995,0.0817641810435088,0.1468313296978071,0.4825509247618036,0.5441472156656963,0.3188182209478562,0.522529333530261,0.5895588934539502,0.7569852501252416
