Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
47metersdown,3.5497575507725285,3.1714564438245776,16.29521864867712,17.237229664372613,0.2456085760468996,0.2497426170035756,8.251181079474705,8.097399569189246,0.15604926831612387,0.2394493024054881,0.5252741175228335,0.5572363136733254,0.4511851330255999,0.4718111566002123,0.5882564218572028,0.8936419625394781
adogsjourneymovie,3.5447919305708178,3.37107328967983,14.80460898573631,15.342963375861899,0.3359944296817529,0.349168693945698,8.07879629302934,7.643165806393914,0.15297740467075727,0.3142423012974461,0.31918200329128005,0.2951379913909673,0.7174824827752833,0.8714047174524651,0.4900140272953992,0.4995904944695848
aftermathmovie,3.5749351947647185,3.28135888333438,13.511486345218929,14.1856024829854,0.20429768996170847,0.2599513991686895,8.074959436746921,7.868406776561414,0.17162482305326246,0.280627856255801,0.140394500720596,0.13500087120992246,0.3294738359819283,0.5128402683059625,0.4878273961167032,0.6949888603193335
aftermovie,4.0652005675530205,4.005587232938498,15.56125438261658,16.475720257267266,0.212973970075358,0.2316550068940771,8.064837875322961,7.652975518008253,0.4749159154190377,0.5519837627044158,0.4237960101929781,0.4518708013295123,0.3550361370172732,0.39911702289554,0.482059100366838,0.5081004987440014
arcticmovie,4.285309215172076,4.551788171045493,12.947792807189474,14.183675827479961,0.2592962563654242,0.31775367317583825,7.902587957976658,7.744744106749607,0.6110809311040488,0.7566358599940693,0.062458072479577575,0.13473429138497672,0.4915121626044682,0.7451476991756283,0.38959258562246735,0.5877104927120778
artofracingmovie,3.4723428168754675,3.2416351062096123,16.12643077599179,16.949355916011978,0.32656317688952,0.3452114155001141,8.26916451393827,7.641521976667918,0.10815847179645256,0.2657440401843282,0.5019374584341371,0.5174049410030255,0.6896958599533414,0.8555004091061221,0.5985052129516868,0.4981644588688861
bernadettefilm,3.5569341046450487,3.2107785121425256,15.926411117361605,16.336029676089908,0.19538465196635715,0.2678772859709604,8.462538823106229,7.590282798960708,0.1604888738526915,0.2541826050961157,0.4742826837739214,0.4325426492173727,0.3032139922018497,0.5446944199293333,0.7087095736213902,0.4537140572211378
blindedbythelightmovie,3.5292683487063616,2.769076451791541,16.058567298628322,17.652316338883704,0.2198081136250925,0.2517577031617694,8.528863003036397,7.930413015755187,0.14337410743129775,0.0886844400045671,0.4925546348307071,0.6146693797902623,0.3751710833823913,0.479909791064544,0.746507841021006,0.7487797750092415
breakthroughmovie,3.756041742551088,3.5649446260025246,15.629206080622573,16.494202990138415,0.2617181029821375,0.3021658648296213,8.398773940764611,7.93049722553345,0.2836621109415112,0.3868825565857209,0.4331910312074332,0.4544281467809432,0.4986474753729511,0.6825002727205629,0.6723698544421834,0.7488528276739004
brianbanksmovie,3.442489853725786,3.4037391288560217,16.147391876192422,16.881621116949542,0.34325343849115697,0.3194153474397913,8.23384050782032,7.721167106554287,0.08969064129778159,0.3264816294104723,0.5048355460853637,0.5080328810650563,0.7388691791444206,0.7518259706767361,0.5783739994142145,0.5672572540922172
brittanyrunsmov,3.532875205637355,3.320341207788496,17.74260261924371,18.498083439916254,0.2584162101962064,0.27952030258155425,8.752667600043116,7.658365439524096,0.14560540427444746,0.2952338627639736,0.7253898352825228,0.7316931264338911,0.4889193457742283,0.5914877221451837,0.8740544765290528,0.512776299312037
captivestatemovie,3.5644898214475083,3.623191767601447,15.159701511527913,16.961092540469018,0.3950260915789848,0.3629997148443964,7.683305244381317,7.483381223342429,0.16516303957969658,0.40870675873861373,0.3682771964915135,0.5190288676906862,0.8914032290245668,0.9269916123708885,0.2646229794649999,0.3609760745750785
coldpursuitmovie,3.456925273117572,3.2392616765283555,15.282712368802946,16.52621118994562,0.2395739192226644,0.2838040882286133,8.475601987885396,8.188526954340933,0.09862077252690103,0.2648547569038525,0.3852847124626837,0.4588569303789145,0.4334056569868517,0.6087042634518727,0.7161542943239771,0.972695707200402
everybodyknowsmovie,3.862960076789141,3.917111442079069,15.187259869463196,15.881401932602277,0.3620539886592287,0.30978198408623264,8.075845698809124,7.70942794796145,0.3498046129105221,0.5188334055821876,0.3720874228658861,0.3696385213479989,0.7942598899941429,0.7131094680868482,0.48833247843281397,0.557073438937338
fightingwmyfam,3.5503770487673934,3.79971381719464,14.73744619661946,15.618858370802162,0.12164468176321926,0.19049772055569505,7.943027860040872,7.660525450427063,0.15643250611754622,0.4748465346831926,0.3098960570433056,0.3333119354338583,0.08595921342810364,0.2337058238542317,0.4126393573043313,0.514650126264315
fivefeetapartfilm,3.500905589446192,2.822589680965879,14.605965005269143,15.193528268696994,0.23655405544997984,0.3070704935417809,8.190983625639364,7.548795558172027,0.12582815636891498,0.10873492659147377,0.29171743028356034,0.2744615473685175,0.4245084492167092,0.7022119832901241,0.553949786490735,0.4177235398312735
glassmovie,3.9851286201018454,3.750988143972901,13.333587482091264,14.869819720179342,0.2066960342579812,0.27805972591586564,7.509169172329477,7.246596805476228,0.4253812964998911,0.4565898629695936,0.11579815351254365,0.22967192724513,0.33653990555145225,0.585617662210304,0.16538252413989252,0.15556367435617968
gloriabellmovie,3.987843795585543,4.056244867003464,14.115693214482071,14.751264520424527,0.12025107339826585,0.16479990813088302,8.29085166407612,7.7844992211793675,0.42706097567799,0.5709643069177915,0.22393231361387864,0.21326815173476252,0.08185332518064259,0.13042627497972992,0.6108647581569073,0.6221983764570647
