Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
disneyaladdin,3.5590678425919458,3.1761294152223862,15.247793041388654,16.566235830576993,0.2694227867751646,0.2724837441331717,8.119971436876874,7.839472652732803,0.07607350375037425,0.15505475521397385,0.5577593610060848,0.6173361322894688,0.5386891418576566,0.5632077825859576,0.5134798145694432,0.6400471524716318
disneymaleficent,3.5762461791270304,3.4198181583203198,15.167811514611534,16.153175852826937,0.21000969394529231,0.2336261911915652,8.179678525611623,7.988422261048457,0.08106971348819625,0.2136106775080927,0.5498657784369297,0.5788364642561876,0.3699865933940845,0.4070392157120969,0.547506989998146,0.7635060793821999
dontletgomovie,3.72481146334,3.681215801352517,13.128760264639793,13.67947544222775,0.29443734498567004,0.2758710407896773,8.193591549850067,7.959948421027549,0.12427897989016545,0.27642186804022073,0.3486265666719034,0.34827274530037,0.6097175889187537,0.5768213332183929,0.5554360471090778,0.7399051463300309
dumbo,3.647702282889538,3.707754675758844,15.12659236326036,17.131504736959393,0.20114688057519486,0.2427707597345617,7.7866648161575505,7.644805709029093,0.10185226601974796,0.2827988891851232,0.5457977543852298,0.6700225856316686,0.3448207733554972,0.4437912511834412,0.32352778215417555,0.4786947847387255
godzillamovie,4.077250128862802,4.135527067937851,13.262796950556504,14.5363149239444,0.25794745922706785,0.2704243862321624,7.593210955971114,7.567788177957699,0.2267835203661143,0.3855882369308116,0.3618549919122446,0.4281353255086635,0.5061051286442458,0.5549312199170661,0.2132780852184002,0.414857747186904
hellboymovie,3.6378466781595376,3.3757127723573173,14.878880653269524,16.097867615425027,0.2914916913226804,0.2936284295132869,7.93447515205316,7.946572267136933,0.09898582617421414,0.2030126026016789,0.5213504486766495,0.5736814047147669,0.6013534513832718,0.6481883066496723,0.4077651539014289,0.7288181376147991
isntitromantic,3.5711565128056977,3.493237256125512,16.287802911215802,16.798228359628762,0.28765428840217744,0.2943566485449408,8.397793687011188,7.774829309885185,0.07958941646496764,0.2312525387255284,0.6604006096920919,0.6389592278102338,0.5904572057691249,0.6511150200923477,0.6718112060950734,0.5864666306419544
itmovieofficial,3.675456433781796,3.7221061307851078,16.509877957857228,18.206625652495013,0.26946817010132845,0.2756288680332857,7.717005081597549,7.772905395411934,0.10992438398470206,0.28624739761699497,0.6823177671639412,0.7702303050268531,0.5388180071029572,0.5758480405265345,0.2838285762739439,0.5848719677286294
lighthousemovie,6.735780014242327,6.692488420794112,9.59631034938305,9.94288393966302,0.25848338907245355,0.2469928599379781,7.796485564151112,7.823258443743862,1.0,1.0,0.0,0.0,0.5076268930636332,0.4607598785943392,0.32912464379823536,0.6266077828410914
littlethemovie,3.5334036072348542,3.152384164720618,18.164012071442173,19.13203908052237,0.2206909058575552,0.2601577249987069,8.973662744391218,7.848665661257735,0.06860922440394412,0.1493490134322243,0.8455685168329788,0.8564843884329991,0.4003157276715751,0.5136694921438942,1.0,0.647666903744577
starwars,4.265333806412189,4.379209327327488,14.948765772802188,16.153913400016872,0.3153503533554505,0.3134888759928826,8.152339584266098,8.011049379842554,0.2814864596977783,0.444142601255882,0.528247590849536,0.5789052080791213,0.6690997493143508,0.7280074725362735,0.5319264789916236,0.7822608773100805
thedeaddontdie,3.5479570448430247,3.6703260304449934,15.397436085898324,16.593815215125588,0.13990421202430905,0.20834405980183293,7.62008079151381,7.486147367246318,0.07284199901213861,0.2738051670348507,0.5725280179114284,0.6199066963888202,0.17092317322838202,0.30543028957656704,0.22859125199853736,0.3471886408595077
whatmenwant,3.4684496086713232,2.976871524916698,16.813072123411573,17.781274581597764,0.24150032759410664,0.2609700849010599,8.700595107107205,7.856419831374969,0.049717767744517416,0.10717511418951796,0.7122407790984165,0.7305850333732196,0.4594037554411778,0.516934367879299,0.8443782707436434,0.6540940540579028
yesterdaymovie,3.4622332722485245,3.155265528310712,16.41611645363678,17.207046567151313,0.18015123324410048,0.2530203236644509,8.418138728461123,8.124500196185844,0.047909785900307145,0.15004137574792975,0.6730642031824139,0.6770635374102871,0.2852039609208963,0.4849842648664748,0.6834058811862791,0.8762961433390304
