Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
47metersdown,3.5497575507725285,3.1714564438245776,16.29521864867712,17.237229664372613,0.2456085760468996,0.2497426170035756,8.251181079474705,8.097399569189246,0.07336566469068784,0.15393188779476466,0.6611324878934822,0.6798767831514165,0.4710690627109456,0.4718111566002123,0.5882564218572028,0.8538334167468733
annabellemovie,3.958212387897521,3.824027722678768,15.337063644767374,17.343509559448613,0.09246866145816199,0.13234750118080255,7.235254811067808,7.5071689459144055,0.1921621517973705,0.3107381177838251,0.5665697064341221,0.6897827069868017,0.03623066881363002,0.0,0.009278245391709737,0.3646126648208741
blackchristmas,3.409040559123181,3.257169161880508,14.653509796046214,15.810501286017065,0.18361652404602608,0.20828077841273207,7.879860248149233,7.643732233415513,0.03243902417927369,0.17452778071249253,0.4991080191825127,0.5468971387919046,0.2950435999904566,0.3051759615734496,0.3766400236105074,0.47780501974494
brightburnmovie,4.087503030405384,3.9030519580791254,13.19978896657794,14.211541968541743,0.2075671531564025,0.2645344584359853,7.5872765105315265,7.665585139486174,0.22976551145840415,0.3297268364608951,0.3556365719333815,0.3978645376262413,0.3630510370009531,0.5312595907668265,0.20989603427061354,0.4959181008323626
childsplaymovie,3.5722771235898616,3.866841036573252,14.850109308534664,15.9955502089742,0.1457554155379225,0.21460886823456424,7.699367528090693,7.656438225331287,0.07991533897211556,0.3210257209356522,0.5185109306724093,0.5641448085917535,0.1875375741509559,0.3306085645994222,0.2737769033481863,0.4883365555105907
countdown,3.81560583015164,4.317553015515703,15.430412999427858,16.54300809116971,0.2325900528104922,0.2965857065452675,8.181205672872231,8.025661393977815,0.15068594302522975,0.4293272176747784,0.5757825943156355,0.6151711676244946,0.4341031694607309,0.6600736077294245,0.5483773139218764,0.7943722457489857
doctorsleepmovie,3.7284476509100255,3.3702145515212214,13.56857493996079,14.644790964339773,0.12786159054195895,0.21481940540212308,7.355835634049169,7.4944517351839375,0.1253365418787088,0.20169143614999366,0.3920330080673883,0.4382459432633417,0.1367283377554651,0.33145471380960945,0.07799746958888852,0.35407183018670985
dontletgomovie,3.72481146334,3.681215801352517,13.128760264639793,13.67947544222775,0.29443734498567004,0.2758710407896773,8.193591549850067,7.959948421027549,0.12427897989016545,0.27642186804022073,0.3486265666719034,0.34827274530037,0.6097175889187537,0.5768213332183929,0.5554360471090778,0.7399051463300309
escaperoom,3.4456257685507103,3.6019986999543745,15.298894815188904,16.552359225920586,0.2555499973849953,0.2947724368782145,8.127531027454115,7.790082893256726,0.043079599256421575,0.2573868056287789,0.5628027264827983,0.6160427494843597,0.4992975732160178,0.652786074062931,0.5177880386043432,0.5991097725467025
happydeathdaymovie,3.370374908696247,3.148352611783732,14.980919997472027,15.58471038278848,0.2818052451106737,0.2774824084913634,8.117291521951449,7.697010194081034,0.02119336609196565,0.1483802723344787,0.5314209739744399,0.5258520720038187,0.5738489387634671,0.5832974225659984,0.5119525263155049,0.5219651885841179
itmovieofficial,3.675456433781796,3.7221061307851078,16.509877957857228,18.206625652495013,0.26946817010132845,0.2756288680332857,7.717005081597549,7.772905395411934,0.10992438398470206,0.28624739761699497,0.6823177671639412,0.7702303050268531,0.5388180071029572,0.5758480405265345,0.2838285762739439,0.5848719677286294
lalloronamovie,4.341204640153626,4.468310114223192,12.554504544483512,13.683146735000756,0.1460887264243135,0.19264510227211987,7.218974381854213,7.5425951990930225,0.30355300831739906,0.4655526125985596,0.2919517928144985,0.34861493181232306,0.1884840052032128,0.242336154376824,0.0,0.3939762009278338
lighthousemovie,6.735780014242327,6.692488420794112,9.59631034938305,9.94288393966302,0.25848338907245355,0.2469928599379781,7.796485564151112,7.823258443743862,1.0,1.0,0.0,0.0,0.5076268930636332,0.4607598785943392,0.32912464379823536,0.6266077828410914
