Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
adastramovie,4.081181383388109,4.021839048840073,13.771052784838073,14.892246206458838,0.25311789569335913,0.3009523702819392,8.075115103342185,7.784538647920938,0.2279269006987256,0.35827016418181146,0.4120160672982683,0.4613102564087901,0.49239165847637495,0.6776232362096548,0.4879161107845542,0.5945143487156113
annabellemovie,3.958212387897521,3.824027722678768,15.337063644767374,17.343509559448613,0.09246866145816199,0.13234750118080255,7.235254811067808,7.5071689459144055,0.1921621517973705,0.3107381177838251,0.5665697064341221,0.6897827069868017,0.03623066881363002,0.0,0.009278245391709737,0.3646126648208741
bernadettefilm,3.5569341046450487,3.2107785121425256,15.926411117361605,16.336029676089908,0.19538465196635715,0.2678772859709604,8.462538823106229,7.590282798960708,0.0754529196625916,0.16338058020295046,0.6247339241516595,0.5958795375952863,0.32845901528435584,0.5446944199293333,0.7087095736213902,0.4335027225023538
blackchristmas,3.409040559123181,3.257169161880508,14.653509796046214,15.810501286017065,0.18361652404602608,0.20828077841273207,7.879860248149233,7.643732233415513,0.03243902417927369,0.17452778071249253,0.4991080191825127,0.5468971387919046,0.2950435999904566,0.3051759615734496,0.3766400236105074,0.47780501974494
everybodyknowsmovie,3.862960076789141,3.917111442079069,15.187259869463196,15.881401932602277,0.3620539886592287,0.30978198408623264,8.075845698809124,7.70942794796145,0.16445862396522093,0.3331051872297087,0.5517851865933109,0.5535055044141182,0.8017139917814446,0.7131094680868482,0.48833247843281397,0.5322578142986263
gretafilm,3.568274359836157,3.5964865006243567,13.773411694508312,14.980169589907732,0.20956344034090635,0.2427028096179698,7.657070057675887,7.513175761836503,0.07875116063601106,0.2560622802874155,0.4122488741601217,0.4695052432326976,0.36871946325937605,0.4435181595571357,0.2496715001792449,0.3695914966303544
happydeathdaymovie,3.370374908696247,3.148352611783732,14.980919997472027,15.58471038278848,0.2818052451106737,0.2774824084913634,8.117291521951449,7.697010194081034,0.02119336609196565,0.1483802723344787,0.5314209739744399,0.5258520720038187,0.5738489387634671,0.5832974225659984,0.5119525263155049,0.5219651885841179
highlifemovie,3.7717419409906716,4.038701163748927,14.675958179342793,15.662585429398133,0.15537466216402748,0.2214513139632968,7.981992323685043,7.682114163962817,0.13792841032017467,0.36232195860516136,0.5013235078614097,0.53311049355044,0.21485127459692235,0.3581083648306448,0.4348452740221216,0.5096184096001464
lalloronamovie,4.341204640153626,4.468310114223192,12.554504544483512,13.683146735000756,0.1460887264243135,0.19264510227211987,7.218974381854213,7.5425951990930225,0.30355300831739906,0.4655526125985596,0.2919517928144985,0.34861493181232306,0.1884840052032128,0.242336154376824,0.0,0.3939762009278338
midsommarmovie,3.8469905351572917,4.018614449102482,16.015608320714318,16.344646764135668,0.2991708257343413,0.3328874536066911,8.482154008999059,7.863993972918212,0.1598139845237566,0.35749532571671194,0.6335370255423644,0.5966827018984038,0.623158233520285,0.8059703867190671,0.7198883027402578,0.6603719852171164
petsematarymovie,3.7802044308072986,3.6258389090237646,12.496050115753384,13.690509337135707,0.1853398696740483,0.21671166148643695,7.3425501524286165,7.067274359342005,0.1403896715687073,0.26311536498690136,0.2861827749136542,0.3493011705024056,0.2999370129653275,0.33905969401229297,0.07042605012535219,0.0
piercingmovie,3.714463994814576,3.5856826961174817,13.352325150797107,14.280546275219749,0.14706598709524232,0.20531266273212,7.500531253819605,7.080658918485553,0.12126948459340316,0.2534662361323056,0.3706907602370525,0.4042961529922247,0.19125892160372746,0.2932470999476651,0.16045975910976384,0.011093975524470778
readyornotfilm,3.7554379924658,3.7518711463749908,14.821519103513785,15.903711536317651,0.16767023364676265,0.2004055462374788,7.5632324329714224,7.765516192943869,0.1331865107643858,0.29339962762075844,0.5156892898123856,0.5555848933243546,0.2497643576423232,0.2735253909763663,0.19619327196053596,0.5787473258598244
scarystoriesmovie,3.6336702168551533,3.654522581669733,13.299351699327893,14.057751747450954,0.17534742444299276,0.2421560199516503,7.755879999601603,7.7028261741013155,0.0977711290121236,0.2700077592978369,0.3654626740777246,0.3835303663734093,0.2715636209136994,0.4413206110213624,0.3059834607731187,0.5267858434375068
serenityfilm,3.4472627485054024,3.077959334619284,15.787800070658973,16.262780049740876,0.35184733957217496,0.3338793854912322,8.480047061185982,8.160841299647045,0.043555704447023065,0.13146548499030794,0.6110540434812989,0.5890522329666446,0.7727323712287167,0.8099569625355645,0.7186875494566198,0.9064179656573392
theintrudermovie,3.6551538194058995,3.585662042367288,15.349526933204364,16.441632898132735,0.2593282360185113,0.2599728339936668,7.801165932546067,7.737631092885232,0.10401949794169496,0.2534612732465522,0.5677997404222793,0.6057223914443559,0.5100258227620034,0.5129264149015271,0.3317919940211471,0.5556343780047532
usmovie,3.761437391765384,3.967492389579712,14.628833456169248,15.682361139572873,0.17580750420957664,0.2206740364337604,8.144664310508704,8.082139347396469,0.13493139782841826,0.345211215638933,0.4966726477389775,0.5349537083808793,0.27287001021986595,0.3549844852072067,0.5275523269078324,0.8411847724955841
