Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
aftermathmovie,3.5749351947647185,3.28135888333438,13.511486345218929,14.1856024829854,0.20429768996170847,0.2599513991686895,8.074959436746921,7.868406776561414,0.0806884220387164,0.1803403243358148,0.3863987878354129,0.3954468219513581,0.3537674473613407,0.5128402683059625,0.4878273961167032,0.66402959807436
aftermovie,4.0652005675530205,4.005587232938498,15.56125438261658,16.475720257267266,0.212973970075358,0.2316550068940771,8.064837875322961,7.652975518008253,0.22327898222707745,0.35436501839225604,0.5886956669122704,0.6088995378189794,0.3784036091337597,0.39911702289554,0.482059100366838,0.4854664430266338
artofracingmovie,3.4723428168754675,3.2416351062096123,16.12643077599179,16.949355916011978,0.32656317688952,0.3452114155001141,8.26916451393827,7.641521976667918,0.05085008254701229,0.1707951053939124,0.6444743786600029,0.6530452227379621,0.7009383864828699,0.8555004091061221,0.5985052129516868,0.4759730181080064
fivefeetapartfilm,3.500905589446192,2.822589680965879,14.605965005269143,15.193528268696994,0.23655405544997984,0.3070704935417809,8.190983625639364,7.548795558172027,0.05915738297540896,0.07010275889345541,0.4944157015079848,0.4893915521173036,0.4453588929981809,0.7022119832901241,0.553949786490735,0.3991154536389381
gloriabellmovie,3.987843795585543,4.056244867003464,14.115693214482071,14.751264520424527,0.12025107339826585,0.16479990813088302,8.29085166407612,7.7844992211793675,0.2007802579413448,0.3665375317640368,0.4460295176246784,0.4481699174665903,0.11511839327835832,0.13042627497972992,0.6108647581569073,0.5944816693198014
highstrungmovie,3.435413534779733,3.5556505842224384,16.362179432374827,17.430922395741693,0.34523787313432835,0.32197926096991386,8.256907132698176,7.701829781162073,0.04010943612640816,0.24624982560755826,0.6677410198421919,0.6979301077528169,0.753964894584435,0.7621303432189148,0.5915197097125979,0.5259599694761636
isntitromantic,3.5711565128056977,3.493237256125512,16.287802911215802,16.798228359628762,0.28765428840217744,0.2943566485449408,8.397793687011188,7.774829309885185,0.07958941646496764,0.2312525387255284,0.6604006096920919,0.6389592278102338,0.5904572057691249,0.6511150200923477,0.6718112060950734,0.5864666306419544
lastchristmasthemovie,3.338487253354699,2.5308471460838105,16.179340936909476,16.801289658368002,0.2367593641451434,0.2695530918154224,8.245733047329649,7.578594553055823,0.011919044692546564,0.0,0.649696218512034,0.6392445592186491,0.44594186382912215,0.5514294862749098,0.5851515787059212,0.4238147594845136
littlethemovie,3.5334036072348542,3.152384164720618,18.164012071442173,19.13203908052237,0.2206909058575552,0.2601577249987069,8.973662744391218,7.848665661257735,0.06860922440394412,0.1493490134322243,0.8455685168329788,0.8564843884329991,0.4003157276715751,0.5136694921438942,1.0,0.647666903744577
littlewomenmovie,3.4515224655496715,3.3691656258583342,15.308734511144856,16.15113637630559,0.1453544566731018,0.22371021467380808,7.815787074590403,7.829349988466571,0.044794616010635724,0.20143938999953348,0.5637738313818098,0.5786463728087876,0.18639905772128595,0.3671868903672636,0.3401246087215695,0.6316568432797043
longshotmovie,3.5414589493287463,3.2323409156724066,16.379180856459662,17.418174583652494,0.226442233467922,0.2528172806402184,8.383188101659107,7.876289444865407,0.07095206933126252,0.1685618060959443,0.6694189341083304,0.6967419351870359,0.4166465325279408,0.484168234630197,0.6634874571810707,0.6705632558731809
thesunisalsoastar,3.55390401791718,3.2082567633691346,15.127059892854627,15.610921396416009,0.2610930240207124,0.2848349501785386,8.195190474526651,7.650182008335768,0.07457163824251334,0.16277462966398515,0.5458438960832516,0.5282950957239385,0.5150369107106106,0.6128472992628657,0.5563472771090723,0.4831510041988363
wavesmovie,3.8129390472042473,3.779754488260948,16.631529203997236,18.13220077289894,0.24238707345263685,0.27343484378187305,8.247992939184877,7.72870609217669,0.1499103261950897,0.3000997106037392,0.6943238415006151,0.7632934597447871,0.4619216564466335,0.567030253581883,0.5864394950695777,0.5482367686883345
whatmenwant,3.4684496086713232,2.976871524916698,16.813072123411573,17.781274581597764,0.24150032759410664,0.2609700849010599,8.700595107107205,7.856419831374969,0.049717767744517416,0.10717511418951796,0.7122407790984165,0.7305850333732196,0.4594037554411778,0.516934367879299,0.8443782707436434,0.6540940540579028
