Movie,A_avg,A_std,B_avg,B_std,C_avg,C_std,D_avg,D_std,A_avg_minmaxnorm,A_std_minmaxnorm,B_avg_minmaxnorm,B_std_minmaxnorm,C_avg_minmaxnorm,C_std_minmaxnorm,D_avg_minmaxnorm,D_std_minmaxnorm
angelhasfallen,3.5951611438675886,3.325652112768498,14.005929612239619,15.356098908184451,0.2507026365795701,0.28292585750320864,8.212328494502836,7.961744963560009,0.08657101047549942,0.19098353611461028,0.4351966654361584,0.5045441110418398,0.4855335679732795,0.6051746527741972,0.5661142649925539,0.7413942352622875
annabellemovie,3.958212387897521,3.824027722678768,15.337063644767374,17.343509559448613,0.09246866145816199,0.13234750118080255,7.235254811067808,7.5071689459144055,0.1921621517973705,0.3107381177838251,0.5665697064341221,0.6897827069868017,0.03623066881363002,0.0,0.009278245391709737,0.3646126648208741
annamovie,3.6352178933737735,3.514903327231348,16.114197397155305,17.232521145574697,0.3236956404202224,0.29021756294467305,8.426950926201515,7.923765295251603,0.0982212608672971,0.23645867488087124,0.6432670350415867,0.6794379209512207,0.6927960614979045,0.6344800285031083,0.6884279682579972,0.7099142659840982
blackchristmas,3.409040559123181,3.257169161880508,14.653509796046214,15.810501286017065,0.18361652404602608,0.20828077841273207,7.879860248149233,7.643732233415513,0.03243902417927369,0.17452778071249253,0.4991080191825127,0.5468971387919046,0.2950435999904566,0.3051759615734496,0.3766400236105074,0.47780501974494
captivestatemovie,3.5644898214475083,3.623191767601447,15.159701511527913,16.961092540469018,0.3950260915789848,0.3629997148443964,7.683305244381317,7.483381223342429,0.07765045175701613,0.2624792838718845,0.5490653813758052,0.6541391465499193,0.8953377626680072,0.9269916123708885,0.2646229794649999,0.34489588452455605
countdown,3.81560583015164,4.317553015515703,15.430412999427858,16.54300809116971,0.2325900528104922,0.2965857065452675,8.181205672872231,8.025661393977815,0.15068594302522975,0.4293272176747784,0.5757825943156355,0.6151711676244946,0.4341031694607309,0.6600736077294245,0.5483773139218764,0.7943722457489857
freaksthefilm,3.743409263573333,3.594541077906513,15.763483149959464,17.5051932019179,0.2660455378674588,0.30578373510643725,7.978876098986954,7.882537836323588,0.12968803160120113,0.25559481502805603,0.6086541440407186,0.7048525924678055,0.5290994963706384,0.6970404990985579,0.4330693320573705,0.6757423208809215
glassmovie,3.9851286201018454,3.750988143972901,13.333587482091264,14.869819720179342,0.2066960342579812,0.27805972591586564,7.509169172329477,7.246596805476228,0.19999056645032973,0.293187451139461,0.3688414915241006,0.4592199733423537,0.3605775085044771,0.585617662210304,0.16538252413989252,0.14863387034756226
gretafilm,3.568274359836157,3.5964865006243567,13.773411694508312,14.980169589907732,0.20956344034090635,0.2427028096179698,7.657070057675887,7.513175761836503,0.07875116063601106,0.2560622802874155,0.4122488741601217,0.4695052432326976,0.36871946325937605,0.4435181595571357,0.2496715001792449,0.3695914966303544
hotelmumbaifilm,4.913990891278794,5.201308617370093,12.750096204701945,13.643506120449755,0.3711785783851841,0.31113151696463104,7.772281039514028,7.449484846000893,0.4701442402284398,0.6416846852020368,0.3112552367719347,0.3449201887167517,0.8276231216909253,0.7185332428645688,0.31533044241532515,0.3168004069998789
johnwickmovie,3.5939818105640517,3.2260875112050162,16.264051684235667,17.441848002013852,0.2242909747148901,0.2119923206404689,7.803614982025808,7.442352817504744,0.08622800889771376,0.16705917671138104,0.6580565400194925,0.6989484398043311,0.41053806692288863,0.3200926556706956,0.3331877116494324,0.3108889273069355
jokermovie,3.7534179752515073,3.1741592436857977,15.801781151261563,17.09832343054821,0.1946133906350353,0.2087236357519993,8.157514640863987,7.818920400364858,0.13259900162716487,0.154581343065608,0.6124338722816429,0.6669298888066226,0.3262690307888847,0.3069558059220337,0.5348757528959682,0.6230121360547747
lalloronamovie,4.341204640153626,4.468310114223192,12.554504544483512,13.683146735000756,0.1460887264243135,0.19264510227211987,7.218974381854213,7.5425951990930225,0.30355300831739906,0.4655526125985596,0.2919517928144985,0.34861493181232306,0.1884840052032128,0.242336154376824,0.0,0.3939762009278338
mamovie2019,3.3508860611207845,2.855890560015732,15.289743834828124,16.35694337008951,0.27509426433841416,0.2726453808882761,8.219870278234815,7.947823963184675,0.01552515893834572,0.07810462086368762,0.5618995926970703,0.5978288193454091,0.5547932137532894,0.5638574009609678,0.5704123408748565,0.7298556230611855
petsematarymovie,3.7802044308072986,3.6258389090237646,12.496050115753384,13.690509337135707,0.1853398696740483,0.21671166148643695,7.3425501524286165,7.067274359342005,0.1403896715687073,0.26311536498690136,0.2861827749136542,0.3493011705024056,0.2999370129653275,0.33905969401229297,0.07042605012535219,0.0
piercingmovie,3.714463994814576,3.5856826961174817,13.352325150797107,14.280546275219749,0.14706598709524232,0.20531266273212,7.500531253819605,7.080658918485553,0.12126948459340316,0.2534662361323056,0.3706907602370525,0.4042961529922247,0.19125892160372746,0.2932470999476651,0.16045975910976384,0.011093975524470778
rambomovie,3.7841896339182615,3.767962037798589,15.93883946997527,17.124161464377778,0.2901007546470297,0.29720016766262725,8.2449660463535,8.102939407862273,0.1415487425037495,0.29726610489773564,0.6259605102335671,0.6693381485719223,0.5974039084331069,0.6625431279342089,0.5847144634935999,0.8584251880550609
scarystoriesmovie,3.6336702168551533,3.654522581669733,13.299351699327893,14.057751747450954,0.17534742444299276,0.2421560199516503,7.755879999601603,7.7028261741013155,0.0977711290121236,0.2700077592978369,0.3654626740777246,0.3835303663734093,0.2715636209136994,0.4413206110213624,0.3059834607731187,0.5267858434375068
serenityfilm,3.4472627485054024,3.077959334619284,15.787800070658973,16.262780049740876,0.35184733957217496,0.3338793854912322,8.480047061185982,8.160841299647045,0.043555704447023065,0.13146548499030794,0.6110540434812989,0.5890522329666446,0.7727323712287167,0.8099569625355645,0.7186875494566198,0.9064179656573392
thehummingbirdprojectfilm,3.4846991035074826,3.30688157895392,15.110882042414596,16.571618595623075,0.2884458020045337,0.2799974954023706,8.484917031140768,8.103494300683948,0.05444382979186957,0.1864731680709627,0.5442472624181344,0.6178378382850584,0.592704696271655,0.5934055608485467,0.7214629539436848,0.8588851185851851
thenightingalefilm,3.9621727891136183,3.7309069819101013,12.084084589823801,13.319763090807884,0.17709576284823478,0.25884022282478003,7.530221790743991,7.5470201064442035,0.1933140092593041,0.2883621524802924,0.2455248376923199,0.3147453960941589,0.2765280004888486,0.5083744488182236,0.17738044859416746,0.3976438461095375
theprodigymovie,3.7449072855835994,4.047893669186562,12.790936223434313,13.209909098053933,0.13836306751499733,0.21866886757106474,7.8365442939129295,7.600229399226843,0.13012372175896916,0.3645308240096585,0.3152858432504549,0.3045063449127909,0.1665471174822855,0.3469257083692042,0.3519541847110723,0.44174709863164896
usmovie,3.761437391765384,3.967492389579712,14.628833456169248,15.682361139572873,0.17580750420957664,0.2206740364337604,8.144664310508704,8.082139347396469,0.13493139782841826,0.345211215638933,0.4966726477389775,0.5349537083808793,0.27287001021986595,0.3549844852072067,0.5275523269078324,0.8411847724955841
