username,acc,truth,top_n,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.3333333333333333,"['Adventure', 'Drama', 'Horror']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
adogsjourneymovie,0.3333333333333333,"['Adventure', 'Comedy', 'Drama']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
aftermathmovie,0.3333333333333333,"['Drama', 'Romance', 'War']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
aftermovie,0.0,"['Drama', 'Romance']","['Western', 'War']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
alitamovie,0.3333333333333333,"['Action', 'Adventure', 'Sci-Fi']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
angelhasfallen,0.0,"['Action', 'Thriller']","['Western', 'War']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
angrybirdsmovie,0.3333333333333333,"['Adventure', 'Animation', 'Comedy']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
annabellemovie,0.0,"['Horror', 'Mystery', 'Thriller']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
annamovie,0.0,"['Action', 'Thriller']","['Western', 'War']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
apollo11movie,0.0,"['Documentary', 'History']","['Western', 'War']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
arcticmovie,0.0,"['Adventure', 'Drama']","['Western', 'War']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
artofracingmovie,0.0,"['Comedy', 'Drama', 'Romance']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
avengers,0.3333333333333333,"['Action', 'Adventure', 'Sci-Fi']","['Western', 'War', 'Adventure']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
