username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.13566992,0.11815387,0.06954506,0.063350886,0.22613999,0.09325564,0.07307592,0.37855083,0.09032628,0.054264724,0.06981215,0.1197243,0.06765354,0.074509054,0.071027905,0.08311772,0.05950454,0.16058981,0.05032471,0.073317856
adogsjourneymovie,0.13950509,0.12293893,0.072992265,0.0671913,0.22933215,0.09763613,0.07707125,0.38526243,0.093732625,0.05791682,0.072562665,0.123331696,0.07176107,0.07766056,0.07562128,0.08622196,0.06299803,0.16314325,0.05438727,0.07667145
aftermathmovie,0.14168274,0.12514156,0.07484272,0.06903544,0.23145118,0.09971085,0.07894051,0.38672152,0.0958187,0.05957383,0.07446733,0.12563846,0.073806494,0.07977685,0.07762891,0.08846897,0.06469974,0.16568375,0.056049615,0.07866421
aftermovie,0.14520875,0.12848672,0.077849895,0.07178715,0.23432252,0.1029194,0.081903726,0.38828865,0.0990507,0.06223455,0.07757509,0.12905043,0.0771471,0.083073676,0.080635846,0.092169076,0.06741506,0.16984531,0.05859354,0.08188152
alitamovie,0.14303517,0.12673202,0.076066345,0.07032663,0.23246816,0.10119289,0.080314904,0.3886058,0.09700972,0.060844064,0.07548696,0.12686425,0.0752607,0.08090308,0.079163134,0.089636505,0.06591636,0.16670841,0.057425886,0.07986772
angelhasfallen,0.13895085,0.122151524,0.07246277,0.06657258,0.22899455,0.096919954,0.07640299,0.38387406,0.093283564,0.05728677,0.07223442,0.12289575,0.07109001,0.07728359,0.07483354,0.08587015,0.062425256,0.16300833,0.053653,0.07620123
angrybirdsmovie,0.055229217,0.035149634,0.015480965,0.01069656,0.13893887,0.023056298,0.014781207,0.22979715,0.026915163,0.00795424,0.019033372,0.044134617,0.011255741,0.018579006,0.011090487,0.02358216,0.010670692,0.08601549,0.0053916574,0.017449737
annabellemovie,0.1482076,0.13113967,0.080329865,0.0742268,0.23811221,0.1054678,0.08410692,0.3883862,0.102323234,0.06409013,0.08070105,0.1329039,0.07967368,0.08664611,0.08297202,0.0959166,0.069521666,0.17459649,0.06029108,0.084837735
annamovie,0.1341503,0.11680958,0.06833011,0.062256545,0.22464919,0.091979235,0.07193732,0.37824634,0.08889046,0.053287834,0.06843552,0.11811939,0.06637102,0.073025465,0.06989452,0.081462026,0.058455527,0.1585088,0.04943815,0.071958214
apollo11movie,0.14041802,0.12259659,0.073474586,0.066927016,0.23021102,0.09747529,0.07691908,0.3806479,0.094661325,0.05765173,0.07395008,0.124387234,0.0719496,0.07891169,0.07490218,0.08805928,0.0630092,0.16635126,0.053518623,0.07755965
