username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.11084658,0.08344284,0.091646016,0.078409284,0.14613986,0.084284574,0.08971155,0.41373837,0.08496806,0.080281466,0.08967027,0.08820847,0.09229186,0.09182903,0.06499824,0.082522124,0.07547477,0.07629323,0.08881542,0.08556324
adogsjourneymovie,0.11088166,0.061109573,0.05473864,0.043561995,0.12226808,0.03861803,0.07034692,0.3374556,0.054573596,0.060489237,0.04265073,0.029109031,0.051371425,0.047285467,0.05642125,0.09287611,0.05890259,0.06484923,0.09181148,0.07022402
aftermathmovie,0.10665682,0.095455974,0.08191347,0.09575784,0.13113868,0.097944885,0.10158703,0.4528965,0.08829707,0.10512537,0.08140603,0.09505656,0.098511845,0.09425992,0.08678743,0.118434966,0.11748585,0.10186955,0.10229787,0.11369297
aftermovie,0.11458862,0.10703328,0.10939863,0.14584988,0.19153658,0.1177941,0.12051645,0.4454733,0.12454772,0.13730076,0.10071823,0.13714942,0.14419734,0.10883573,0.14765325,0.15804037,0.1442636,0.11593443,0.11024031,0.114019275
alitamovie,0.13097969,0.101832956,0.09570247,0.09633127,0.16446388,0.095516294,0.11131123,0.41969484,0.0923478,0.10102242,0.08042157,0.08578551,0.10782516,0.10424936,0.09850031,0.13013196,0.12356049,0.10960391,0.10700092,0.11780369
angelhasfallen,0.122427285,0.0996224,0.10370454,0.09756479,0.1551472,0.10162416,0.11078927,0.45664856,0.08963001,0.102220476,0.098495096,0.09310028,0.11427507,0.11223957,0.08512309,0.10537967,0.11164507,0.09494588,0.10248041,0.10502121
angrybirdsmovie,0.03697163,0.0456616,0.013810575,0.003869921,0.0273014,0.17412364,0.03721273,0.35121208,0.079553545,0.0014819503,0.042490542,0.008488804,0.008616358,0.005111724,0.03291005,0.00027179718,0.0008235574,0.008158892,0.025218427,0.008634865
annabellemovie,0.055352896,0.08061087,0.041528612,0.07502368,0.08633742,0.05606082,0.055014998,0.37114388,0.07321772,0.07683715,0.038930744,0.10564083,0.0538373,0.05709839,0.075775,0.116337836,0.0640403,0.06790814,0.069339246,0.087584436
annamovie,0.1378156,0.10773459,0.15159845,0.095816046,0.21854433,0.100045204,0.11522949,0.4707977,0.104932725,0.10803226,0.116083026,0.09503013,0.11761418,0.11668134,0.10019559,0.087596714,0.10209894,0.0919708,0.100360125,0.091659576
apollo11movie,0.092225075,0.08728194,0.09371367,0.13526928,0.1584374,0.09666178,0.09345707,0.46822494,0.0956893,0.10896614,0.10470912,0.12339035,0.119467705,0.08799681,0.10178813,0.12150386,0.10633469,0.08240667,0.088674486,0.09245178
arcticmovie,0.16256467,0.14188522,0.09290087,0.1294966,0.19586593,0.11126804,0.13556296,0.43734488,0.13311309,0.13247496,0.105980396,0.085273,0.1186305,0.121843785,0.17386782,0.19622028,0.124754906,0.15097025,0.17683381,0.16854006
artofracingmovie,0.11243376,0.07162237,0.08106944,0.04980865,0.1528509,0.049757957,0.08486849,0.3683517,0.06629485,0.077242434,0.057551056,0.038367152,0.06547907,0.058587134,0.071991205,0.087147474,0.06732139,0.06994817,0.10534516,0.071588844
avengers,0.11454195,0.11374298,0.10284865,0.1326997,0.17058459,0.13066071,0.11912575,0.5061988,0.10529065,0.13562343,0.10119632,0.12324059,0.1325427,0.120260715,0.11341035,0.13113165,0.13526508,0.11283907,0.11066687,0.124188066
beachbummovie,0.08573517,0.078730404,0.07043481,0.07592741,0.11643922,0.078647435,0.062654376,0.39532107,0.090571314,0.08311719,0.07807633,0.112675816,0.07351935,0.07710552,0.05572462,0.0860596,0.05882016,0.07424137,0.08684671,0.08921829
bernadettefilm,0.09766716,0.09859154,0.08954272,0.106859356,0.1557785,0.09763837,0.092668235,0.43875217,0.110045195,0.11203554,0.092510104,0.11999062,0.10489145,0.091608614,0.09952429,0.10818151,0.09992808,0.089981616,0.09193769,0.09255126
blindedbythelightmovie,0.09139636,0.08305922,0.08004409,0.08235049,0.1383203,0.077923745,0.073482335,0.47509232,0.08612317,0.08015612,0.109300435,0.09745145,0.085018635,0.09733838,0.05169198,0.06654987,0.05929032,0.06210828,0.07614699,0.07515329
booksmart,0.1257424,0.12119377,0.10746986,0.118686825,0.18646696,0.12496063,0.12255004,0.4567963,0.120538294,0.1268565,0.09774089,0.116579145,0.12906873,0.1253776,0.14476106,0.13352665,0.125287,0.12737182,0.12746537,0.12295297
breakthroughmovie,0.14027718,0.11414811,0.12509865,0.11540893,0.18329215,0.12258062,0.13289872,0.5065119,0.1106092,0.12612376,0.1349012,0.11800408,0.13050798,0.12885568,0.10150212,0.1104368,0.114854306,0.10607517,0.10782948,0.10910082
brianbanksmovie,0.11159408,0.07736373,0.09503046,0.053306818,0.16563484,0.056251347,0.08781481,0.37454313,0.07131684,0.077466905,0.062874794,0.04705009,0.072065085,0.06886423,0.07673308,0.082701564,0.07147947,0.07259014,0.100881815,0.07507858
brightburnmovie,0.12006387,0.108376175,0.09184846,0.13485566,0.16392541,0.119814396,0.12801877,0.46340013,0.10823566,0.13143793,0.091463774,0.112962395,0.13917041,0.1131112,0.14417028,0.17384565,0.15971771,0.1266045,0.11518359,0.13100278
brittanyrunsmov,0.10157898,0.09618437,0.11447841,0.06481007,0.16484606,0.10255554,0.072567195,0.4358046,0.09690201,0.080239564,0.11386365,0.09877589,0.0806728,0.08345556,0.06979433,0.048127204,0.043337494,0.05818522,0.07848504,0.06721461
captainmarvelofficial,0.1256809,0.081680685,0.10199943,0.062455267,0.17615932,0.057220995,0.08599734,0.4190031,0.074909896,0.06723037,0.084367245,0.04849562,0.07389617,0.07037985,0.067394376,0.06789863,0.065164655,0.06183204,0.076706946,0.068746984
captivestatemovie,0.07808265,0.034324348,0.031979352,0.024461836,0.090004295,0.019839704,0.041843295,0.30760086,0.0360108,0.034287453,0.024496406,0.01726225,0.03022626,0.025826424,0.030321628,0.065487534,0.030617744,0.040403306,0.06464499,0.04766527
childsplaymovie,0.07613489,0.09908509,0.052894056,0.07875934,0.09885585,0.070020616,0.0732753,0.42399347,0.07768768,0.08076051,0.053106457,0.089628816,0.06465912,0.076675564,0.0818277,0.11124107,0.088828355,0.08142617,0.07862693,0.10345718
clarathefilm,0.08275643,0.09045488,0.05254069,0.06970191,0.08917159,0.07267454,0.06466162,0.38073787,0.08029872,0.07856101,0.05378604,0.09743661,0.058170795,0.06977448,0.065056205,0.10768834,0.07264805,0.08617374,0.08706489,0.111142874
coldpursuitmovie,0.08134827,0.06534186,0.06395361,0.050926507,0.1021826,0.05954963,0.06674057,0.445112,0.05914268,0.052625507,0.06531197,0.059604526,0.06357598,0.06888351,0.04353842,0.046566278,0.05466935,0.049909025,0.054623693,0.05382079
detectivepikachumovie,0.15496194,0.13478804,0.15229005,0.16585273,0.23969492,0.13904327,0.15280691,0.46305275,0.16684058,0.13661638,0.16766477,0.15965134,0.17312461,0.14092875,0.14978465,0.13898185,0.14041689,0.12187827,0.13192236,0.12862131
disneyaladdin,0.1331737,0.10603303,0.11821306,0.10065618,0.18181431,0.09741545,0.115658194,0.4247344,0.099541634,0.10981658,0.0973182,0.09949276,0.1199559,0.115293145,0.0963352,0.12165508,0.11681405,0.10526627,0.11479288,0.11363083
doramovie,0.10513398,0.08672941,0.09774116,0.063408345,0.13712552,0.07631588,0.07424915,0.38144898,0.08111271,0.07751387,0.07762611,0.08753365,0.08163151,0.08100885,0.05796334,0.068095446,0.06556633,0.07073149,0.086434394,0.07704833
dumbo,0.10845083,0.11294153,0.082978815,0.10824546,0.15595672,0.0938319,0.11927593,0.4597863,0.11178401,0.11345807,0.085196614,0.11131203,0.10663813,0.111534625,0.11619979,0.13846096,0.12227863,0.112769455,0.11200294,0.12183732
escaperoom,0.12097594,0.10182831,0.09603405,0.08533743,0.16379762,0.083217114,0.111967415,0.41651252,0.088868886,0.09933999,0.07732102,0.07576096,0.09605262,0.097976714,0.10308623,0.12059799,0.11237979,0.1005179,0.10769254,0.10723901
everybodyknowsmovie,0.15200564,0.09391329,0.1045264,0.081597835,0.20600832,0.07157466,0.106381476,0.38754413,0.10458988,0.08779171,0.08267647,0.06158644,0.0982565,0.094675064,0.099987805,0.122965544,0.09065357,0.099984854,0.122861594,0.10162783
fastandfuriousmovie,0.1050078,0.081863284,0.09509379,0.061264813,0.13912323,0.071098745,0.07753083,0.3873611,0.07135779,0.068088025,0.07035607,0.067258954,0.0801146,0.08328906,0.06387687,0.06619024,0.0725154,0.0683195,0.07910371,0.07358509
fightingwmyfam,0.06319347,0.0866251,0.047374487,0.07006109,0.086366385,0.06093061,0.055221498,0.39440092,0.068719536,0.07550955,0.04552886,0.090409935,0.052063704,0.06302336,0.06809437,0.10217884,0.06991598,0.070396006,0.071555436,0.0944536
fivefeetapartfilm,0.118710995,0.08942032,0.06673226,0.07236588,0.12834278,0.07443866,0.097039014,0.40059704,0.08006835,0.087035716,0.064076364,0.060415983,0.07424539,0.07108632,0.09235391,0.11045748,0.10660684,0.098183185,0.093933284,0.09679675
glassmovie,0.10722211,0.08754429,0.060442626,0.090821296,0.13866979,0.07400131,0.101955086,0.4283684,0.09263438,0.09020576,0.06835428,0.06654468,0.08995208,0.08400965,0.11871463,0.13469833,0.111754596,0.096087396,0.091683924,0.096553385
gloriabellmovie,0.043330103,0.05108133,0.042226195,0.07387951,0.08146423,0.044780344,0.035369843,0.4138521,0.044996887,0.06552392,0.041018665,0.079845965,0.047807336,0.04303527,0.04404974,0.08510476,0.055667818,0.044654906,0.048454702,0.06374195
godzillamovie,0.12359133,0.105683476,0.07991171,0.11228162,0.16420168,0.10290411,0.11668259,0.4496843,0.10411945,0.114147425,0.07976866,0.09103328,0.118760586,0.115804166,0.12941346,0.15887079,0.13332742,0.121609,0.11446658,0.12276992
goodboysmovie,0.079303145,0.06732005,0.06684816,0.04156509,0.09507257,0.071578145,0.04387957,0.39370638,0.076134175,0.053095102,0.08097616,0.08928317,0.04805723,0.050014406,0.034827143,0.032337427,0.02699554,0.044764966,0.0545938,0.046884775
