username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.06254533,0.047244847,0.04391876,0.049705,0.09404275,0.040609032,0.04672849,0.44319245,0.0454396,0.045864254,0.043149084,0.041225195,0.041753113,0.04261723,0.04414922,0.044653386,0.04411006,0.041525066,0.043277264,0.04192558
adogsjourneymovie,0.06645706,0.050018102,0.046175927,0.05068189,0.09829193,0.04226637,0.04974991,0.45152512,0.047807366,0.04754752,0.044689238,0.043239504,0.042584926,0.0451124,0.045634866,0.04752931,0.046667427,0.043095678,0.04728833,0.04494369
aftermathmovie,0.06498301,0.049553066,0.04673657,0.05218312,0.09619382,0.042535722,0.049560398,0.44796658,0.046872854,0.0478383,0.045630127,0.043848753,0.043921858,0.04391831,0.047304124,0.047528297,0.046968997,0.044553846,0.045719236,0.04476708
aftermovie,0.05270511,0.037747264,0.03633359,0.043257624,0.080073,0.03276232,0.03981462,0.43960264,0.036046118,0.037705094,0.035266846,0.034722596,0.03453043,0.03200826,0.039279073,0.038776934,0.038493812,0.036200643,0.03501907,0.035144508
alitamovie,0.06863403,0.05212733,0.049185365,0.055116773,0.10209143,0.044861436,0.052847594,0.44757327,0.050180405,0.05055657,0.047924995,0.046004295,0.04624331,0.046173632,0.04997012,0.051053107,0.050087214,0.04708281,0.048593193,0.047649235
angelhasfallen,0.060993284,0.045986354,0.04262191,0.048014015,0.09136608,0.03912285,0.045410812,0.44525486,0.043576777,0.044332743,0.04177779,0.0400075,0.040307254,0.0411458,0.042867213,0.043292403,0.04267004,0.0402188,0.042115808,0.04080063
angrybirdsmovie,0.059633523,0.04152444,0.041892856,0.046984643,0.09324217,0.045993835,0.048449546,0.4339494,0.0551036,0.049419463,0.043840617,0.035957128,0.034504354,0.053550094,0.040545136,0.041903526,0.04355818,0.037707806,0.048362315,0.039384156
annabellemovie,0.06818661,0.049586773,0.050881952,0.05961439,0.100667566,0.045825332,0.056385607,0.4453572,0.050267637,0.05088362,0.04874465,0.048710674,0.04751894,0.041631877,0.057207793,0.056210786,0.05655524,0.0533323,0.04811299,0.04942864
annamovie,0.06103456,0.04556924,0.04134667,0.0473637,0.090673774,0.03845972,0.044240534,0.4420002,0.04336682,0.04446304,0.041027963,0.038815796,0.039533854,0.041784704,0.04134369,0.04178971,0.041015297,0.038346916,0.041356355,0.03945282
apollo11movie,0.043296993,0.03004226,0.028790206,0.035074383,0.06748074,0.026204407,0.031383574,0.43339977,0.028758287,0.03021282,0.027801126,0.027760148,0.027630746,0.025660694,0.031048983,0.030478626,0.030441463,0.028623551,0.027512938,0.02744764
