username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.17327863,0.14673111,0.09797028,0.114236146,0.16117072,0.11385816,0.0937427,0.40810427,0.08856243,0.056044757,0.095479935,0.12361294,0.078511745,0.05955088,0.14469302,0.102609605,0.0698947,0.12636587,0.090430915,0.092467636
adogsjourneymovie,0.10555899,0.07407647,0.012914836,0.04697156,0.081976116,0.029427767,0.023851424,0.38340202,0.07652402,0.041373372,0.08297908,0.059399664,0.02925989,0.029235989,0.06182182,0.020759791,0.049458683,0.08765292,0.087560356,0.027242422
aftermathmovie,0.14944595,0.10009813,0.037596315,0.09018123,0.14902705,0.111391425,0.05536303,0.50052893,0.07678074,0.08062756,0.12579378,0.10717183,0.086835444,0.07419759,0.117887735,0.062520206,0.049999624,0.15729833,0.09220481,0.07470325
aftermovie,0.16244176,0.14301261,0.09972057,0.16437894,0.2597704,0.20237723,0.1318495,0.5113979,0.11964664,0.16249183,0.14424512,0.15715891,0.15029287,0.1417779,0.1593265,0.16200477,0.101216525,0.19417349,0.12603483,0.12122318
alitamovie,0.1544759,0.123987466,0.050119013,0.12386349,0.14500329,0.1296086,0.06921834,0.42808807,0.10326412,0.11738402,0.16087425,0.14582157,0.08594921,0.08848411,0.12446448,0.087760895,0.085023105,0.15075997,0.12500441,0.07553473
angelhasfallen,0.19519427,0.118469894,0.04783383,0.087647766,0.15123591,0.098258436,0.074294746,0.48591816,0.092528045,0.06411138,0.11517638,0.10200563,0.08993077,0.07181412,0.13345987,0.061528116,0.060379326,0.1570183,0.12146342,0.09029469
angrybirdsmovie,0.2302149,0.16028422,0.9306668,0.020573258,0.07137951,2.4586916e-05,0.011339486,0.008877248,0.0916751,0.0007916987,0.0015294254,0.036845267,0.00011122227,0.007609606,0.002257675,0.026345044,0.015335113,0.00029447675,0.0007830858,5.2392483e-05
annabellemovie,0.037088662,0.0446876,0.020412028,0.06552413,0.1555709,0.09340066,0.023707956,0.43504182,0.028385758,0.07088956,0.054619968,0.08730945,0.044075012,0.03436318,0.04904124,0.056372374,0.027303487,0.08347246,0.027500361,0.025859654
annamovie,0.18408552,0.16402692,0.07714489,0.10289514,0.178819,0.08987999,0.09597948,0.4498176,0.120975316,0.06204793,0.08545819,0.109036446,0.08128631,0.06212005,0.1443935,0.08151749,0.10814014,0.1359272,0.11445546,0.09454158
apollo11movie,0.15768662,0.1534208,0.09508112,0.14492065,0.2337091,0.1698269,0.14224026,0.46983695,0.1219618,0.10180926,0.100811005,0.12659985,0.14509982,0.111221015,0.17391774,0.14698666,0.08209601,0.19396195,0.10754493,0.1250706
arcticmovie,0.17441276,0.10968384,0.062425613,0.13280669,0.15573338,0.16292384,0.08822116,0.4487282,0.10479519,0.1285874,0.18619585,0.15230536,0.10642183,0.11534268,0.11458382,0.08333278,0.0744555,0.19502741,0.15051985,0.092494965
artofracingmovie,0.13590294,0.10024035,0.021757454,0.055984914,0.12732261,0.030652285,0.03732428,0.46045327,0.110595345,0.04154986,0.073290855,0.056995243,0.042840242,0.036706716,0.08696997,0.028527915,0.07862821,0.09381774,0.09199643,0.0369547
avengers,0.20305657,0.1491333,0.08938807,0.15723696,0.18282732,0.18978542,0.12857991,0.4732201,0.11935145,0.118006945,0.15041623,0.14669868,0.13032025,0.09997761,0.15082234,0.12351024,0.081593424,0.22632706,0.14582902,0.14483747
beachbummovie,0.10442671,0.097705096,0.043977678,0.075870305,0.20707035,0.07097474,0.059387237,0.5014312,0.0774515,0.053768218,0.050686628,0.07203132,0.07725972,0.05163279,0.10774076,0.064525396,0.0555456,0.10915536,0.04730797,0.06618714
bernadettefilm,0.15167865,0.13005722,0.051703274,0.09449744,0.21116453,0.06593332,0.081925005,0.5165532,0.14810735,0.07178214,0.081706345,0.07573596,0.10213804,0.081507176,0.14787051,0.069208175,0.095456064,0.13493538,0.091294795,0.07666281
blindedbythelightmovie,0.16458058,0.1377989,0.07047135,0.07795063,0.21702537,0.063614935,0.0822753,0.45286304,0.094638705,0.04225725,0.054424584,0.07920998,0.08457571,0.058766276,0.14186603,0.07024947,0.08025733,0.09815219,0.07650244,0.07835981
booksmart,0.17955494,0.13158691,0.07966763,0.13574526,0.19847369,0.15668318,0.121543646,0.51087224,0.120784044,0.1074872,0.1191431,0.116533816,0.12181026,0.09711477,0.14487308,0.11289647,0.07704365,0.19263655,0.1235863,0.12293711
breakthroughmovie,0.20970786,0.14688623,0.07462612,0.106350005,0.18517312,0.106080025,0.11107582,0.4768799,0.123269945,0.07061726,0.10146582,0.1094687,0.10761663,0.081459284,0.16434738,0.08474797,0.08725208,0.16574103,0.14676672,0.109547466
