username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.18999162,0.12415907,0.10391858,0.13284212,0.19063687,0.14262721,0.088177145,0.4541726,0.10542041,0.10721412,0.11534485,0.1216155,0.10914889,0.1017099,0.15117499,0.097228855,0.10293463,0.16385564,0.1299679,0.10051635
adogsjourneymovie,0.20641342,0.14002252,0.12281379,0.15776119,0.19993776,0.1625466,0.102074206,0.46026975,0.12270275,0.12601918,0.12916687,0.13828105,0.12679958,0.12653643,0.16501144,0.117476076,0.12576902,0.19657594,0.1515998,0.1154767
aftermathmovie,0.24536434,0.18374562,0.1569686,0.19696358,0.24293792,0.20336813,0.14519083,0.46838787,0.16655079,0.1673716,0.17095569,0.1790863,0.16290954,0.1624704,0.20691311,0.15568057,0.1584068,0.22757259,0.18978477,0.1568059
aftermovie,0.19516233,0.15290442,0.10711816,0.1518889,0.19961604,0.1633907,0.11028114,0.46057335,0.1331371,0.12542981,0.13058111,0.13898122,0.11687186,0.10535368,0.15926069,0.10906398,0.107663184,0.18078291,0.13464516,0.12191677
alitamovie,0.22659805,0.1613236,0.1394684,0.17538935,0.22513264,0.18253624,0.12314871,0.4640133,0.14482018,0.14594835,0.15131602,0.15890536,0.14546734,0.14146408,0.18753433,0.13568577,0.14071026,0.20759413,0.16939563,0.13571787
angelhasfallen,0.21600005,0.14857054,0.12715271,0.16178018,0.21111298,0.16709384,0.111753106,0.46333963,0.13076955,0.13269252,0.13750774,0.1477457,0.13188201,0.13074976,0.17415392,0.12312457,0.126975,0.19362763,0.15647677,0.12273526
angrybirdsmovie,0.119464874,0.063984096,0.051002145,0.07064694,0.12414524,0.078583,0.038054883,0.43174326,0.049840212,0.051196903,0.0590474,0.06159368,0.05365953,0.047590107,0.08641139,0.045353502,0.05068609,0.09913418,0.06859833,0.04728508
annabellemovie,0.2551412,0.21981892,0.16829506,0.20488626,0.26399797,0.222087,0.17332292,0.47712708,0.19705313,0.18898973,0.19907713,0.20289269,0.18111542,0.15944156,0.2180728,0.16857591,0.16901767,0.2430625,0.18791384,0.19267046
annamovie,0.17329845,0.111145854,0.09078729,0.12269741,0.17412236,0.13068417,0.07678223,0.4493905,0.09466869,0.09533706,0.10187715,0.1086466,0.095860034,0.08995861,0.13628054,0.08614913,0.09119898,0.1526277,0.11744952,0.087394446
apollo11movie,0.17084414,0.12967524,0.084246784,0.1260956,0.17686415,0.13651517,0.08960453,0.45782283,0.10875541,0.10244334,0.1074343,0.1155425,0.09366366,0.08291793,0.13526613,0.08544186,0.083819956,0.15421167,0.10943121,0.1006338
arcticmovie,0.18589574,0.14003542,0.09425229,0.15178633,0.17831019,0.16326594,0.09956461,0.45282936,0.1270864,0.118555635,0.117688596,0.11877394,0.10333794,0.100783855,0.14547619,0.099190444,0.09728706,0.19132009,0.1272865,0.11732212
artofracingmovie,0.18935147,0.12077397,0.107387036,0.13511199,0.18784744,0.1406703,0.08549002,0.45730606,0.103051454,0.10714236,0.113596976,0.121454716,0.11039844,0.10670632,0.1490269,0.09921938,0.10860863,0.17130992,0.13196364,0.09720111
avengers,0.17505103,0.123238444,0.08565718,0.12969998,0.1716083,0.13850132,0.08574119,0.45466825,0.106773764,0.10200083,0.10505885,0.11099252,0.09396061,0.08853471,0.1348201,0.08749682,0.085437626,0.16091758,0.11338863,0.098727405
beachbummovie,0.21953872,0.16353536,0.1336599,0.16844684,0.23198596,0.17923099,0.12515739,0.46318033,0.14290243,0.14393806,0.15442938,0.15696323,0.14103085,0.13023871,0.18959105,0.1296472,0.13398409,0.19571805,0.16423568,0.13729525
bernadettefilm,0.21084628,0.15279227,0.12760368,0.15905097,0.21504825,0.16862872,0.11337328,0.4595136,0.1326504,0.13200188,0.14235127,0.1505023,0.1302656,0.12322509,0.17381376,0.12142229,0.12745288,0.18878818,0.15338418,0.12372622
blindedbythelightmovie,0.19750184,0.12816751,0.11166546,0.13699809,0.20083228,0.14552769,0.09278619,0.45793894,0.10862321,0.11211336,0.12224838,0.12788367,0.11591914,0.10842711,0.15967065,0.10295856,0.11030221,0.16817713,0.13741267,0.104296386
booksmart,0.16945592,0.13024294,0.08277312,0.13283846,0.17231584,0.1437256,0.089739114,0.4519538,0.113298416,0.10459584,0.107114285,0.112742454,0.092728525,0.08468285,0.13521758,0.087417394,0.083955675,0.16134948,0.11277372,0.101661235
breakthroughmovie,0.17888746,0.118049264,0.094073564,0.12673455,0.1763106,0.1349206,0.08179766,0.45148256,0.100587904,0.09937668,0.10571146,0.11499202,0.098649144,0.09371668,0.1382103,0.090131104,0.09361726,0.15732971,0.11962348,0.09236264
brianbanksmovie,0.18927875,0.12227535,0.10670391,0.13712507,0.18878138,0.14355293,0.08703014,0.4556225,0.10531217,0.10860115,0.11480257,0.12169099,0.11083335,0.106423944,0.15068385,0.10010713,0.10810515,0.17131287,0.13319886,0.098934084
brightburnmovie,0.23520607,0.18671843,0.14093369,0.19756156,0.22918737,0.20843247,0.14497152,0.46701226,0.17312413,0.16587487,0.16545492,0.16686693,0.15166217,0.14779463,0.19509539,0.14605284,0.14420265,0.23514745,0.17533523,0.1632717
brittanyrunsmov,0.1663512,0.10690665,0.087355405,0.113821566,0.17268005,0.12356737,0.07243082,0.44667533,0.08876863,0.08936393,0.10000777,0.10418111,0.09004775,0.08247921,0.13127539,0.080961496,0.08696619,0.14377066,0.11050239,0.08325791
captainmarvelofficial,0.156234,0.094964445,0.073391765,0.10838333,0.15139547,0.113117665,0.06317794,0.446927,0.08049786,0.080459744,0.08322281,0.09132853,0.08017352,0.077993065,0.11629391,0.07212353,0.07429743,0.14015839,0.10044113,0.074468374
captivestatemovie,0.19877869,0.12713492,0.11650568,0.1469172,0.19016871,0.1520411,0.089793,0.45930693,0.11145988,0.1164847,0.11943346,0.12663156,0.12071395,0.1188395,0.15385064,0.109002054,0.12000379,0.19193995,0.14068648,0.1058287
childsplaymovie,0.24034914,0.1915645,0.1557172,0.19244194,0.2412031,0.20337349,0.14991269,0.47165632,0.16976973,0.16797888,0.1741865,0.18414825,0.16005343,0.15100574,0.20117396,0.15197411,0.1557427,0.22371528,0.17817825,0.16144538
clarathefilm,0.2580425,0.19434708,0.1733346,0.20151004,0.26137894,0.21072212,0.15678057,0.47372848,0.17360848,0.17841867,0.18713853,0.19275829,0.1782389,0.17021912,0.22251523,0.16501689,0.17253092,0.2322318,0.19969365,0.16885164
coldpursuitmovie,0.1879422,0.11870551,0.10161543,0.12884068,0.18294153,0.13575271,0.08472544,0.45628765,0.09967834,0.10273397,0.10980421,0.11941233,0.104411215,0.10096535,0.14573482,0.094153255,0.099643886,0.15978092,0.12644047,0.09499097
detectivepikachumovie,0.20609081,0.14554366,0.11978912,0.15248722,0.21130422,0.16433638,0.10586679,0.45810217,0.12761992,0.12652788,0.13583496,0.13870153,0.12708837,0.11639139,0.17013955,0.115641475,0.12032452,0.18560979,0.14721262,0.120224714
disneyaladdin,0.211454,0.14277655,0.12505496,0.15582746,0.21024778,0.16328722,0.10616019,0.46097538,0.12510943,0.12788448,0.13507506,0.1422728,0.12985411,0.12465194,0.17191654,0.11825523,0.12518603,0.18871865,0.15269828,0.11836618
doramovie,0.20236725,0.13072312,0.118986845,0.14424857,0.20890209,0.15173495,0.095994115,0.45943522,0.111454904,0.118251204,0.12756014,0.13111123,0.12396753,0.11671972,0.16834056,0.10921419,0.11985421,0.177125,0.14727926,0.10832602
