username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.21692172,0.13595083,0.09399715,0.11445841,0.23041523,0.12290859,0.08624554,0.45615786,0.083714604,0.100260556,0.11656135,0.15905789,0.114221215,0.094047576,0.13652584,0.07126179,0.09631699,0.15988961,0.11200181,0.10272032
adogsjourneymovie,0.21182373,0.13632348,0.09546211,0.13203141,0.25152558,0.110659,0.10750127,0.37946483,0.07904947,0.13024333,0.15111315,0.19352338,0.104637235,0.10527012,0.1153968,0.06930551,0.119401306,0.21919796,0.14944264,0.12932193
aftermathmovie,0.27721843,0.1723642,0.14962497,0.17417482,0.31018722,0.17044917,0.14108494,0.4329545,0.11446497,0.17259273,0.20270091,0.26302904,0.15431336,0.13925669,0.2035105,0.10089478,0.14308569,0.26160595,0.18791631,0.17880842
aftermovie,0.17550883,0.14679989,0.09861916,0.12762478,0.21105576,0.12746847,0.123295784,0.47139817,0.1012488,0.107189715,0.14837387,0.16759345,0.09483555,0.092075944,0.1651665,0.090008676,0.09996641,0.18141577,0.11027625,0.105081856
alitamovie,0.23634633,0.1667828,0.11821857,0.15232477,0.26187253,0.1402044,0.12302339,0.43009582,0.102208436,0.14023656,0.16367933,0.20978323,0.13163936,0.119422555,0.15618065,0.09148708,0.1314398,0.22397462,0.15463626,0.14303574
angelhasfallen,0.24682277,0.14682898,0.115484536,0.13929912,0.27693594,0.13755938,0.1121096,0.4212049,0.08844951,0.13448945,0.16071975,0.21717307,0.124857396,0.10838422,0.16317141,0.075295895,0.116586626,0.21942282,0.15502128,0.13974646
angrybirdsmovie,0.12013629,0.069713324,0.039755106,0.058544993,0.13357207,0.057480037,0.045861483,0.42690408,0.044870824,0.050036788,0.053565443,0.06697884,0.049876183,0.045235425,0.060260594,0.034428358,0.048792064,0.08184308,0.053343564,0.03750077
annabellemovie,0.2096363,0.26061994,0.17842507,0.2003398,0.22730052,0.20887482,0.18928283,0.55332714,0.19510275,0.14105809,0.19693029,0.20434552,0.16796583,0.14582226,0.26048857,0.2151568,0.16188812,0.23703182,0.15096125,0.17550042
annamovie,0.19097352,0.116341144,0.07261795,0.10177055,0.21100491,0.09647989,0.08162284,0.420925,0.066847265,0.09284273,0.10720253,0.14484343,0.0877845,0.07669732,0.10962725,0.05292216,0.085577756,0.15288469,0.101523966,0.082409054
apollo11movie,0.16423193,0.11877519,0.084789485,0.10275349,0.2037392,0.11645445,0.1007871,0.47584522,0.08168557,0.08626756,0.13133359,0.15493652,0.0793978,0.074872315,0.16097474,0.06935477,0.076001495,0.15630779,0.09212619,0.08881876
arcticmovie,0.17098978,0.12863678,0.09119505,0.1186102,0.23631015,0.11409488,0.1260508,0.4099264,0.07183105,0.103814155,0.18601054,0.22422695,0.076889336,0.080429345,0.15798187,0.06557822,0.09004855,0.23941782,0.12865993,0.12923884
artofracingmovie,0.1892981,0.12243393,0.08310524,0.11434308,0.2181423,0.09863505,0.090850234,0.39530402,0.07489869,0.108744204,0.11832127,0.14830822,0.09372109,0.091002315,0.10116789,0.06507084,0.10352364,0.17632207,0.12300494,0.100727946
avengers,0.1757474,0.12367198,0.07847437,0.100842506,0.21778125,0.10864493,0.096059054,0.44175538,0.06548387,0.082470715,0.13984296,0.1852127,0.07944578,0.07094577,0.14535752,0.05650574,0.076627254,0.18334892,0.1012966,0.1008001
beachbummovie,0.25059086,0.1617339,0.12864083,0.15738657,0.25949556,0.15794545,0.122704744,0.47678939,0.12753126,0.15292272,0.14772385,0.18127611,0.14577547,0.12851241,0.18510702,0.10367501,0.12935066,0.18062893,0.1389041,0.119481444
bernadettefilm,0.21499792,0.13993284,0.11819193,0.14417273,0.24158776,0.13727677,0.12000731,0.4493619,0.11193314,0.14138228,0.14656648,0.169319,0.11836654,0.11379328,0.16228539,0.095792115,0.11780149,0.18813145,0.13784611,0.11605573
blindedbythelightmovie,0.22811583,0.137048,0.10758796,0.12291595,0.24496806,0.13145795,0.0952349,0.4516971,0.09743464,0.1186606,0.11804089,0.14979696,0.12128466,0.10290545,0.14976981,0.07996437,0.10974622,0.154111,0.1259394,0.10616219
booksmart,0.16451138,0.11394325,0.075209826,0.10563433,0.20669818,0.10441065,0.105067044,0.4433622,0.06994501,0.09148508,0.1444639,0.17847106,0.07238883,0.07096341,0.14631501,0.056812882,0.07448867,0.18109,0.0959554,0.08756238
breakthroughmovie,0.18664643,0.11298895,0.08196509,0.103479624,0.22063997,0.10536224,0.08765927,0.4258663,0.07049894,0.09511536,0.12202293,0.1575616,0.0867579,0.08009836,0.12561771,0.058947623,0.08405098,0.16596174,0.1079337,0.09482506
brianbanksmovie,0.19774958,0.12800533,0.08046311,0.11699426,0.21714321,0.09947574,0.09044269,0.40431073,0.07386184,0.108145565,0.11779815,0.1551257,0.09774971,0.089728564,0.10334435,0.062313408,0.10212749,0.17766097,0.11896482,0.09661597
