username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.123561084,0.087774485,0.06705761,0.062315702,0.12493268,0.069141775,0.043029577,0.48749772,0.038191915,0.052927732,0.066898584,0.09020242,0.054365158,0.044849098,0.09162241,0.04639384,0.050038874,0.09618536,0.04949656,0.049137563
adogsjourneymovie,0.13780874,0.06773269,0.038773507,0.062246293,0.11669311,0.0591909,0.03233224,0.45772567,0.044950783,0.047886252,0.05324626,0.07064572,0.04640147,0.039102107,0.07339734,0.04020652,0.052761674,0.10911217,0.060551733,0.049815655
aftermathmovie,0.14399976,0.1033622,0.074092716,0.086820215,0.14740661,0.0956175,0.061530232,0.4992528,0.06091711,0.070534855,0.08794013,0.11020446,0.07558194,0.06747419,0.1143412,0.06617457,0.06634766,0.12876403,0.074857146,0.07027611
aftermovie,0.13664553,0.07981065,0.066294104,0.080290675,0.12264186,0.100397944,0.07288572,0.46334028,0.04983154,0.071480215,0.074085474,0.09202385,0.06151274,0.07021645,0.10401106,0.052911043,0.056527913,0.124188125,0.06606662,0.067326665
alitamovie,0.15081471,0.09508407,0.064533085,0.08292472,0.1387622,0.086381406,0.053387254,0.47888094,0.057664752,0.070809275,0.0806002,0.10467425,0.068163246,0.06091705,0.10398722,0.058617234,0.06868997,0.1345703,0.073747724,0.06789383
angelhasfallen,0.12716502,0.08082867,0.05543706,0.064747036,0.122467786,0.07073352,0.042324275,0.49356842,0.04210627,0.051934242,0.06630832,0.08597711,0.05449277,0.0471797,0.08989707,0.04720813,0.049863458,0.10544139,0.056479365,0.052075118
angrybirdsmovie,0.079312265,0.054740965,0.19109347,0.018438578,0.18211982,0.012713909,0.018630266,0.06556392,0.017026842,0.01415506,0.0023584068,0.006620556,0.008271098,0.0026258528,0.014903992,0.007771641,0.03717369,0.0019727647,0.003775537,0.0060905814
annabellemovie,0.19270396,0.17952833,0.17205912,0.18345475,0.20502517,0.22382885,0.19410911,0.48738956,0.13073757,0.17754766,0.17526153,0.21022251,0.15927592,0.18075567,0.2110244,0.13858375,0.13412511,0.2196194,0.13491744,0.15371925
annamovie,0.123514265,0.058947235,0.04398948,0.045925885,0.10905063,0.051145792,0.03140858,0.45188746,0.029667467,0.042191893,0.047385514,0.06259179,0.03650427,0.032724857,0.06717023,0.03206259,0.04066682,0.08271587,0.04261914,0.038725108
apollo11movie,0.10574582,0.06276414,0.054886103,0.05852741,0.09838587,0.08048099,0.05770451,0.47724298,0.03133726,0.048451453,0.056310236,0.07017255,0.04489857,0.052025855,0.08597031,0.03830272,0.03583923,0.09046048,0.04473567,0.047728658
arcticmovie,0.09063846,0.04009977,0.026548833,0.049028814,0.061135113,0.061716735,0.033940166,0.46907893,0.022642642,0.032057583,0.035111606,0.049154162,0.030349582,0.03618723,0.06460914,0.025990695,0.024623692,0.08402315,0.03860548,0.03678879
artofracingmovie,0.14018887,0.06696889,0.042420655,0.058520764,0.12725976,0.056999356,0.033398032,0.44181463,0.04520434,0.04734859,0.050768793,0.065915555,0.044606537,0.037267417,0.07100564,0.039699942,0.052962005,0.0963926,0.057719618,0.047512025
avengers,0.08832684,0.04962921,0.034998894,0.046040088,0.06583473,0.057997286,0.032064557,0.49427956,0.01961714,0.03352967,0.041871667,0.060301423,0.032665223,0.034316123,0.06950086,0.026799023,0.025659412,0.08299625,0.033542812,0.03484288
beachbummovie,0.17157495,0.111717075,0.10582128,0.086619854,0.1927473,0.10731527,0.0872336,0.46854478,0.07077041,0.09315801,0.104135185,0.11818972,0.08286148,0.082259655,0.12564752,0.07560903,0.08172268,0.12793973,0.08221707,0.07962623
bernadettefilm,0.1623213,0.092276156,0.07827979,0.080106825,0.18053159,0.094739765,0.07260811,0.4578635,0.070441306,0.074524224,0.082108736,0.09191984,0.0706774,0.06941539,0.10659161,0.06641078,0.070876926,0.11299741,0.08031261,0.0710915
blindedbythelightmovie,0.13937667,0.08688101,0.07646924,0.063462704,0.15783826,0.074883014,0.055210084,0.46591428,0.047753096,0.06063786,0.07075152,0.08526096,0.05667904,0.050766468,0.09238395,0.051415145,0.05706927,0.092333674,0.056330353,0.05421734
booksmart,0.100635946,0.04039669,0.033506542,0.04310271,0.07200837,0.060901284,0.038045138,0.4624575,0.021517456,0.036076188,0.039184213,0.05158797,0.030073196,0.0377464,0.06806788,0.027126163,0.025777012,0.078430176,0.037822664,0.036325485
breakthroughmovie,0.115177125,0.062308818,0.04495138,0.05128312,0.109041035,0.058764607,0.036165357,0.47259057,0.03287959,0.040981412,0.05008304,0.06407797,0.040947616,0.037425756,0.07309231,0.035990953,0.038742602,0.08385256,0.04551962,0.04154861
brianbanksmovie,0.14214975,0.06716338,0.044040084,0.05676484,0.12242478,0.056476384,0.032809466,0.44422358,0.04138595,0.049411,0.05271581,0.07011706,0.044054896,0.03733933,0.07287094,0.03893867,0.05292791,0.09969857,0.055886507,0.04708031
brightburnmovie,0.1292947,0.08991259,0.060874343,0.09505707,0.11427793,0.106725425,0.06867865,0.48570424,0.055743337,0.06986904,0.077690125,0.101290226,0.06987423,0.073105425,0.109016776,0.057228416,0.05922681,0.14173046,0.0717904,0.0728758
brittanyrunsmov,0.14455584,0.06533593,0.07199544,0.048179626,0.16808134,0.057046026,0.048526198,0.36844414,0.04330644,0.050195545,0.043123424,0.052247286,0.039319962,0.03552875,0.06774303,0.038113534,0.052449703,0.057565093,0.0447672,0.04112369
captainmarvelofficial,0.079074055,0.038891762,0.021957308,0.029037416,0.058025807,0.030535579,0.013982177,0.48673618,0.012822598,0.020287186,0.027869701,0.042415112,0.020751655,0.016825497,0.044704705,0.016549826,0.01974991,0.061943203,0.02313447,0.021546453
captivestatemovie,0.14354673,0.064876914,0.03388852,0.065060824,0.10567555,0.056472182,0.028447062,0.43906254,0.044852674,0.049728602,0.049053043,0.070593596,0.043910354,0.03637421,0.069179595,0.037284195,0.05680573,0.11888644,0.06169316,0.05040133
childsplaymovie,0.17351791,0.13076058,0.10575861,0.12608096,0.17457199,0.1455921,0.10253987,0.4951889,0.094525844,0.10796338,0.120410025,0.149196,0.11052838,0.10942441,0.1591228,0.10188085,0.09341371,0.16424549,0.108686894,0.103838325
clarathefilm,0.17882523,0.15116999,0.12387094,0.12545967,0.20000324,0.14073876,0.10424337,0.5012024,0.09794375,0.11603096,0.13630271,0.16356382,0.118386745,0.108953744,0.1604495,0.105018765,0.10502708,0.16940263,0.10684067,0.105833024
coldpursuitmovie,0.107890755,0.06922144,0.050887316,0.047125787,0.11072084,0.054454267,0.03171411,0.5046202,0.028835505,0.037344694,0.053593397,0.07048908,0.042098016,0.0339725,0.077016324,0.037391484,0.03575477,0.0760155,0.040502578,0.037533432
detectivepikachumovie,0.16172028,0.107174486,0.088128924,0.09289619,0.16252077,0.101047605,0.07490781,0.44496566,0.067609966,0.08852762,0.08729252,0.11056918,0.07563609,0.071971565,0.111496896,0.064492375,0.08252674,0.13346359,0.07626927,0.07688913
disneyaladdin,0.14374423,0.090195686,0.0630905,0.07408053,0.13726807,0.07798633,0.04881677,0.47659412,0.051280558,0.0639765,0.07423285,0.09611866,0.0616225,0.053763002,0.096193284,0.053049147,0.062674195,0.11995408,0.06530163,0.06064716
doramovie,0.14428458,0.08957207,0.06855363,0.0632011,0.15063688,0.066467196,0.043429017,0.4589618,0.04716924,0.058176488,0.06766397,0.08685756,0.056111604,0.04505685,0.08842662,0.049179524,0.060815156,0.098309815,0.05724874,0.052470744
dumbo,0.16250205,0.111873955,0.08550078,0.10638195,0.1574637,0.11668396,0.07924223,0.47720876,0.07702121,0.0907774,0.09686911,0.12388885,0.087252855,0.083536774,0.12875843,0.0780347,0.08252898,0.14701232,0.08991513,0.08607423
escaperoom,0.14268202,0.08218533,0.056803763,0.07153785,0.13331285,0.07588208,0.04544851,0.47541112,0.0517025,0.057944596,0.06726149,0.08755574,0.058611482,0.051075727,0.09422031,0.0532766,0.057794154,0.1100674,0.06651822,0.05787316
everybodyknowsmovie,0.12519175,0.054059744,0.034360945,0.051702768,0.09150672,0.05474466,0.030739695,0.4482218,0.030780464,0.044131637,0.0459705,0.063088775,0.03642389,0.03550589,0.06650773,0.030733287,0.04160455,0.102443844,0.047954053,0.042729765
fastandfuriousmovie,0.13700315,0.07771444,0.05596316,0.05526924,0.13323009,0.06023267,0.037340403,0.48177853,0.03866884,0.05222243,0.06582856,0.08297396,0.049345225,0.04157102,0.08253962,0.04301855,0.05172518,0.101260275,0.05336666,0.048003644
fightingwmyfam,0.18208411,0.13708696,0.12254417,0.12778503,0.19409713,0.156558,0.12017211,0.4957071,0.10098648,0.118938774,0.1332004,0.15681744,0.11814591,0.122045666,0.16987422,0.11106187,0.09890193,0.16523564,0.11420205,0.11040068
fivefeetapartfilm,0.160793,0.097518235,0.06606698,0.088119894,0.16776955,0.09051055,0.060205758,0.46842235,0.07472086,0.07224953,0.081628114,0.09701508,0.073431075,0.06526771,0.103235066,0.06569162,0.07583517,0.1298888,0.085283965,0.07337564
glassmovie,0.15992174,0.10503328,0.07071,0.119853884,0.14773354,0.12748936,0.08771792,0.46648723,0.08693129,0.09245899,0.093119055,0.11484313,0.08859897,0.0932754,0.123080164,0.07520777,0.0843561,0.16866452,0.10025287,0.09544411
gloriabellmovie,0.14863929,0.097279936,0.10058594,0.09088388,0.15228298,0.1325534,0.110884726,0.48990455,0.06018004,0.091587245,0.10316962,0.11740634,0.08105588,0.09997937,0.13820097,0.07428518,0.0637092,0.13120782,0.07808387,0.08232528
godzillamovie,0.13232422,0.074379295,0.050152957,0.08286899,0.102865696,0.09347594,0.057880938,0.46861625,0.04792902,0.06498623,0.06703928,0.08946934,0.058142573,0.063596696,0.09725237,0.04855296,0.054401696,0.13652182,0.067479074,0.06571826
goodboysmovie,0.128012,0.071519166,0.08019331,0.04479584,0.16520306,0.054957837,0.045690864,0.39444166,0.037583232,0.04346639,0.044329256,0.053997517,0.04054773,0.03357932,0.07095468,0.03858903,0.045407385,0.050584197,0.03884086,0.036907226
gretafilm,0.18010393,0.12358016,0.08956885,0.12078893,0.17227021,0.1286807,0.08726263,0.4806692,0.093632996,0.105434746,0.1125229,0.13984764,0.10149282,0.09770098,0.14106444,0.090343595,0.09819162,0.17386368,0.108908206,0.1007244
happydeathdaymovie,0.16294035,0.094385564,0.065252244,0.08004752,0.15371656,0.08241868,0.052051425,0.4692441,0.062037617,0.072639465,0.08111623,0.10213831,0.06780565,0.059464395,0.10178551,0.06009662,0.073657274,0.13212502,0.07791123,0.06820613
hellboymovie,0.125323,0.08104506,0.05005318,0.06693509,0.110381186,0.06742951,0.037128687,0.4885526,0.040338725,0.05131027,0.06301162,0.08749899,0.05294934,0.043923616,0.08614349,0.043943375,0.051091045,0.11309138,0.05513701,0.051463902
hersmellmovie,0.13224512,0.06318751,0.03938362,0.06258774,0.10835147,0.06340858,0.03588456,0.4510048,0.04250917,0.047871828,0.050278813,0.06779355,0.044568986,0.0407162,0.07451871,0.03932005,0.048719555,0.103470325,0.05780199,0.04939246
highlifemovie,0.15540996,0.10252893,0.0877119,0.10025969,0.15128613,0.12562254,0.09044406,0.4884097,0.070390105,0.087748945,0.09795153,0.11936891,0.08540958,0.091736466,0.13595542,0.079056114,0.070917904,0.13843206,0.08765209,0.08455461
hotelmumbaifilm,0.053156137,0.011134446,0.008256763,0.022755682,0.018511206,0.038632065,0.021277696,0.40738732,0.0055175424,0.015470356,0.012162775,0.018582046,0.008896947,0.019491673,0.030947477,0.0068989396,0.0075306594,0.05751872,0.015607208,0.017595202
httydragon,0.08494505,0.047840893,0.049852908,0.03074643,0.082556516,0.03480056,0.022835612,0.3837372,0.015093684,0.025920242,0.023486197,0.039122403,0.021191984,0.01633516,0.046786606,0.018473953,0.02519685,0.035761237,0.018111795,0.020712256
hustlemovie,0.14722842,0.07514924,0.07376963,0.057875067,0.16590813,0.07516244,0.0599702,0.4464181,0.048653394,0.059185207,0.06602791,0.07377577,0.05304092,0.052913845,0.090617895,0.051060796,0.05372414,0.08420819,0.059146285,0.053234518
isntitromantic,0.13775933,0.06811172,0.05117476,0.056466967,0.12927449,0.06257132,0.04031557,0.44951355,0.041412234,0.050569326,0.055690616,0.07009792,0.045916706,0.04184881,0.07803771,0.041432887,0.049999535,0.09285474,0.054798424,0.047973335
johnwickmovie,0.19588631,0.1369327,0.113327324,0.12580368,0.1984128,0.13393581,0.102903634,0.4504486,0.10218382,0.1260728,0.12003067,0.14785895,0.10649443,0.10313627,0.14324981,0.093247116,0.11768216,0.17459014,0.10899407,0.107492626
lalloronamovie,0.13079205,0.088599,0.07383251,0.11116731,0.104795426,0.148713,0.108754545,0.48430213,0.05721748,0.08908972,0.08962783,0.11535278,0.07878649,0.10582155,0.1344097,0.06570962,0.05895543,0.16008875,0.07884702,0.0884316
lastblackmansf,0.105196446,0.05876383,0.058644116,0.045069933,0.1097402,0.067703396,0.050385654,0.4890666,0.026632667,0.04160869,0.054636836,0.06412485,0.040107876,0.04418397,0.082289785,0.036843747,0.030920476,0.071033716,0.039218634,0.039647013
latenightmovie,0.183041,0.13405663,0.12182388,0.11000952,0.2197549,0.13300326,0.10922539,0.48556378,0.09744331,0.109396875,0.12670949,0.13929409,0.10730773,0.10514316,0.14880294,0.09967297,0.098214984,0.14756888,0.10447568,0.09921938
lionking,0.105609834,0.06155616,0.040422052,0.05147454,0.08827117,0.057862133,0.032599628,0.48952144,0.027028918,0.039928883,0.050385565,0.069099635,0.03937775,0.03644225,0.07272029,0.03221211,0.035619527,0.09438795,0.04145968,0.04037884
