username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.18720782,0.11351439,0.10212675,0.123684764,0.22150356,0.112719715,0.0973233,0.50866127,0.103212506,0.07922417,0.10430011,0.13659036,0.10234654,0.09802374,0.13722792,0.09845865,0.08682254,0.17007402,0.12261367,0.090070546
adogsjourneymovie,0.24278611,0.13562182,0.12061268,0.14321893,0.22862944,0.16750416,0.14793989,0.4961977,0.15233672,0.10751265,0.15843344,0.16932642,0.11957607,0.1045098,0.15404868,0.10957903,0.113568306,0.19637296,0.15211082,0.10618234
aftermathmovie,0.26998997,0.15626109,0.15634832,0.19979784,0.28671706,0.17925137,0.16021666,0.54151845,0.18690756,0.11918208,0.18543091,0.19380662,0.1894896,0.14348885,0.18682459,0.15905449,0.14429465,0.25341684,0.20624545,0.14123207
aftermovie,0.20305791,0.14412433,0.091174215,0.13015479,0.2286844,0.14140546,0.12206602,0.49531218,0.103099614,0.10545832,0.12736017,0.12377381,0.116573036,0.1057601,0.14002034,0.07838604,0.09276307,0.16077238,0.11854321,0.11251557
alitamovie,0.23730111,0.15300524,0.13038564,0.15985212,0.25228062,0.16518444,0.14987409,0.50881386,0.14720124,0.1140061,0.15525198,0.17289084,0.13974863,0.1267061,0.16634136,0.12568304,0.12324858,0.21095696,0.16475451,0.12770087
angelhasfallen,0.23552132,0.126946,0.12371236,0.16022745,0.25498366,0.14540732,0.13208961,0.53616583,0.147012,0.090975374,0.15012404,0.16346338,0.14359087,0.11214545,0.15763327,0.12544286,0.11337572,0.21542278,0.1654945,0.1099934
angrybirdsmovie,0.11852056,0.067623585,0.04857096,0.052722096,0.13887209,0.069013745,0.050018966,0.444042,0.048997194,0.048019648,0.056325644,0.08070454,0.038909495,0.04384628,0.07950768,0.04046458,0.04576859,0.08564225,0.05616072,0.042277664
annabellemovie,0.22885576,0.22362545,0.14293715,0.18642953,0.27351147,0.18487734,0.18104541,0.49561357,0.12519714,0.17359501,0.15600464,0.1647678,0.17793775,0.18051043,0.19612226,0.12594873,0.13770512,0.19495785,0.14357239,0.18841267
annamovie,0.18385553,0.10458487,0.08411294,0.10525361,0.20708996,0.112475276,0.09518871,0.49653813,0.094873846,0.0717527,0.10212064,0.1256651,0.08211076,0.08233979,0.12216115,0.07861081,0.07781011,0.15260112,0.11263007,0.07987654
apollo11movie,0.18240872,0.11054036,0.074845016,0.116680205,0.21693274,0.110158294,0.09224507,0.51517105,0.086791515,0.07599941,0.105158746,0.101181775,0.10677174,0.08448812,0.11951637,0.06528029,0.07283166,0.14812195,0.103286475,0.08739272
arcticmovie,0.24207193,0.12840173,0.087575585,0.15296215,0.25160053,0.14688468,0.13844237,0.5438329,0.13459784,0.085787624,0.15447628,0.12035382,0.1449557,0.09627345,0.13729742,0.078258455,0.0913696,0.20078644,0.14739567,0.10686627
artofracingmovie,0.20099849,0.121080935,0.10094544,0.11306867,0.20250809,0.13859531,0.1183106,0.47399858,0.11615309,0.09292081,0.12762606,0.14679345,0.096057445,0.08676097,0.13324147,0.09216747,0.10077691,0.16488138,0.12168217,0.0912188
avengers,0.19775933,0.103042245,0.07600194,0.12640008,0.22833735,0.11250368,0.10435006,0.5449062,0.095244914,0.06447837,0.10941577,0.10480532,0.11145279,0.08545521,0.11757162,0.07079792,0.07058719,0.17116731,0.11752212,0.08844909
beachbummovie,0.216472,0.1570771,0.13202998,0.15009871,0.25186726,0.15022042,0.11894953,0.4878042,0.13338348,0.1235787,0.1372383,0.17337346,0.12753013,0.13245785,0.1738824,0.124074996,0.12137249,0.18732062,0.15431154,0.1227496
bernadettefilm,0.21612278,0.14474577,0.120114684,0.13847926,0.23413715,0.15256602,0.121115774,0.4849679,0.13287672,0.11809799,0.14597154,0.16062668,0.12973216,0.1101602,0.1578696,0.110866815,0.121843934,0.18028429,0.14256483,0.11293772
