username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.07988468,0.07545799,0.06119129,0.056050777,0.11278212,0.053213626,0.05642453,0.44531104,0.05425766,0.061349988,0.054294735,0.06495157,0.056188375,0.063439995,0.059690297,0.057672113,0.052109867,0.056128114,0.05551353,0.049409837
adogsjourneymovie,0.082769305,0.07909483,0.06261149,0.061051607,0.115412086,0.05482927,0.06176889,0.43048936,0.056859165,0.06958929,0.057580173,0.06688738,0.059989303,0.06590697,0.06032616,0.05931136,0.051830083,0.06143856,0.062372893,0.053037763
aftermathmovie,0.09892097,0.093274474,0.078042954,0.07167372,0.13072693,0.06980643,0.073137164,0.44607446,0.06965366,0.07950765,0.070335776,0.083161145,0.073186845,0.080364466,0.07611784,0.07386789,0.06801778,0.07163629,0.07185316,0.06588268
aftermovie,0.09375259,0.08836946,0.073263556,0.06556857,0.12725085,0.063823104,0.06760123,0.4465348,0.06541535,0.072123885,0.06361112,0.077077955,0.06751287,0.07535526,0.07198441,0.067691326,0.0627034,0.06599167,0.0656527,0.062586576
alitamovie,0.101056874,0.09626457,0.07990366,0.07489279,0.13453344,0.07031581,0.07577711,0.4423211,0.07227263,0.08277568,0.07196492,0.0832392,0.074504286,0.08229396,0.07796499,0.07503927,0.068368435,0.07467222,0.075241864,0.06843823
angelhasfallen,0.080924004,0.0767104,0.06174782,0.057561338,0.11304569,0.05445206,0.058682054,0.43850696,0.0551157,0.0641844,0.055779755,0.0663842,0.058392793,0.06411457,0.05949959,0.058570206,0.05239287,0.05801314,0.057701945,0.050929993
angrybirdsmovie,0.061854422,0.06541103,0.046172053,0.052294374,0.11431381,0.043468386,0.047997683,0.45174855,0.048775524,0.049628586,0.045470744,0.051728636,0.04435745,0.054474145,0.047385693,0.045883954,0.036371797,0.060219437,0.047613442,0.03455487
annabellemovie,0.16554865,0.15415874,0.14300749,0.123285085,0.19403777,0.12754968,0.12419644,0.47229654,0.12879422,0.13017327,0.122764945,0.1436002,0.1248835,0.14338762,0.14665419,0.13187847,0.13280857,0.11986458,0.12092522,0.12867126
annamovie,0.07108146,0.067615926,0.052671254,0.050334394,0.1060065,0.045485675,0.051226288,0.4321753,0.047494918,0.05605939,0.047505587,0.05650717,0.050584912,0.055207014,0.049913704,0.04988715,0.04283598,0.05130464,0.051003158,0.04280895
apollo11movie,0.069594026,0.0653255,0.05187452,0.04565361,0.101260394,0.0449346,0.047876984,0.44098493,0.04573822,0.050548673,0.044727474,0.05628574,0.0484522,0.053610176,0.05015737,0.04844114,0.04382521,0.046848238,0.04551083,0.042375684
arcticmovie,0.054559648,0.05237055,0.03956893,0.03484279,0.08042529,0.03365484,0.036682516,0.4289253,0.034682423,0.039604634,0.03400612,0.043222517,0.036518633,0.041152894,0.038570613,0.036121756,0.03317976,0.035731643,0.03432873,0.03316793
artofracingmovie,0.08428255,0.08045104,0.06361446,0.062894076,0.11899674,0.05660945,0.06388214,0.43047813,0.058202446,0.071578175,0.059367567,0.06894761,0.06248626,0.06731263,0.060646743,0.060976416,0.05244407,0.06400353,0.06465906,0.053574443
avengers,0.05487129,0.052416563,0.04005146,0.035176992,0.08212128,0.033527702,0.03641492,0.43265772,0.034933478,0.03902608,0.034065187,0.042862654,0.036215484,0.04133293,0.03892687,0.03662476,0.03340885,0.03564334,0.034335494,0.03252706
beachbummovie,0.11534208,0.10706067,0.09250277,0.08492285,0.15411818,0.08225545,0.0860222,0.4550585,0.08266309,0.09199321,0.082306474,0.097335935,0.08723229,0.09506297,0.08938247,0.08711022,0.07935637,0.084506005,0.08626768,0.07740742
