username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.16414434,0.1391122,0.06306422,0.08948013,0.2158953,0.081459135,0.056394607,0.4107173,0.067650914,0.075185835,0.06659597,0.089448184,0.069448054,0.06127122,0.11361754,0.095645756,0.072794646,0.12723768,0.060368896,0.07359579
adogsjourneymovie,0.112608165,0.056029707,0.010018706,0.040252507,0.095240116,0.037768453,0.03210807,0.49466243,0.045906395,0.047960073,0.049117297,0.07922855,0.024751246,0.027436078,0.04518813,0.03211841,0.033997416,0.08563197,0.033730537,0.03172362
aftermathmovie,0.12539697,0.10834539,0.031193852,0.08150756,0.1609633,0.09220484,0.06177172,0.4709766,0.06367585,0.081726044,0.09725505,0.1251632,0.06825429,0.07339206,0.08593625,0.08673629,0.052962184,0.15708312,0.070512086,0.08209553
aftermovie,0.16293213,0.13630182,0.094439685,0.13388911,0.23864189,0.19452569,0.10796839,0.4376345,0.1188477,0.12842488,0.17057714,0.2112278,0.13549379,0.16653705,0.15805739,0.13424855,0.11144471,0.18413967,0.11448723,0.13438582
alitamovie,0.1678066,0.11772916,0.042033732,0.10201597,0.1823585,0.1084415,0.08032897,0.46706918,0.09644005,0.11068857,0.11974347,0.161841,0.08036721,0.095350206,0.11359072,0.093279034,0.08162424,0.16995391,0.09076059,0.08924535
angelhasfallen,0.1491772,0.12920576,0.036172003,0.080353916,0.1668038,0.07817626,0.06885451,0.46588126,0.076034844,0.08508298,0.089128196,0.10993278,0.06856087,0.06834459,0.08876154,0.0854342,0.061344564,0.16009587,0.077382654,0.08065608
angrybirdsmovie,0.38021088,0.006003201,0.9162928,0.0013031065,0.39229622,0.0063180625,3.2007694e-05,0.0040233135,0.00083836913,0.00031164289,0.0001706183,0.0039800107,0.0006082952,0.0008455217,0.025627226,0.002895385,0.0121695995,1.513958e-05,6.377697e-06,0.0028131902
annabellemovie,0.05539444,0.05349949,0.011798412,0.06589064,0.1482721,0.06153533,0.020959556,0.58177453,0.02295503,0.047055155,0.028963476,0.115542024,0.042574733,0.06289017,0.05677429,0.03300938,0.015682578,0.06664389,0.023830593,0.031318933
annamovie,0.21830893,0.15313748,0.07924801,0.09795487,0.2403279,0.09075439,0.07799581,0.42804614,0.1045067,0.09684962,0.08644369,0.10887849,0.07430455,0.06850076,0.12485716,0.09751189,0.10782161,0.1423876,0.083711,0.074567884
apollo11movie,0.14181778,0.15222242,0.08737272,0.114228725,0.2067366,0.1720706,0.13210657,0.43139905,0.1290859,0.10155803,0.16024193,0.1415123,0.14162043,0.13222629,0.14047283,0.13059336,0.09895718,0.19355494,0.11658943,0.11672872
arcticmovie,0.14164999,0.08492598,0.03932804,0.104985565,0.16855326,0.14085236,0.08121526,0.45099092,0.07026029,0.08454502,0.13654023,0.1750792,0.089829564,0.12874827,0.10329181,0.084774494,0.055588692,0.18835095,0.08674207,0.12597197
artofracingmovie,0.12839946,0.07013118,0.022137165,0.05211079,0.12948534,0.040816993,0.039452672,0.49177998,0.058270484,0.059902698,0.046673268,0.073854,0.035995603,0.031806737,0.06218049,0.04069352,0.054807812,0.08395466,0.039602846,0.03592968
avengers,0.15730786,0.14144021,0.059720904,0.12475011,0.20346975,0.14542788,0.11948049,0.4780262,0.107103765,0.10265216,0.14203215,0.1503048,0.12124324,0.13056952,0.12503353,0.11455524,0.07078129,0.2178429,0.121361375,0.13568655
beachbummovie,0.09557414,0.08065516,0.056927294,0.0870212,0.2160396,0.065339625,0.038199455,0.49359527,0.048333347,0.049729377,0.043152183,0.06806561,0.057034492,0.044664383,0.0962165,0.051056623,0.046224415,0.08512172,0.033564866,0.044207245
bernadettefilm,0.12559891,0.090636194,0.07509312,0.09546891,0.22010562,0.087245256,0.073925674,0.50523174,0.087852746,0.08544007,0.08146033,0.10206106,0.08134499,0.06867167,0.11030969,0.07288805,0.0923011,0.12652135,0.06554225,0.06115493
blindedbythelightmovie,0.14234492,0.10150972,0.07608688,0.077340126,0.2255632,0.07261604,0.060941458,0.43711776,0.084950894,0.06496364,0.05997929,0.06850493,0.05797243,0.048231065,0.109618396,0.06960338,0.08045113,0.10228065,0.057852626,0.048769206
booksmart,0.1560061,0.12317252,0.064772606,0.12449619,0.21095195,0.17167506,0.11353108,0.4407976,0.10756758,0.09457874,0.14665061,0.15821004,0.12109354,0.14099362,0.1398049,0.110667884,0.078329116,0.20096943,0.11203942,0.1267713
breakthroughmovie,0.19794554,0.16131335,0.07850754,0.10784984,0.21341088,0.113388985,0.113749295,0.4551334,0.119137704,0.11108655,0.11723292,0.13619038,0.09787521,0.09112859,0.1264289,0.11445534,0.11358607,0.1748941,0.111086875,0.097186565
brianbanksmovie,0.15653649,0.08994502,0.03149271,0.06780565,0.16094953,0.05096048,0.045354843,0.4690707,0.06902781,0.07263374,0.055442303,0.089747965,0.0463264,0.042630553,0.08347446,0.05242139,0.06672415,0.10019517,0.049054027,0.046171963
brightburnmovie,0.15305853,0.09061673,0.05526817,0.108994246,0.20469636,0.17332661,0.068673104,0.41654763,0.07357013,0.113883734,0.17061237,0.23714706,0.09075102,0.14989096,0.1248948,0.11533788,0.07611129,0.19072264,0.08755478,0.1395404
brittanyrunsmov,0.22246078,0.07861766,0.18747395,0.062377274,0.28104663,0.064001024,0.028247505,0.26749462,0.07582757,0.05887404,0.050460488,0.08196956,0.047382712,0.033043444,0.14018658,0.066467166,0.10591665,0.041897267,0.023278415,0.03843069
captainmarvelofficial,0.122433454,0.085374475,0.011930108,0.042862535,0.114209,0.033385515,0.030751705,0.45855856,0.0375776,0.041322112,0.03630948,0.059918582,0.02869922,0.02609095,0.048612386,0.037854254,0.026993275,0.09172097,0.036445826,0.033315003
captivestatemovie,0.109464675,0.047757268,0.0065642297,0.035104483,0.08020747,0.029691935,0.026012778,0.49730372,0.038515538,0.044027686,0.038968146,0.07394904,0.020156741,0.024319947,0.03757167,0.023057789,0.029687285,0.07626495,0.028581738,0.02603671
childsplaymovie,0.09047145,0.08086187,0.019338012,0.079508364,0.15856767,0.09463614,0.033236295,0.4862826,0.03130883,0.069764316,0.06291261,0.14872926,0.059648216,0.07908684,0.0761562,0.06729072,0.030318499,0.11637092,0.042364776,0.06193033
clarathefilm,0.07156631,0.065224886,0.020061553,0.07126421,0.16228846,0.060272217,0.028237194,0.52116466,0.02894929,0.045030385,0.037307262,0.077542245,0.044638008,0.042991668,0.0681923,0.04595375,0.025008082,0.08700937,0.031507283,0.041371495
coldpursuitmovie,0.12535107,0.099101424,0.020596772,0.047102123,0.14824367,0.04018858,0.028743565,0.41487622,0.032075018,0.040465713,0.032784194,0.05247888,0.03083539,0.028698653,0.05948302,0.054676563,0.032707393,0.097482175,0.03384593,0.041661143
detectivepikachumovie,0.20266345,0.1572186,0.18709365,0.16928467,0.30195504,0.17095372,0.13465312,0.47970098,0.17267427,0.15490764,0.14271322,0.17589337,0.1503731,0.14676231,0.1894576,0.12882105,0.17025027,0.15624574,0.11625415,0.11932501
disneyaladdin,0.17764646,0.13772228,0.06459689,0.112431854,0.21263379,0.09732646,0.089734614,0.47714698,0.11268863,0.11255416,0.104254305,0.13125336,0.09214908,0.09058604,0.12907112,0.09827027,0.09964919,0.16324693,0.09598622,0.090524375
doramovie,0.16224822,0.08095643,0.0663124,0.0773136,0.21285659,0.050296664,0.031848073,0.38708115,0.05738622,0.060786963,0.04703605,0.06895134,0.04445213,0.035637856,0.11837125,0.06321496,0.07454872,0.082957685,0.030442446,0.04232022
dumbo,0.16241175,0.14326915,0.06272906,0.14542681,0.23222852,0.16435716,0.094313234,0.48338026,0.09545067,0.13260654,0.13316917,0.2130382,0.12180072,0.14744359,0.148907,0.12182197,0.090477735,0.19143173,0.10917196,0.1209681
escaperoom,0.16520727,0.11846626,0.03687635,0.09699628,0.17257488,0.08923802,0.072648376,0.4735276,0.07916418,0.09384918,0.088306814,0.12977916,0.06974867,0.07932091,0.103067756,0.0839726,0.072442204,0.1563774,0.07885149,0.08258602
everybodyknowsmovie,0.15746859,0.10143435,0.0392673,0.08188599,0.17455962,0.09565112,0.07808325,0.47012764,0.0901846,0.086340845,0.110963136,0.14443836,0.07241765,0.077989966,0.0899072,0.067735225,0.076453954,0.14957634,0.08972645,0.07761723
fastandfuriousmovie,0.13494194,0.084065884,0.024702072,0.056016743,0.16949123,0.035643578,0.027155459,0.4493224,0.042948604,0.04897964,0.034195304,0.055314302,0.0306454,0.029297113,0.07413834,0.04659927,0.040159136,0.09373495,0.0332883,0.035906076
fightingwmyfam,0.06172675,0.0669522,0.013963789,0.05944109,0.13620162,0.06641811,0.024810225,0.5112161,0.023249596,0.04627791,0.039549828,0.09751949,0.046340853,0.049117595,0.05617526,0.04697022,0.02029863,0.08258554,0.028730452,0.039687723
fivefeetapartfilm,0.11769223,0.07122171,0.025632083,0.06857768,0.13831142,0.06429687,0.057719857,0.5168312,0.06979793,0.07160771,0.07478076,0.09702271,0.048076004,0.04665461,0.07643834,0.055690944,0.06127724,0.12088251,0.054903448,0.049815595
glassmovie,0.14420298,0.07550496,0.03511086,0.09121221,0.18054533,0.15643099,0.053437054,0.40160555,0.059692174,0.10178605,0.13982925,0.23855492,0.07030451,0.12987024,0.110370874,0.09187552,0.06806615,0.16542688,0.07442662,0.1102159
gloriabellmovie,0.059719294,0.067617595,0.01679346,0.04611388,0.12681451,0.067032486,0.027462542,0.48730797,0.029925019,0.037592888,0.04525155,0.083408564,0.04312536,0.048059553,0.05000165,0.044112086,0.020647228,0.07524565,0.026846528,0.039256603
godzillamovie,0.1539604,0.08177641,0.04972008,0.1038934,0.1896148,0.16108447,0.06941384,0.41772142,0.07523292,0.10664222,0.1606805,0.22458473,0.08611137,0.15183964,0.11897206,0.0976015,0.07357463,0.1835902,0.08527464,0.13151851
goodboysmovie,0.17000696,0.049911946,0.1083262,0.035181463,0.22265393,0.036590457,0.011037052,0.2283862,0.03478676,0.028519452,0.026435256,0.04540533,0.021184772,0.014769077,0.08919132,0.045214444,0.055707037,0.024983346,0.008150339,0.022599787
gretafilm,0.11871067,0.07171744,0.021129072,0.07822892,0.15750146,0.10468799,0.04034567,0.44011685,0.045515686,0.08099148,0.08660266,0.16920555,0.05362916,0.08235133,0.08805436,0.07191944,0.045031846,0.13130435,0.0537647,0.06821799
happydeathdaymovie,0.13751602,0.08237451,0.030056566,0.08111647,0.16216823,0.06497729,0.05164337,0.4832456,0.0683057,0.07692289,0.06577551,0.10096085,0.05330056,0.0560807,0.09233081,0.06032005,0.06413132,0.11901057,0.055996686,0.058240235
hellboymovie,0.16294461,0.121907026,0.03191027,0.07975876,0.15672606,0.076251715,0.064623505,0.4591378,0.082541525,0.09283224,0.09384933,0.1283595,0.06534839,0.070424676,0.09139305,0.080611736,0.06336519,0.14741933,0.073156,0.075033545
hersmellmovie,0.16917905,0.10346639,0.031762123,0.0809727,0.15292704,0.08536947,0.07378644,0.47887138,0.085163385,0.09190506,0.099796504,0.14465702,0.062962174,0.07127726,0.08599758,0.06956619,0.074100524,0.1423676,0.07925564,0.07440215
highlifemovie,0.10345483,0.09552425,0.030061752,0.08053768,0.17037892,0.11171234,0.04578361,0.47337028,0.04563436,0.07816064,0.08448151,0.15900221,0.07146865,0.09461671,0.0822781,0.07896587,0.04175362,0.12634131,0.053109616,0.07426262
hotelmumbaifilm,0.09936276,0.066556066,0.022153169,0.11630744,0.15606302,0.17146513,0.090120554,0.4972766,0.062589556,0.05983779,0.116517484,0.14497784,0.11939487,0.15199515,0.10292813,0.057446748,0.032923788,0.1922859,0.09106892,0.09437588
httydragon,0.26951295,0.18432185,0.26911575,0.08567193,0.29100093,0.1170623,0.075995594,0.31018907,0.118486464,0.07591534,0.07593325,0.07883614,0.08857265,0.07010406,0.13218027,0.11382496,0.13911083,0.07181206,0.050317764,0.08413726
hustlemovie,0.122188,0.07340881,0.058217913,0.061806083,0.19026637,0.054803908,0.03642881,0.4099152,0.05330628,0.046862036,0.044044167,0.05891159,0.043067396,0.03641358,0.088703156,0.04973641,0.06361312,0.07755658,0.030111939,0.036878616
isntitromantic,0.20378423,0.1308156,0.08069211,0.10069209,0.2305049,0.09800932,0.08254248,0.43758434,0.10928559,0.10431656,0.09806427,0.12398243,0.07877803,0.0751732,0.12886441,0.09535849,0.11956805,0.14376476,0.08336541,0.07413581
johnwickmovie,0.12111044,0.10338554,0.07898483,0.14840528,0.24402827,0.12000713,0.07480019,0.52336055,0.0906004,0.106609076,0.0844304,0.14444852,0.109859705,0.10080847,0.15285271,0.08002594,0.08667299,0.124664634,0.07243034,0.07321614
lalloronamovie,0.12203124,0.06709576,0.021953255,0.070340216,0.17590436,0.14718798,0.027471632,0.407704,0.038482696,0.08190003,0.11013743,0.24337459,0.051723987,0.1361174,0.0843623,0.08222598,0.034293324,0.11946717,0.04305458,0.08499622
lastblackmansf,0.08349472,0.10246056,0.040243775,0.052779257,0.1595498,0.070245564,0.052119434,0.41478178,0.051328033,0.038995743,0.053168118,0.055675864,0.05726123,0.04384178,0.07131654,0.05906245,0.04073897,0.105545074,0.04625255,0.046282798
latenightmovie,0.061297685,0.054781288,0.02769804,0.059046358,0.17083207,0.04688227,0.027707487,0.5433686,0.03186983,0.036612183,0.031629115,0.05212778,0.040091485,0.030442268,0.05946535,0.034585714,0.027575374,0.072443396,0.025635183,0.030110449
lionking,0.15237582,0.1382446,0.051077545,0.0986563,0.19068065,0.106641054,0.090473354,0.46992236,0.09027743,0.09605312,0.11781302,0.14213157,0.09443918,0.090206385,0.10483977,0.09606668,0.07121506,0.17881626,0.10191482,0.098267466
littlethemovie,0.2579381,0.073062,0.25749046,0.04189056,0.30715147,0.050377637,0.012623161,0.18192735,0.046540946,0.034064174,0.027807266,0.053468645,0.02755344,0.01947102,0.118439406,0.05646369,0.07269749,0.018525183,0.008962095,0.027383208
littlewoodsfilm,0.095300734,0.07488832,0.024812043,0.08545241,0.17846134,0.11739555,0.034930915,0.4872383,0.03976187,0.07905477,0.07148749,0.18528658,0.06295368,0.0996981,0.08752635,0.06978792,0.03529671,0.10461038,0.043011576,0.06601715
longshotmovie,0.1780155,0.13665026,0.10833818,0.11376414,0.25278145,0.107328445,0.084453255,0.44557902,0.111338824,0.09494457,0.09262356,0.104243994,0.08844435,0.07755765,0.14005196,0.09996858,0.11385232,0.1332823,0.0760847,0.07733184
mamovie2019,0.14957288,0.10118726,0.034510016,0.07888201,0.18286395,0.051814854,0.041458875,0.45927072,0.058313936,0.067592144,0.049274236,0.07639775,0.04768285,0.04667887,0.09582114,0.06424576,0.055222988,0.115635335,0.04747069,0.05433607
meninblack,0.13556984,0.08543652,0.008414894,0.03864491,0.10975996,0.025979698,0.020519525,0.4414975,0.031712234,0.041425765,0.027926356,0.05711907,0.021554202,0.02253908,0.047098607,0.03368324,0.024519831,0.08214876,0.028718859,0.028676033
midsommarmovie,0.18114299,0.11843389,0.044531196,0.08401215,0.17430821,0.089315236,0.086645365,0.45848164,0.08713055,0.08152148,0.08737475,0.118157804,0.067314655,0.063758075,0.0954645,0.082054526,0.08105123,0.1389431,0.083811134,0.073075235
missbalamovie,0.20028183,0.1393348,0.045354515,0.07363224,0.20531824,0.061195165,0.042942464,0.38761154,0.06373921,0.06826189,0.05035582,0.07944995,0.04719174,0.042955726,0.10140467,0.08374953,0.06511444,0.10340449,0.049960434,0.056238502
missinglinkfilm,0.21317664,0.21173093,0.12854064,0.14877498,0.25310376,0.18602502,0.18707594,0.45484233,0.17116517,0.15110311,0.17916787,0.17218459,0.16195112,0.14736584,0.15944657,0.16266271,0.16094545,0.22508699,0.17729113,0.14043874
onceinhollywood,0.1799058,0.17445359,0.11213881,0.13298959,0.24985361,0.15238866,0.12914819,0.46015102,0.13317025,0.12363517,0.14393082,0.14962494,0.13072446,0.121733904,0.148806,0.13343406,0.12959316,0.19299802,0.12652355,0.11796591
onthebasisofsex,0.10144648,0.08163673,0.02964729,0.085095435,0.17464098,0.10617751,0.044530362,0.4720778,0.051706135,0.07416952,0.07314026,0.14268261,0.064053744,0.079684824,0.09320441,0.06791991,0.045857787,0.107798755,0.050637573,0.060609102
overcomermovie,0.13066673,0.056674212,0.036180526,0.041585416,0.1567285,0.035832375,0.028447986,0.4115206,0.048753083,0.044765234,0.03580612,0.05133608,0.027279764,0.020253837,0.06331292,0.037442982,0.058246493,0.058089763,0.026071787,0.023054361
petsematarymovie,0.09886414,0.05188942,0.017551959,0.06900188,0.15726545,0.118254095,0.02752766,0.4223518,0.032987148,0.0722861,0.07421902,0.19646555,0.045439422,0.08944753,0.08168244,0.06269133,0.036125988,0.1003674,0.039495915,0.061373234
pomsmovie,0.15128621,0.045493007,0.06340915,0.028667837,0.18811944,0.024872124,0.008219928,0.23138767,0.024540037,0.0226022,0.018360585,0.031481594,0.015020251,0.009426445,0.07418996,0.036070228,0.041475862,0.024672538,0.006652117,0.01622814
rocketmanmovie,0.17259714,0.12812912,0.09707487,0.12510541,0.24821675,0.104638815,0.091241926,0.4796177,0.11865866,0.11194593,0.10126749,0.123865604,0.100670606,0.09148514,0.14751565,0.09708378,0.11906272,0.1513353,0.089873105,0.08517936
scarystoriesmovie,0.1158503,0.08532533,0.022331417,0.07695773,0.15665826,0.101138294,0.041687965,0.45615643,0.043946505,0.08019024,0.09078568,0.15904257,0.05837643,0.08281338,0.080630004,0.07835287,0.04055807,0.14203113,0.0546287,0.07629317
