username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.16030145,0.11116615,0.10253289,0.09105131,0.18138784,0.123155385,0.11819464,0.43632412,0.0919171,0.10631779,0.11414489,0.09690979,0.110437304,0.11476335,0.09606069,0.09664577,0.0915668,0.1196132,0.101528674,0.09317234
adogsjourneymovie,0.119176954,0.08720875,0.05661118,0.054385573,0.12984926,0.063563704,0.12805232,0.39736307,0.050409943,0.060422897,0.04546097,0.038606912,0.043587744,0.0794276,0.06843999,0.06024298,0.06908384,0.058505714,0.06384146,0.063188404
aftermathmovie,0.15245977,0.09581569,0.08891228,0.101184666,0.16174835,0.10243413,0.125301,0.42256874,0.083405256,0.09105572,0.08482838,0.08136687,0.10234833,0.083126664,0.09028429,0.12324062,0.114328206,0.10507715,0.091789186,0.12467939
aftermovie,0.12262717,0.13691545,0.14411107,0.1429246,0.1977911,0.13577324,0.11074346,0.47195354,0.17645794,0.124323726,0.11176589,0.1470105,0.16846892,0.118127495,0.13176179,0.13940227,0.13656798,0.13751385,0.11991811,0.16219938
alitamovie,0.13641521,0.11166817,0.091673315,0.10074079,0.15014267,0.097393036,0.14332014,0.42769745,0.10511634,0.08976096,0.07564533,0.08543667,0.102279335,0.099925786,0.09821677,0.11393839,0.13377365,0.105581015,0.09761679,0.118866354
angelhasfallen,0.15826264,0.106996536,0.09333643,0.09816712,0.16563728,0.1030463,0.13504499,0.43172038,0.07695633,0.098878175,0.09389594,0.07934883,0.10394409,0.10297459,0.088375,0.10426128,0.11182359,0.09367517,0.09186351,0.08906141
angrybirdsmovie,0.11508235,0.042170256,0.03278932,0.0047445297,0.018238336,0.18757236,0.020774305,0.54145193,0.0263305,0.1650703,0.08513656,0.0067234337,0.0002322197,0.032226384,0.18996873,0.007251084,0.013828486,0.012098134,0.1118865,0.011394173
annabellemovie,0.047047973,0.048933893,0.05250764,0.05854556,0.08948338,0.05559182,0.044733226,0.406087,0.08431935,0.03627965,0.033514082,0.0749096,0.067279905,0.029234976,0.044315666,0.067845345,0.07061854,0.062110513,0.04490444,0.115626544
annamovie,0.12638938,0.15710992,0.14983669,0.105822295,0.18856558,0.14552474,0.11689234,0.48899123,0.110311836,0.14447555,0.11776376,0.11463565,0.12029171,0.14030352,0.10152152,0.08985725,0.112598,0.09899926,0.112425655,0.09223333
apollo11movie,0.1240204,0.12488359,0.12851599,0.12879363,0.20721385,0.12705562,0.10843876,0.4698558,0.14235222,0.12138939,0.12716025,0.1334295,0.16955313,0.122148335,0.12508428,0.11420384,0.11524898,0.1099948,0.10175261,0.11999217
arcticmovie,0.13082954,0.10947141,0.095523566,0.13250574,0.1966123,0.09115267,0.11428383,0.52866805,0.15627661,0.11479133,0.11103037,0.09026387,0.1433205,0.12744927,0.15794244,0.17615512,0.13150483,0.109113485,0.110111326,0.12672606
artofracingmovie,0.12191096,0.10931629,0.07675412,0.0623101,0.16260612,0.09148294,0.11886343,0.42891032,0.064715415,0.08715513,0.07215434,0.055208296,0.056531757,0.104549736,0.075991094,0.059042543,0.07340938,0.070065916,0.084222555,0.06750488
avengers,0.13839886,0.09464064,0.100836426,0.113168746,0.19268617,0.10011244,0.10319537,0.48017308,0.14302418,0.10067868,0.11506942,0.10281941,0.16682431,0.10846722,0.1355967,0.14002901,0.12155411,0.11327866,0.105406046,0.122044325
beachbummovie,0.11132339,0.07464647,0.073869795,0.07105881,0.16291654,0.095535606,0.07360998,0.41793686,0.078065425,0.07239509,0.074172854,0.08762443,0.09404096,0.066779464,0.0648303,0.08061275,0.06418726,0.10897687,0.08138302,0.13166043
bernadettefilm,0.12666744,0.13910195,0.124430746,0.113752425,0.18369654,0.12817702,0.12138757,0.45760563,0.09262878,0.12733018,0.1054593,0.106452405,0.10796729,0.1151858,0.089319825,0.09791404,0.10212472,0.10514137,0.10465726,0.1132299
blindedbythelightmovie,0.12709832,0.11154321,0.09683356,0.08138475,0.17936948,0.11669186,0.099604845,0.4565533,0.060649574,0.113147646,0.10515109,0.08275169,0.08788243,0.09935513,0.069236785,0.07472262,0.07386002,0.08422351,0.08591017,0.08605045
booksmart,0.124301136,0.14011824,0.12039882,0.1331467,0.22013679,0.11768055,0.116279334,0.506714,0.16648805,0.13567844,0.13043025,0.11656231,0.17703062,0.14255673,0.1631194,0.14563105,0.12152755,0.11974132,0.1190429,0.13763833
breakthroughmovie,0.13995895,0.15277112,0.14728469,0.13133714,0.19903082,0.13790119,0.13656601,0.47957465,0.116557896,0.15631273,0.13660404,0.12792993,0.13584125,0.14278379,0.11825201,0.120082945,0.11913982,0.10655975,0.10670149,0.08569068
brianbanksmovie,0.12630183,0.12569687,0.088983655,0.06641707,0.17537028,0.10061526,0.12795293,0.43857452,0.079322666,0.100168616,0.07970494,0.06442422,0.07190314,0.11607,0.08427799,0.06591824,0.086482435,0.08258501,0.09965983,0.082920104
brightburnmovie,0.11709446,0.09018785,0.09250218,0.1262474,0.1548835,0.08904827,0.10425481,0.48020697,0.1428878,0.08656013,0.083545804,0.10372394,0.13193244,0.08540946,0.09988925,0.14897284,0.14103442,0.10518861,0.09898648,0.12543714
brittanyrunsmov,0.09957197,0.10981098,0.097350776,0.0584929,0.1432215,0.13941744,0.066603154,0.52495116,0.11596215,0.113066435,0.11057168,0.092508376,0.058391422,0.12845153,0.07517794,0.050560385,0.086156905,0.07452381,0.115893066,0.05979219
captainmarvelofficial,0.10418779,0.08202821,0.083705544,0.072114766,0.15030682,0.06744748,0.0855467,0.4356856,0.054537773,0.083483666,0.08155042,0.057409108,0.09136069,0.070534825,0.07327312,0.09255916,0.07327643,0.060222894,0.060056567,0.054925412
captivestatemovie,0.06276122,0.046391845,0.032260627,0.02746877,0.08770305,0.03659442,0.064974874,0.40935153,0.037583828,0.03281483,0.023162574,0.021283805,0.027139276,0.04168576,0.041828424,0.0385063,0.04738164,0.035948634,0.042500913,0.04651901
childsplaymovie,0.081532925,0.073685855,0.07018238,0.09164265,0.11688733,0.074531615,0.083556354,0.43935058,0.102341354,0.06274167,0.050151438,0.07892802,0.087061524,0.053391576,0.06863463,0.10687783,0.10828635,0.07990116,0.06925756,0.12112677
clarathefilm,0.10006222,0.06726128,0.063907355,0.08121663,0.13315427,0.08163121,0.085344166,0.38958755,0.065592736,0.059125215,0.05641848,0.0737935,0.07199389,0.04745075,0.062906414,0.103681505,0.07913202,0.08940551,0.0645214,0.14300075
coldpursuitmovie,0.10020846,0.060481012,0.054763794,0.049231738,0.12255746,0.06741911,0.069405496,0.43331754,0.03719777,0.06581482,0.06797859,0.048639864,0.057596475,0.060548246,0.04290375,0.05229646,0.05352676,0.051790684,0.0513767,0.042101353
detectivepikachumovie,0.17337435,0.15295368,0.16616565,0.15279952,0.2107828,0.17378125,0.14183867,0.4482403,0.210899,0.13965258,0.13914621,0.17998019,0.16727757,0.15326694,0.15848029,0.14423975,0.15073189,0.19581023,0.1681852,0.18503004
