username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.2234894,0.17850006,0.17567721,0.18640268,0.26561671,0.17408112,0.13024819,0.5471782,0.15059227,0.14657721,0.15621275,0.1852937,0.18190649,0.13946974,0.19127569,0.13011536,0.13799188,0.21662304,0.15446109,0.16580492
adogsjourneymovie,0.33161628,0.24014515,0.23621243,0.2534981,0.34465158,0.2559595,0.18522847,0.43039832,0.21829075,0.28436685,0.23204914,0.24660003,0.22389913,0.19542253,0.2847079,0.21483502,0.16671538,0.38491377,0.26462185,0.2347534
aftermathmovie,0.449723,0.3919621,0.408982,0.4199227,0.4397322,0.41336268,0.3920465,0.47163194,0.402269,0.44980872,0.3991299,0.43389457,0.42382592,0.41865203,0.4372649,0.39408723,0.3758928,0.4838958,0.4077476,0.43229383
aftermovie,0.16796586,0.07195413,0.09018868,0.15233019,0.20741442,0.12998453,0.09274429,0.5233746,0.088961184,0.09366149,0.087492734,0.12526506,0.076922566,0.08934155,0.151339,0.10602954,0.09573868,0.15369007,0.074214906,0.05416581
alitamovie,0.436019,0.38068327,0.41517532,0.4402424,0.46544883,0.42910033,0.40142277,0.48251513,0.41021493,0.44084424,0.40685678,0.4334842,0.40402624,0.4275702,0.42309004,0.40226418,0.3806492,0.4852415,0.43078166,0.40843245
angelhasfallen,0.380884,0.29805362,0.33260334,0.31763065,0.36587322,0.37507528,0.28398046,0.45896065,0.30742753,0.32175308,0.2927353,0.34043485,0.30534405,0.2889384,0.3307394,0.2978147,0.28063142,0.3844972,0.35054398,0.30873758
angrybirdsmovie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9989892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annabellemovie,0.25553155,0.12203717,0.12927419,0.2618119,0.27828982,0.12138444,0.11142409,0.6308962,0.11425096,0.19190577,0.16996458,0.17523375,0.18220198,0.15732154,0.21298268,0.13829488,0.144869,0.3157415,0.07808149,0.15093178
annamovie,0.1818308,0.120922476,0.11313826,0.11913189,0.19944823,0.12455064,0.07901713,0.51829743,0.09111968,0.09949532,0.10609278,0.12805304,0.10924682,0.08739662,0.13341993,0.090417385,0.08728409,0.15385038,0.10654268,0.09275788
apollo11movie,0.07854435,0.026022911,0.034196883,0.06256145,0.12147087,0.062203884,0.030836612,0.52484053,0.031699657,0.029512793,0.02837199,0.05392003,0.02403915,0.028149635,0.06419402,0.037778914,0.029928684,0.062820196,0.028927207,0.01648128
