username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.063351095,0.054014564,0.060642272,0.05724418,0.105608016,0.06321031,0.080292076,0.43403605,0.05625266,0.04616329,0.07066488,0.056831032,0.060707122,0.067238,0.054876775,0.04741752,0.06114331,0.06646755,0.060699016,0.056316704
adogsjourneymovie,0.07506096,0.05972299,0.059040636,0.03741035,0.13254562,0.032726675,0.047482163,0.412966,0.055945843,0.032382935,0.034539074,0.045996338,0.04164344,0.041500658,0.040952206,0.04304114,0.030373812,0.035639703,0.054464728,0.035952896
aftermathmovie,0.06280562,0.05645755,0.060918987,0.073770046,0.08865169,0.062070876,0.08460426,0.44916037,0.054496825,0.050693363,0.0792214,0.06256986,0.06604168,0.06510013,0.05546841,0.060028315,0.0802657,0.07983273,0.066617966,0.064083636
aftermovie,0.22872901,0.2322312,0.21832901,0.23702702,0.2503098,0.22468251,0.25726396,0.4906265,0.24900189,0.24576122,0.2329733,0.23749995,0.26691112,0.24249536,0.25873795,0.25069737,0.23136365,0.2495364,0.2138136,0.24649653
alitamovie,0.07565892,0.0664154,0.09100276,0.07207954,0.11258295,0.06104201,0.08565819,0.44275478,0.07902041,0.06447768,0.07510388,0.068594396,0.08239111,0.08137259,0.07407671,0.07331687,0.07581696,0.08684528,0.06650549,0.07015979
angelhasfallen,0.07613036,0.065339744,0.07986459,0.07544175,0.11339167,0.07326576,0.09219813,0.44079363,0.06521067,0.054870933,0.08739874,0.06698698,0.07278764,0.07881734,0.067227304,0.059700936,0.07605845,0.07921839,0.07423833,0.06779131
angrybirdsmovie,0.0854235,0.0699451,0.021332294,0.01611653,0.097684056,0.21462646,0.04883328,0.6312601,0.042480648,0.038039595,0.09860635,0.028176546,0.015501678,0.09618446,0.06760934,0.013702273,0.016136557,0.02097866,0.0343585,0.017073482
annabellemovie,0.07102656,0.075579345,0.058273405,0.07404825,0.10550529,0.05134803,0.08301899,0.4420169,0.097443074,0.08482233,0.054544926,0.08495912,0.119060785,0.070079625,0.078327,0.10487035,0.06495258,0.081664115,0.062361926,0.08833274
annamovie,0.122594625,0.10192904,0.15502125,0.08627981,0.18282211,0.11165431,0.10521737,0.43387592,0.13175455,0.09809327,0.10136399,0.09257349,0.11998001,0.13499233,0.11646256,0.08126691,0.0775179,0.101983696,0.09256655,0.09101626
apollo11movie,0.24951902,0.23034608,0.1538009,0.24937719,0.24416485,0.28288937,0.27373135,0.49698025,0.20146212,0.24371305,0.27268428,0.2318261,0.22574043,0.21250734,0.2665534,0.21492589,0.26212937,0.2196703,0.22808155,0.24915835
arcticmovie,0.2686057,0.21389633,0.16307819,0.20575485,0.28006506,0.21102971,0.2414723,0.46769425,0.21131986,0.21043074,0.19595683,0.22905579,0.22354072,0.17871445,0.25130764,0.19675803,0.15620974,0.15729061,0.21710145,0.21769983
artofracingmovie,0.069156736,0.053978622,0.061163813,0.035669237,0.11307737,0.034648806,0.038991123,0.41352835,0.050511777,0.030265152,0.034760714,0.038101256,0.035444885,0.042156994,0.038372487,0.035344303,0.028014392,0.032084465,0.044873685,0.03177467
avengers,0.2052939,0.17426702,0.1537404,0.2051448,0.22481862,0.25097352,0.25498217,0.4930186,0.18212104,0.19786781,0.2558966,0.19127646,0.20111108,0.20984966,0.24408665,0.16570649,0.18222627,0.1861364,0.19200867,0.2104576
beachbummovie,0.06279495,0.04764414,0.056937248,0.055187017,0.066639125,0.05578375,0.04848692,0.3858837,0.060990274,0.056510776,0.044718057,0.052534252,0.057925463,0.061539114,0.04733336,0.042017788,0.05368644,0.061825156,0.03610018,0.050017625
bernadettefilm,0.07605949,0.0627397,0.065757245,0.06900522,0.06848499,0.070132166,0.050320953,0.41259694,0.058071613,0.058713675,0.0618653,0.054880857,0.04638487,0.060925096,0.053567678,0.04190129,0.07564339,0.06799176,0.044944614,0.05290255
blindedbythelightmovie,0.06168732,0.05179864,0.055783063,0.047189802,0.07855594,0.060461283,0.051966846,0.40526915,0.05049494,0.044669986,0.05362141,0.04657069,0.046522588,0.06056139,0.042954296,0.035467207,0.057056338,0.059143126,0.043950617,0.044145614
booksmart,0.25172132,0.20256388,0.18579334,0.21592051,0.26324618,0.27215946,0.27046776,0.50521445,0.22278342,0.25176388,0.24368891,0.22462562,0.23286927,0.21470895,0.31733245,0.18594837,0.1937108,0.19169834,0.18493745,0.23601931
breakthroughmovie,0.15465108,0.13737148,0.14884907,0.14015684,0.1866377,0.15456873,0.15350285,0.44557357,0.1319263,0.119164646,0.15115649,0.13608962,0.1408107,0.14451721,0.13661236,0.10896388,0.13265064,0.13498521,0.13706335,0.13278517
brianbanksmovie,0.07883942,0.062313586,0.08508569,0.041824788,0.13313869,0.04233378,0.049127698,0.40571755,0.06980753,0.042037636,0.040639848,0.04757002,0.052948207,0.057579547,0.051869214,0.044952393,0.035310596,0.044673234,0.050749034,0.041095376
brightburnmovie,0.16370547,0.18385527,0.1436215,0.19619524,0.18744558,0.1632841,0.20290715,0.4916124,0.17052355,0.15554386,0.19989523,0.17336354,0.1925318,0.18143448,0.16685626,0.20071271,0.17576462,0.19300804,0.19553065,0.17880568
brittanyrunsmov,0.09127727,0.07114777,0.10479954,0.06663084,0.07922155,0.12820956,0.04825145,0.4298915,0.07908085,0.072494924,0.085941434,0.054061234,0.05873114,0.11847028,0.06729621,0.038333207,0.049963176,0.062122047,0.044202685,0.054762274
captainmarvelofficial,0.08377397,0.062082052,0.09114909,0.06687766,0.16182965,0.09603095,0.10292208,0.4583562,0.08825606,0.06729445,0.09364292,0.075148374,0.09715411,0.09507701,0.09248388,0.052752018,0.045863003,0.06233549,0.08007738,0.07594237
captivestatemovie,0.06417894,0.048290193,0.03997636,0.023235917,0.1442334,0.01966101,0.039616257,0.40952316,0.045107543,0.023286998,0.021226257,0.03573498,0.03225428,0.02747184,0.033493936,0.034359097,0.017848909,0.021400183,0.04195729,0.025948793
childsplaymovie,0.06700379,0.0706943,0.0749104,0.09469235,0.09884885,0.06291765,0.09769398,0.4528458,0.08974174,0.07439542,0.07994512,0.08352652,0.10742724,0.08225453,0.07635018,0.093666196,0.0791654,0.10337883,0.073412746,0.08762854
clarathefilm,0.034599632,0.027514905,0.031700075,0.03753534,0.053657234,0.026513726,0.04167083,0.40002045,0.034968376,0.031021267,0.03124556,0.036612093,0.044348747,0.033439428,0.028610617,0.037148982,0.038798362,0.043157727,0.029538572,0.036645263
coldpursuitmovie,0.037168384,0.031508803,0.031611532,0.031329483,0.062173218,0.040910542,0.048481733,0.4176974,0.027261317,0.021779,0.042998195,0.030817151,0.02840817,0.037216842,0.028815001,0.019574672,0.034041286,0.03285575,0.030715168,0.028308302
detectivepikachumovie,0.14338666,0.12989795,0.15449539,0.13835943,0.17138648,0.1286726,0.15241838,0.46765298,0.16223988,0.15000081,0.13678521,0.13145414,0.1575813,0.164958,0.15890187,0.14758444,0.14212477,0.16050902,0.114115566,0.14024213
disneyaladdin,0.07136449,0.062152207,0.09249669,0.06642154,0.11174977,0.06053257,0.080278635,0.43515822,0.073800296,0.05804348,0.073575914,0.06155324,0.078184366,0.081811905,0.06918931,0.06355679,0.06935558,0.08114463,0.06361002,0.063245
doramovie,0.037670165,0.030635536,0.05075729,0.028373152,0.06636676,0.03404799,0.03961909,0.4053061,0.036585182,0.025644153,0.037730843,0.026027054,0.035963923,0.047715604,0.034721076,0.023250103,0.02988249,0.037496388,0.027516037,0.025942385
dumbo,0.10278073,0.105199665,0.11743677,0.12656376,0.13419923,0.09663263,0.13605699,0.47437483,0.12403098,0.10907447,0.11988464,0.11290681,0.1315547,0.1226643,0.11884779,0.12581092,0.12036058,0.1408839,0.10064387,0.1189526
escaperoom,0.08320674,0.06988427,0.09159878,0.075371504,0.111055225,0.062443703,0.073333144,0.42109567,0.0773738,0.056200385,0.07123467,0.06643975,0.066129565,0.07525492,0.06320837,0.06295717,0.0666461,0.07715729,0.06832728,0.062020123
everybodyknowsmovie,0.17753693,0.14846063,0.15907532,0.10822424,0.26290393,0.10769692,0.14685774,0.4449535,0.16038144,0.11873579,0.10470861,0.14140424,0.14401597,0.12424567,0.14886639,0.12547359,0.09107533,0.11215711,0.13474011,0.123533964
fastandfuriousmovie,0.03257045,0.025564909,0.04428926,0.023228794,0.06205228,0.028912663,0.03396845,0.40130252,0.031271875,0.022374868,0.031175464,0.022372782,0.03219676,0.039315253,0.030168414,0.019399643,0.0258286,0.031570464,0.023549438,0.022709012
fightingwmyfam,0.058989167,0.05500123,0.06000024,0.07886714,0.08503243,0.051691502,0.07471198,0.42538273,0.07967192,0.06663221,0.056489825,0.07116902,0.09121889,0.065184146,0.060860127,0.07463908,0.063171476,0.08198342,0.054257363,0.07326856
fivefeetapartfilm,0.04468608,0.038933486,0.040171713,0.038392514,0.057978153,0.031386703,0.037250698,0.43368256,0.03180909,0.026279509,0.03868434,0.031127542,0.02670911,0.03317985,0.030577213,0.029625654,0.04235649,0.038293988,0.03332767,0.029247701
glassmovie,0.10717273,0.12597969,0.0756852,0.11533424,0.124543875,0.08612433,0.13287964,0.5132762,0.096666396,0.08080575,0.11875385,0.09812841,0.083973944,0.09970236,0.10021964,0.120500565,0.10793868,0.103684366,0.10617313,0.09339857
gloriabellmovie,0.11444029,0.10232645,0.08013284,0.11940643,0.13855082,0.10514125,0.12637392,0.45176104,0.1178422,0.120988965,0.096856415,0.11747983,0.1355733,0.10238829,0.11643085,0.11788735,0.110628426,0.10970119,0.09130445,0.12403214
godzillamovie,0.19564405,0.20320374,0.16240543,0.17384788,0.23267382,0.14544159,0.20373031,0.47744343,0.19439745,0.16016659,0.17264813,0.18490317,0.18773168,0.17598045,0.18990612,0.20467195,0.1468857,0.16840065,0.18444043,0.17680842
goodboysmovie,0.056049913,0.04748854,0.044285983,0.035847515,0.0559119,0.075021505,0.037131906,0.39576268,0.044919312,0.035118848,0.051373392,0.03225392,0.029126078,0.07024664,0.03568256,0.019719481,0.032860518,0.040034592,0.028388023,0.028325498
gretafilm,0.0603157,0.060359538,0.06964487,0.07393536,0.08346966,0.051902145,0.081606746,0.46719465,0.072648674,0.061615855,0.0696882,0.06327343,0.07288611,0.0708929,0.0705567,0.07284537,0.07242611,0.0842163,0.053264767,0.06650314
happydeathdaymovie,0.046181947,0.037816197,0.06055641,0.037094116,0.070664495,0.031661093,0.041160345,0.41182482,0.04577318,0.03309831,0.036818534,0.034128904,0.04180041,0.045375794,0.039251864,0.035007,0.03813082,0.04578343,0.032084554,0.033032686
hellboymovie,0.08151424,0.068921596,0.09355745,0.075600296,0.13933232,0.06675133,0.09724966,0.43768916,0.084052324,0.060598403,0.08150354,0.07446557,0.0884853,0.08772802,0.07238549,0.07427749,0.06868142,0.083168924,0.08396605,0.073227555
hersmellmovie,0.15651315,0.13078332,0.11669892,0.09344065,0.21688437,0.0813109,0.10868433,0.4347645,0.12023276,0.08563411,0.08348119,0.11252779,0.09824577,0.09053552,0.102428794,0.103497624,0.07645881,0.08175135,0.119170636,0.09332591
highlifemovie,0.11974418,0.123268485,0.124863,0.15218687,0.15146983,0.11755437,0.15111032,0.4591964,0.14888626,0.12916076,0.12731162,0.13761774,0.16883373,0.13771129,0.13127983,0.14403379,0.124746025,0.15172544,0.11901328,0.14166474
hotelmumbaifilm,0.22221324,0.1378395,0.064392745,0.08835524,0.29804784,0.1552113,0.25785455,0.5607991,0.16828036,0.19815838,0.12283337,0.18583637,0.18558586,0.09598154,0.3127689,0.13448083,0.0728955,0.0863488,0.1568116,0.15687662
httydragon,0.22991675,0.17776367,0.13736737,0.15475667,0.27429122,0.28670454,0.22995898,0.5337195,0.2139031,0.20284438,0.21585801,0.19880706,0.16411138,0.22808486,0.2164608,0.14864156,0.15674365,0.15347636,0.17679894,0.15952963
hustlemovie,0.081445366,0.064843506,0.06476161,0.06329805,0.070913166,0.08369377,0.049299985,0.38825566,0.065447986,0.059919655,0.05738896,0.055407435,0.0492754,0.072055995,0.052225858,0.03591764,0.06047198,0.063926816,0.04234436,0.049633592
isntitromantic,0.12204048,0.100280404,0.13483036,0.09061378,0.14686635,0.10498318,0.08529687,0.4373834,0.10740778,0.08914828,0.09696478,0.08357343,0.08874416,0.11119637,0.097984016,0.075478405,0.08453408,0.09270498,0.083430976,0.083210856
johnwickmovie,0.06859639,0.061221838,0.07854366,0.07117957,0.08910766,0.055337965,0.08056986,0.45672935,0.08894649,0.07658109,0.06399611,0.06444481,0.08436641,0.08366752,0.08607456,0.077436864,0.067525715,0.083822906,0.04700899,0.06938848
lalloronamovie,0.15217012,0.15920222,0.097798675,0.13244376,0.19529387,0.12901011,0.18569824,0.49430346,0.16304964,0.16291136,0.14075732,0.15164977,0.19069844,0.13997829,0.18120357,0.1857872,0.13512602,0.14244601,0.14760682,0.16197532
lastblackmansf,0.12810391,0.10362142,0.05162373,0.11377746,0.11999813,0.1691986,0.12800774,0.47961465,0.079040766,0.106933534,0.12841624,0.10680932,0.07720783,0.08851501,0.110657245,0.07372475,0.14799011,0.09774169,0.08593911,0.10096833
