username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.24775916,0.14195359,0.0848313,0.09001973,0.16469121,0.10884601,0.06870031,0.44149876,0.05463484,0.09019756,0.082313985,0.08878726,0.06717378,0.06581834,0.13250017,0.08088353,0.041198492,0.13794056,0.09060931,0.087715596
adogsjourneymovie,0.14035785,0.08282748,0.019212455,0.0647054,0.08051506,0.091400266,0.026311517,0.44571584,0.042406082,0.043635547,0.08406088,0.10611454,0.043977678,0.07279825,0.062959135,0.030892074,0.04313183,0.13194758,0.13565448,0.033654988
aftermathmovie,0.12097144,0.09602919,0.020696431,0.09219384,0.08469388,0.11981243,0.07078162,0.5429805,0.034394145,0.09406832,0.13320741,0.12136239,0.0626573,0.083697945,0.099995285,0.07355866,0.023848176,0.1726146,0.072778374,0.11002964
aftermovie,0.10223955,0.09209174,0.0371778,0.09365767,0.24892801,0.10431078,0.10867956,0.41455823,0.09708172,0.07109779,0.08703944,0.1274282,0.08927563,0.06817773,0.12563351,0.09592077,0.082368076,0.100613594,0.06555033,0.07967767
alitamovie,0.15231541,0.11294344,0.030222714,0.09974322,0.08755311,0.12969455,0.062150747,0.4665109,0.04248616,0.108836174,0.1404812,0.1715923,0.072657645,0.11488572,0.10023424,0.066349596,0.038793653,0.16956401,0.12727168,0.08586478
angelhasfallen,0.1965982,0.11458182,0.023238242,0.09902698,0.089048356,0.15697032,0.062755495,0.53796184,0.037353873,0.08139217,0.10463089,0.13735226,0.057169855,0.11054495,0.1247623,0.0793896,0.025600433,0.19871724,0.12373975,0.10307115
angrybirdsmovie,0.41131195,0.14304504,0.88384366,0.051570505,0.04135382,0.012145996,0.00083231926,0.035217762,0.0054590106,0.0040187538,0.0007343888,0.017622411,0.006411493,0.00015375018,0.045930356,0.00043118,0.05434066,0.0036804974,0.002818644,0.000944376
annabellemovie,0.042639613,0.04940507,0.008957833,0.062093467,0.14120981,0.071483314,0.08415142,0.43172038,0.03179872,0.05295539,0.057070613,0.12017053,0.061494738,0.042161286,0.06687856,0.06358576,0.02473247,0.0663687,0.025919497,0.06875396
annamovie,0.21632084,0.108638525,0.06291184,0.08505514,0.2445429,0.096782,0.056011498,0.4430633,0.11642158,0.052092373,0.069983095,0.078674436,0.07104471,0.052916437,0.1430574,0.06948632,0.10830915,0.11452943,0.089330256,0.047375947
apollo11movie,0.11224255,0.09921086,0.048968762,0.12125942,0.25082982,0.09695968,0.122359514,0.444249,0.13511318,0.0835745,0.09379476,0.085924655,0.11566123,0.042939752,0.11048916,0.10094702,0.07549599,0.10921916,0.042206436,0.0991742
