username,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
47metersdown,0.0994806,0.07603285,0.07151747,0.07358977,0.12351096,0.073532104,0.063063174,0.4419769,0.07069886,0.0727852,0.07882622,0.06591231,0.0695436,0.07378253,0.07402137,0.062261224,0.07204628,0.07361072,0.07025847,0.07178342
adogsjourneymovie,0.10923773,0.08932716,0.08112991,0.07133198,0.13224366,0.08455682,0.07138741,0.43678978,0.077172995,0.07874274,0.08579391,0.06616554,0.06934598,0.083798826,0.088026315,0.06998733,0.07829386,0.081643224,0.07825792,0.07136327
aftermathmovie,0.10861325,0.08680293,0.08386147,0.0851841,0.1344006,0.08286452,0.07445106,0.4455454,0.07927644,0.08402413,0.08585453,0.07686791,0.08127573,0.08322522,0.08350834,0.07364109,0.08353117,0.08352953,0.08023077,0.08180386
aftermovie,0.08912793,0.07817203,0.07366115,0.07698527,0.12717846,0.071763694,0.06465319,0.42148918,0.07130459,0.076613426,0.06409523,0.065233946,0.074334025,0.07044461,0.071463495,0.06518498,0.06909728,0.065900505,0.06543642,0.06871891
alitamovie,0.11966652,0.097671956,0.09180781,0.08965325,0.1443778,0.09233594,0.08183944,0.44185862,0.088356376,0.09209177,0.09451571,0.08126235,0.08593458,0.09405643,0.09493452,0.08104709,0.08958921,0.09120792,0.088336855,0.08667904
angelhasfallen,0.103230745,0.08000341,0.07556784,0.07396844,0.12584153,0.077071756,0.06584114,0.44128558,0.07213697,0.07506466,0.08118603,0.06698525,0.07022515,0.07714021,0.078437984,0.064989984,0.07507396,0.07760465,0.073583454,0.07246873
angrybirdsmovie,0.08702704,0.06696713,0.051585108,0.047395438,0.1094296,0.06801775,0.05010298,0.4407415,0.07489973,0.05759102,0.07434642,0.040047824,0.049242824,0.05779767,0.0636265,0.04191169,0.054340154,0.057084918,0.052324653,0.05077681
annabellemovie,0.0995903,0.09618226,0.095893264,0.12039593,0.15630019,0.085274905,0.09324342,0.43717396,0.09282479,0.105813146,0.0763942,0.10084376,0.11740625,0.08542058,0.0813016,0.09563941,0.09477714,0.07788715,0.08233377,0.102556616
annamovie,0.099259526,0.0783681,0.071857035,0.06691769,0.122232705,0.07584891,0.06065154,0.4322542,0.0696598,0.071055084,0.07708618,0.059177488,0.063467115,0.07357171,0.07601011,0.059842974,0.06970167,0.07333332,0.069108695,0.06523287
apollo11movie,0.06860396,0.05746925,0.05384326,0.058017224,0.103963405,0.05359128,0.046367258,0.41472226,0.0529373,0.056804836,0.0478701,0.048473924,0.05570212,0.05105874,0.052218378,0.046664715,0.051267117,0.048844725,0.047762156,0.05159074
arcticmovie,0.055020005,0.04992661,0.042914182,0.041302383,0.0904814,0.043364882,0.038939476,0.39961523,0.0418393,0.044561207,0.03613934,0.0353159,0.041653275,0.042627454,0.045128822,0.039676905,0.038876563,0.0376772,0.03647709,0.036924243
