Title,Account,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
21 Bridges,21bridgesmovie,tt8688634,movie,21 Bridges,21 Bridges,0,2019,\N,99,"Action,Crime,Drama"
47 Meters Down: Uncaged,47metersdown,tt7329656,movie,47 Meters Down: Uncaged,47 Meters Down: Uncaged,0,2019,\N,90,"Adventure,Drama,Horror"
A Beautiful Day in the Neighborhood,abeautifuldaymovie,tt3224458,movie,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,0,2019,\N,107,"Biography,Drama"
Abominable,abominablemovie,tt6324278,movie,Abominable,Abominable,0,2019,\N,97,"Adventure,Animation,Comedy"
Ad Astra,adastramovie,tt2935510,movie,Ad Astra,Ad Astra,0,2019,\N,122,"Adventure,Drama,Mystery"
A Dog's Journey,adogsjourneymovie,tt8385474,movie,A Dog's Journey,A Dog's Journey,0,2019,\N,109,"Adventure,Comedy,Drama"
The Aftermath,aftermathmovie,tt5977276,movie,The Aftermath,The Aftermath,0,2019,\N,108,"Drama,Romance,War"
After,aftermovie,tt4126476,movie,After,After,0,2019,\N,105,"Drama,Romance"
A Hidden Life,ahiddenlifefilm,tt5827916,movie,A Hidden Life,A Hidden Life,0,2019,\N,173,"Biography,Drama,War"
Alita: Battle Angel,alitamovie,tt0437086,movie,Alita: Battle Angel,Alita: Battle Angel,0,2019,\N,122,"Action,Adventure,Sci-Fi"
Amazing Grace,amazinggracemov,tt4935462,movie,Amazing Grace,Amazing Grace,0,2018,\N,89,"Documentary,Music"
Angel Has Fallen,angelhasfallen,tt6189022,movie,Angel Has Fallen,Angel Has Fallen,0,2019,\N,121,"Action,Thriller"
The Angry Birds Movie 2,angrybirdsmovie,tt6095472,movie,The Angry Birds Movie 2,The Angry Birds Movie 2,0,2019,\N,97,"Adventure,Animation,Comedy"
Annabelle Comes Home,annabellemovie,tt8350360,movie,Annabelle Comes Home,Annabelle Comes Home,0,2019,\N,106,"Horror,Mystery,Thriller"
Anna,annamovie,tt7456310,movie,Anna,Anna,0,2019,\N,119,"Action,Thriller"
Apollo 11,apollo11movie,tt8760684,movie,Apollo 11,Apollo 11,0,2019,\N,93,"Documentary,History"
Arctic Dogs,arcticdogsmovie,tt4426464,movie,Arctic Dogs,Arctic Justice,0,2019,\N,\N,"Adventure,Animation,Comedy"
Arctic,arcticmovie,tt6820256,movie,Arctic,Arctic,0,2018,\N,98,"Adventure,Drama"
The Art of Racing in the Rain,artofracingmovie,tt1478839,movie,The Art of Racing in the Rain,The Art of Racing in the Rain,0,2019,\N,109,"Comedy,Drama,Romance"
Avengers: Endgame,avengers,tt4154796,movie,Avengers: Endgame,Avengers: Endgame,0,2019,\N,181,"Action,Adventure,Sci-Fi"
The Beach Bum,beachbummovie,tt6511932,movie,The Beach Bum,The Beach Bum,0,2019,\N,95,Comedy
"Where'd You Go, Bernadette",bernadettefilm,tt2365580,movie,"Where'd You Go, Bernadette","Where'd You Go, Bernadette",0,2019,\N,109,"Comedy,Drama,Mystery"
Black and Blue,blackandbluemovie,tt7390646,movie,Black and Blue,Black and Blue,0,2019,\N,\N,"Action,Crime,Drama"
Black Christmas,blackchristmas,tt10481868,movie,Black Christmas,Black Christmas,0,2019,\N,\N,"Horror,Mystery,Thriller"
Blinded By the Light,blindedbythelightmovie,tt8266310,movie,Blinded by the Light,Blinded by the Light,0,2019,\N,118,"Comedy,Drama,Music"
Bombshell,bombshellmovie,tt6394270,movie,Bombshell,Bombshell,0,2019,\N,\N,"Biography,Drama"
Booksmart,booksmart,tt1489887,movie,Booksmart,Booksmart,0,2019,\N,102,Comedy
Breakthrough,breakthroughmovie,tt7083526,movie,Breakthrough,Breakthrough,0,2019,\N,116,"Biography,Drama"
Brian Banks,brianbanksmovie,tt3920820,movie,Brian Banks,Brian Banks,0,2018,\N,99,"Biography,Drama,Sport"
Brightburn,brightburnmovie,tt7752126,movie,Brightburn,Brightburn,0,2019,\N,90,"Horror,Sci-Fi"
Brittany Runs a Marathon,brittanyrunsmov,tt7671064,movie,Brittany Runs a Marathon,Brittany Runs a Marathon,0,2019,\N,104,"Comedy,Drama"
Captain Marvel,captainmarvelofficial,tt4154664,movie,Captain Marvel,Captain Marvel,0,2019,\N,123,"Action,Adventure,Sci-Fi"
Captive State,captivestatemovie,tt5968394,movie,Captive State,Captive State,0,2019,\N,109,"Drama,Sci-Fi,Thriller"
Cats,catsmovie,tt5697572,movie,Cats,Cats,0,2019,\N,\N,"Animation,Comedy,Drama"
Charlie's Angels,charliesangels,tt5033998,movie,Charlie's Angels,Charlie's Angels,0,2019,\N,\N,"Action,Adventure,Comedy"
Child's Play,childsplaymovie,tt8663516,movie,Child's Play,Child's Play,0,2019,\N,90,Horror
Clara,clarathefilm,tt6613878,movie,Clara,Clara,0,2018,\N,105,Sci-Fi
Cold Pursuit,coldpursuitmovie,tt5719748,movie,Cold Pursuit,Cold Pursuit,0,2019,\N,119,"Action,Crime,Drama"
Countdown,countdown,tt10039344,movie,Countdown,Countdown,0,2019,\N,\N,"Horror,Thriller"
The Current War,currentwarmovie,tt2140507,movie,The Current War,The Current War,0,2017,\N,107,"Biography,Drama,History"
Dark Waters,darkwatersmovie,tt9071322,movie,Dark Waters,Dark Waters,0,2019,\N,\N,"Biography,Drama,History"
Pok?mon Detective Pikachu,detectivepikachumovie,tt5884052,movie,Pokémon Detective Pikachu,Pokémon Detective Pikachu,0,2019,\N,104,"Action,Adventure,Comedy"
Aladdin,disneyaladdin,tt6139732,movie,Aladdin,Aladdin,0,2019,\N,128,"Adventure,Family,Fantasy"
Frozen II,disneyfrozen,tt4520988,movie,Frozen II,Frozen II,0,2019,\N,\N,"Adventure,Animation,Comedy"
Maleficent: Mistress of Evil,disneymaleficent,tt4777008,movie,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,0,2019,\N,118,"Adventure,Family,Fantasy"
Doctor Sleep,doctorsleepmovie,tt5606664,movie,Doctor Sleep,Doctor Sleep,0,2019,\N,\N,Horror
Dolemite is My Name,dolemiteismyname,tt8526872,movie,Dolemite Is My Name,Dolemite Is My Name,0,2019,\N,118,"Biography,Comedy,Drama"
Don't Let Go,dontletgomovie,tt6803212,movie,Don't Let Go,Don't Let Go,0,2019,\N,103,"Drama,Fantasy,Horror"
Dora and the Lost City of Gold,doramovie,tt7547410,movie,Dora and the Lost City of Gold,Dora and the Lost City of Gold,0,2019,\N,102,"Adventure,Family"
Downton Abbey,downtonabbey_official,tt6398184,movie,Downton Abbey,Downton Abbey,0,2019,\N,122,Drama
Dumbo,dumbo,tt3861390,movie,Dumbo,Dumbo,0,2019,\N,112,"Adventure,Family,Fantasy"
Escape Room,escaperoom,tt5886046,movie,Escape Room,Escape Room,0,2019,\N,99,"Action,Adventure,Horror"
Everybody Knows,everybodyknowsmovie,tt4964788,movie,Everybody Knows,Todos lo saben,0,2018,\N,133,"Crime,Drama,Mystery"
Fast & Furious Presents: Hobbs & Shaw,fastandfuriousmovie,tt6806448,movie,Fast & Furious Presents: Hobbs & Shaw,Fast & Furious Presents: Hobbs & Shaw,0,2019,\N,137,"Action,Adventure"
Fighting with My Family,fightingwmyfam,tt6513120,movie,Fighting with My Family,Fighting with My Family,0,2019,\N,108,"Biography,Comedy,Drama"
Five Feet Apart,fivefeetapartfilm,tt6472976,movie,Five Feet Apart,Five Feet Apart,0,2019,\N,116,"Drama,Romance"
Ford v Ferrari,fordvferrari,tt1950186,movie,Ford v Ferrari,Ford v Ferrari,0,2019,\N,152,"Action,Biography,Drama"
Freaks,freaksthefilm,tt8781414,movie,Freaks,Freaks,0,2018,\N,105,"Drama,Sci-Fi,Thriller"
Gemini Man,geminimanmovie,tt1025100,movie,Gemini Man,Gemini Man,0,2019,\N,\N,"Action,Drama,Sci-Fi"
Glass,glassmovie,tt6823368,movie,Glass,Glass,0,2019,\N,129,"Drama,Sci-Fi,Thriller"
Gloria Bell,gloriabellmovie,tt6902696,movie,Gloria Bell,Gloria Bell,0,2018,\N,102,"Comedy,Drama,Romance"
Godzilla: King of Monsters,godzillamovie,tt3741700,movie,Godzilla: King of the Monsters,Godzilla: King of the Monsters,0,2019,\N,132,"Action,Adventure,Fantasy"
The Goldfinch,goldfinchmovie,tt3864056,movie,The Goldfinch,The Goldfinch,0,2019,\N,149,Drama
Good Boys,goodboysmovie,tt7343762,movie,Good Boys,Good Boys,0,2019,\N,90,"Adventure,Comedy"
The Good Liar,goodliarmovie,tt5563334,movie,The Good Liar,The Good Liar,0,2019,\N,109,Drama
Greta,gretafilm,tt2639336,movie,Greta,Greta,0,2018,\N,98,"Drama,Mystery,Thriller"
Hala,halathemovie,tt6348410,movie,Hala,Hala,0,2019,\N,94,Drama
Happy Death Day 2U,happydeathdaymovie,tt8155288,movie,Happy Death Day 2U,Happy Death Day 2U,0,2019,\N,100,"Comedy,Horror,Mystery"
Harriet,harrietfilm,tt4648786,movie,Harriet,Harriet,0,2019,\N,125,"Biography,Drama,History"
Hellboy,hellboymovie,tt2274648,movie,Hellboy,Hellboy,0,2019,\N,120,"Action,Adventure,Fantasy"
Her Smell,hersmellmovie,tt7942742,movie,Her Smell,Her Smell,0,2018,\N,134,"Drama,Music"
High Life,highlifemovie,tt4827558,movie,High Life,High Life,0,2018,\N,113,"Adventure,Drama,Mystery"
High Strung Free Dance,highstrungmovie,tt6428150,movie,High Strung Free Dance,Free Dance,0,2018,\N,\N,Romance
Honey Boy,honeyboymovie,tt8151874,movie,Honey Boy,Honey Boy,0,2019,\N,93,Drama
Hotel Mumbai,hotelmumbaifilm,tt5461944,movie,Hotel Mumbai,Hotel Mumbai,0,2018,\N,123,"Drama,History,Thriller"
How to Train Your Dragon: The Hidden World,httydragon,tt2386490,movie,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,0,2019,\N,104,"Action,Adventure,Animation"
The Hustle,hustlemovie,tt1298644,movie,The Hustle,The Hustle,0,2019,\N,93,"Comedy,Crime"
Hustlers,hustlersmovie,tt5503686,movie,Hustlers,Hustlers,0,2019,\N,110,"Comedy,Crime,Drama"
Isn't It Romantic,isntitromantic,tt2452244,movie,Isn't It Romantic,Isn't It Romantic,0,2019,\N,89,"Comedy,Fantasy,Romance"
It Chapter Two,itmovieofficial,tt7349950,movie,It Chapter Two,It Chapter Two,0,2019,\N,169,"Drama,Fantasy,Horror"
Jay and Silent Bob Reboot,jayandsilentbob,tt6521876,movie,Jay and Silent Bob Reboot,Jay and Silent Bob Reboot,0,2019,\N,\N,Comedy
John Wick: Chapter 3 - Parabellum,johnwickmovie,tt6146586,movie,John Wick: Chapter 3 - Parabellum,John Wick: Chapter 3 - Parabellum,0,2019,\N,131,"Action,Crime,Thriller"
Jojo Rabbit,jojorabbitmovie,tt2584384,movie,Jojo Rabbit,Jojo Rabbit,0,2019,\N,108,"Comedy,Drama,War"
Joker,jokermovie,tt7286456,movie,Joker,Joker,0,2019,\N,122,"Crime,Drama,Thriller"
Judy,judythefilm,tt7549996,movie,Judy,Judy,0,2019,\N,118,"Biography,Drama,History"
Jumanji: The Next Level,jumanjimovie,tt7975244,movie,Jumanji: The Next Level,Jumanji: The Next Level,0,2019,\N,\N,"Action,Adventure,Comedy"
Just Mercy,justmercyfilm,tt4916630,movie,Just Mercy,Just Mercy,0,2019,\N,136,Drama
Knives Out,knivesout,tt8946378,movie,Knives Out,Knives Out,0,2019,\N,130,"Comedy,Crime,Drama"
The Curse of La Llorona,lalloronamovie,tt4913966,movie,The Curse of La Llorona,The Curse of La Llorona,0,2019,\N,93,"Horror,Mystery,Thriller"
The Last Black Man in San Francisco,lastblackmansf,tt4353250,movie,The Last Black Man in San Francisco,The Last Black Man in San Francisco,0,2019,\N,121,Drama
Last Christmas,lastchristmasthemovie,tt8623904,movie,Last Christmas,Last Christmas,0,2019,\N,\N,"Comedy,Romance"
Late Night,latenightmovie,tt6107548,movie,Late Night,Late Night,0,2019,\N,102,"Comedy,Drama"
The Lighthouse,lighthousemovie,tt7984734,movie,The Lighthouse,The Lighthouse,0,2019,\N,110,"Drama,Fantasy,Horror"
The Lion King,lionking,tt6105098,movie,The Lion King,The Lion King,0,2019,\N,118,"Adventure,Animation,Drama"
